rack,T_inlet_degC,T_outlet_degC,dT_rack_K,dT_spec_K,rack_power_W_at_0.35_m3_s
rack 1,19.224455802711816,31.160508350000043,11.936052547288227,12.0,4912.025159999999
rack 2,21.698219488307245,33.70492680000001,12.006707311692765,12.0,4912.025159999999
rack 3,21.629836508006463,33.62716930000005,11.997332791993585,12.0,4912.025159999999
rack 4,19.345087758808404,31.21963635000003,11.874548591191626,12.0,4912.025159999999
