z_m,rack1_T_degC,rack2_T_degC,rack3_T_degC,rack4_T_degC
0.029411765,15.862943955000048,15.850000000000023,15.850000000000023,15.863511110000047
0.088235294,15.900088930000038,15.850000000000023,15.850000000000023,15.894979630000023
0.147058824,15.939104495000038,15.850000000000023,15.850000000000023,15.925181054999996
0.205882353,15.998358665000012,15.850000000000023,15.850000000000023,15.957521595000003
0.264705882,16.100923215000023,15.850000000000023,15.850000000000023,16.028823330000023
0.323529412,16.196025195000004,15.850000000000023,15.850000000000023,16.12883959000004
0.382352941,16.286559005000072,15.850000000000023,15.850000000000023,16.228744159999962
0.441176471,16.386783525000055,15.850000000000023,15.850000000000023,16.345801470000026
0.5,16.468441214999984,15.850000034999994,15.85000003500005,16.446647040000016
0.558823529,16.53205988500008,15.85000014000002,15.850000130000126,16.525817925000013
0.617647059,16.565646270000002,15.850000410000064,15.850000390000048,16.571428089999984
0.676470588,16.56316272500004,15.850001260000056,15.850001270000007,16.57879509000003
0.735294118,16.520420015000013,15.850002930000016,15.850002860000075,16.544106590000013
0.794117647,16.441273939999974,15.850008400000036,15.850008150000008,16.469040385000028
0.852941176,16.33314931000001,15.850026049999997,15.850026050000054,16.36433108999995
0.911764706,16.20840778500002,15.850059085000055,15.85005778499999,16.240356125000062
0.970588235,16.08954684500003,15.850175450000052,15.850172650000047,16.112316840000005
1.029411764,15.998326995000014,15.850381685000002,15.85037501000005,16.00768374000006
1.088235294,15.958061555000029,15.85119723500003,15.851185995000037,15.958360285000026
1.147058824,16.001249985000015,15.853977939999993,15.853928535000023,15.997448270000064
1.205882353,16.253174885000078,15.870553219999977,15.870415585000046,16.253624639999998
1.264705882,16.92081510500003,15.962412885000049,15.962316220000048,16.94893555500005
1.323529412,18.226562745000024,16.360754195000027,16.362832179999998,18.318076390000044
1.382352941,20.481105470000045,17.59918973499998,17.605328805,20.68024409000003
1.44117647,22.804782174999957,20.34208376500004,20.32582093500008,23.109485880000022
1.5,24.10174119499999,23.950745520000055,23.90150993499998,24.299939050000035
1.55882353,24.695143080000037,26.595266855000034,26.53616377000003,24.75558160999998
1.617647059,25.074792634999994,27.61838461000002,27.56157819500004,25.102494040000067
1.676470588,25.58937480999998,27.793305880000048,27.74765926000009,25.645970265000017
1.735294118,26.148912120000034,27.85622305000004,27.819069155000022,26.22468623499998
1.794117647,26.68545936999999,27.97269635500004,27.948021000000097,26.786760625000056
1.852941176,27.262066095000023,28.138955880000026,28.133444680000082,27.380785850000052
1.911764706,27.70302186500004,28.333950885000036,28.350096800000017,27.807928615000037
1.970588236,27.973042014999976,28.540534030000003,28.57339374000003,28.09519196499997
