figure	run	artifact	time_dir	window	patches	camera	colour_range	sha256
k2t_airflow_balance.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/phi	80	50 to 80 s: mean of written times 60, 80	tile, rack0..3_in	-	-	c532eb799f9fe94dd8511843578d6c9c56d149fbdd2bb6574249351a5afea2cd
k2t_mesh.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/constant/polyMesh/owner	constant	-	floor, tile, rack0..3_in, rack0..3_out, rack_top, rack_end	ISO (three-quarter from the cold-aisle side)	-	882e5e50f8420dec9bc9b43f08ad41f69c48dc93cfedad9552563ed4c98eea35
k2t_plane_mid.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	TOP (cold aisle at the foot of the frame)	T 16 to 33 degC	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_plane_mid.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	TOP (cold aisle at the foot of the frame)	T 16 to 33 degC	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_plane_mid_velocity.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/U	60	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	TOP (cold aisle at the foot of the frame)	U 0 to 1.5 m/s	e6d770fded84ed20f60e4a321c0a88934dc467e36770341528f6bc18221131d9
k2t_plane_mid_velocity.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/U	80	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	TOP (cold aisle at the foot of the frame)	U 0 to 1.5 m/s	520fff584ec782c2bb6320d07f9a74ff4efdcdaceac106c58d00cead7bcc2b56
k2t_plane_hot.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	hot-aisle plane normal (along -y from the hot side)	T 16 to 33 degC	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_plane_hot.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	hot-aisle plane normal (along -y from the hot side)	T 16 to 33 degC	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_streamlines.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/T	60	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	ISO (three-quarter from the cold-aisle side)	T 16 to 33 degC	8303943128e366c8d4c7bdbdd9ea581b80c68a11577fb4ab9c5526bd5c1a8067
k2t_streamlines.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/T	80	50 to 80 s: mean of written times 60, 80	tile, return, rack0..3_in, rack0..3_out (geometry only)	ISO (three-quarter from the cold-aisle side)	T 16 to 33 degC	c1a298cfb3a17ff96aa73a4e5226a1b7760e4e08666113bbd1cf3131b70dc8d7
k2t_streamlines.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/60/U	60	50 to 80 s: mean of written times 60, 80	tile (60 seed points)	ISO (three-quarter from the cold-aisle side)	T 16 to 33 degC	e6d770fded84ed20f60e4a321c0a88934dc467e36770341528f6bc18221131d9
k2t_streamlines.png	K2bU3R3_D59	/home/ubuntu/Certonomous/verification/runs/F14-cooling-ladder/K2b_runs/K2bU3R3_D59/80/U	80	50 to 80 s: mean of written times 60, 80	tile (60 seed points)	ISO (three-quarter from the cold-aisle side)	T 16 to 33 degC	520fff584ec782c2bb6320d07f9a74ff4efdcdaceac106c58d00cead7bcc2b56
