time_s,room_degC,slice_degC
0.192764,15.850000000000023,15.850000000000023
0.42331,15.850000000000023,15.850000000000023
0.592975,15.850000000000023,15.850000000000023
0.78325,15.850000000000023,15.850000000000023
0.976873,15.850000000000023,15.850000000000023
1.1735,15.850000000000023,15.850000000000023
1.3722,15.850000000000023,15.850000000000023
1.57304,15.850000000000023,15.850000000000023
1.7761,15.850000000000023,15.850000000000023
1.98144,15.850000000000023,15.850000020000039
2.18916,15.85000001000003,15.850000100000045
2.39686,15.850000020000039,15.850000580000028
2.60036,15.850000060000013,15.850005550000049
2.79588,15.850000120000004,15.850005550000049
2.98039,15.850000240000043,15.85001686000004
3.23707,15.850000560000012,15.850066490000017
3.39673,15.850000910000006,15.850127970000017
3.62522,15.850001700000007,15.850221780000027
3.77341,15.850002490000008,15.850221780000027
3.99368,15.850004220000017,15.850390800000014
4.2167,15.850006860000008,15.850893460000009
4.3681,15.850009320000026,15.850893460000009
4.59502,15.850014200000032,15.851266230000022
4.82731,15.850020950000044,15.854303310000034
4.9896,15.850026870000022,15.854303310000034
5.23843,15.850037870000051,15.87309988000004
5.40958,15.850046829999997,15.887082380000038
5.58225,15.850056960000018,15.887082380000038
5.75649,15.85006826,15.896135300000026
6.02028,15.850087970000004,15.898195380000004
6.19836,15.850104369999997,15.892313130000048
6.37819,15.850125630000036,15.892313130000048
6.56104,15.850154750000002,15.885237500000017
6.8353,15.85021579000005,15.873214520000033
7.01814,15.850265930000035,15.871720449999998
7.20228,15.85034735000005,15.87230052000001
7.38642,15.850416510000002,15.87230052000001
7.56857,15.850510290000045,15.876258390000032
7.8057,15.850980120000031,15.882784060000006
8.03421,15.851891870000031,15.903234490000045
8.20334,15.852864600000032,15.903234490000045
8.43836,15.854667770000049,15.929078480000044
8.59524,15.856010500000025,15.936762110000018
8.83619,15.85834028000005,15.944811290000018
8.97623,15.860026750000031,15.944811290000018
9.21789,15.862315109999997,15.95220310000002
9.37909,15.863804640000012,15.95220310000002
9.59881,15.865762350000011,15.956002660000024
9.76153,15.866784550000034,15.956002660000024
10.0103,15.868180120000034,15.957596530000046
10.2272,15.868568390000007,15.957913140000016
10.3903,15.86855681000003,15.95850987
10.5611,15.86838014,15.95850987
10.7966,15.867999760000032,15.961913750000008
10.9662,15.867386830000044,15.961913750000008
11.2102,15.866299340000012,15.974716090000015
11.3785,15.865803800000037,15.974716090000015
11.6321,15.866516190000027,16.006660790000012
11.7925,15.865377190000004,16.006660790000012
12.0413,15.866312680000021,16.073806620000028
12.2071,15.867005430000006,16.073806620000028
12.3729,15.868305980000002,16.12682534000004
12.6216,15.868432760000019,16.28021726000003
12.7865,15.871510320000027,16.361541079999995
13.0334,15.873589400000014,16.482836220000024
13.1973,15.878435140000022,16.63179352000003
13.3612,15.88251064000002,16.63179352000003
13.6071,15.890060340000048,16.818890900000042
13.7721,15.896489210000027,17.054365270000005
14.0224,15.907681780000019,17.556052600000044
14.1907,15.912257060000002,17.556052600000044
14.3604,15.924508830000036,17.827492500000005
14.6194,15.944613059999995,18.264748540000028
14.7944,15.959125590000042,18.264748540000028
14.9724,15.969000520000009,18.477424799999994
15.2385,15.996851180000021,18.841961830000002
15.4149,16.019307010000034,18.841961830000002
15.5912,16.045621850000032,18.996285139999998
15.7676,16.079105670000047,19.134704830000032
16.0267,16.141851840000015,19.365648890000045
16.2014,16.189681760000042,19.365648890000045
16.3781,16.242657050000048,19.470501800000022
16.6431,16.330085410000038,19.586826400000007
16.8198,16.393705030000035,19.620336199999997
16.9965,16.46180460000005,19.620336199999997
17.1732,16.535377340000025,19.638614220000022
17.4382,16.658856160000028,19.616582649999998
17.609,16.746263310000018,19.58006942000003
17.7798,16.834345480000025,19.58006942000003
18.0359,16.958942500000035,19.467972880000048
18.2067,17.032278590000033,19.467972880000048
18.3775,17.089640660000043,19.38906277000001
18.6337,17.176515300000005,19.247821620000025
18.8045,17.216471850000005,19.189891799999998
18.9753,17.246727420000013,19.189891799999998
19.2315,17.282667890000027,19.06733243000002
19.4022,17.296607800000004,19.06733243000002
19.573,17.303715030000035,19.018151980000027
19.8292,17.30540929,18.940430760000027
20.0,17.30226108000005,18.89693489000001
20.1709,17.29708919000001,18.89693489000001
20.4274,17.288974710000048,18.809996710000007
20.5987,17.284094170000003,18.809996710000007
20.7704,17.280550810000022,18.762458900000013
21.0271,17.27885537000003,18.735565020000024
21.1988,17.281667690000006,18.777163169999994
21.3694,17.289446690000034,18.777163169999994
21.6219,17.309348250000028,19.06264275000001
21.7886,17.328580079999995,19.06264275000001
22.0373,17.36674486000004,19.687707740000008
22.2029,17.398704460000033,19.98558281000004
22.3692,17.436063330000025,19.98558281000004
22.6203,17.50042318000004,20.536516250000034
22.7886,17.54786949000004,20.536516250000034
22.9577,17.598500639999997,20.705812070000036
23.213,17.678784380000025,20.76583604000001
23.3843,17.736118250000004,20.76583604000001
23.643,17.830254700000012,20.591028770000037
23.8165,17.89917035000002,20.45795079000004
23.9906,17.971133880000025,20.308695150000005
24.1655,18.04121262000001,20.308695150000005
24.4294,18.138203730000043,19.99655266000002
24.6064,18.19611149000002,19.846470590000024
24.7833,18.248890060000008,19.846470590000024
24.9608,18.296569309999995,19.70810954000001
25.2277,18.36073041000003,19.467933060000007
25.4057,18.401389429999995,19.36426406000004
25.5837,18.437901210000007,19.36426406000004
25.7611,18.468668500000035,19.271978570000044
26.0264,18.509636900000032,19.10635326000005
26.2022,18.52198013000003,19.05321230000004
26.3774,18.52568537000002,19.05321230000004
26.6388,18.52640335000001,18.99800939000005
26.8118,18.507873270000005,19.01507747000005
26.9842,18.48447937000003,19.01507747000005
27.2405,18.46078246000002,19.17285247000001
27.4101,18.43688641,19.17285247000001
27.5785,18.404048270000033,19.314435180000032
27.8297,18.36029652000002,19.67755065
27.9959,18.32257513000002,19.67755065
28.1614,18.29108990000003,19.86634833000005
28.4098,18.241431370000043,20.191112860000032
28.5754,18.20807616000002,20.191112860000032
28.8249,18.158081770000024,20.403461800000002
28.9917,18.130295070000045,20.403461800000002
29.1592,18.109288540000023,20.46524936000003
29.4106,18.069773750000024,20.51488108000001
29.5787,18.05126623000001,20.51488108000001
29.8309,18.01891495000001,20.507607450000023
29.9989,17.995156699999995,20.507607450000023
30.167,17.98795161000004,20.490268189999995
30.4192,17.966512280000018,20.454312080000022
30.5872,17.949525480000034,20.434322760000043
30.8394,17.952290600000026,20.411863070000038
31.0067,17.950538410000036,20.38594611000002
31.1732,17.951435050000043,20.38594611000002
31.423,17.95993765000003,20.320109100000025
31.5888,17.970658100000037,20.279821190000007
31.837,17.993759220000015,20.224112190000028
32.0028,18.014102500000035,20.224112190000028
32.1694,18.03837033000002,20.177714510000044
32.4193,18.081261890000007,20.08874479000002
32.5859,18.113876000000005,20.08874479000002
32.8377,18.16809724000001,20.009678090000023
33.0062,18.20749900000004,20.009678090000023
33.1748,18.24953922000003,19.981569420000028
33.4307,18.31775952000004,19.96539653000002
33.6013,18.36433273,19.96539653000002
33.772,18.390321080000035,19.974898450000012
34.0303,18.489363600000047,20.02771844
34.2034,18.518656910000004,20.02771844
34.3764,18.58825863000004,20.066719910000018
34.6359,18.649916820000044,20.15415059000003
34.809,18.680358260000048,20.19756222000001
34.9835,18.72536322000002,20.19756222000001
35.1595,18.75500487000005,20.23873997000004
35.4235,18.812332370000036,20.31025415000005
35.5996,18.848673020000035,20.339934510000035
35.7756,18.881628739999996,20.339934510000035
36.0396,18.924471480000022,20.387090890000025
36.2156,18.959553770000014,20.404645670000036
36.3916,18.981480110000007,20.418517210000005
36.5677,19.002647800000034,20.418517210000005
36.8317,19.03989462000004,20.43568726000001
37.0077,19.06759753,20.438303940000026
37.1837,19.11073295,20.438303940000026
37.3597,19.134745199999998,20.43733414000002
37.6152,19.19272606000004,20.423017700000003
37.7856,19.23356352000002,20.423017700000003
38.0411,19.299465190000035,20.38641156
38.2114,19.345618760000036,20.36414873000001
38.3818,19.39293084000002,20.36414873000001
38.6373,19.46456754000002,20.31081193
38.8076,19.511886440000012,20.289152560000048
38.978,19.558446370000013,20.289152560000048
39.2335,19.62924429000003,20.256832790000033
39.4038,19.672606280000025,20.256832790000033
39.5742,19.717304119999994,20.250111779999997
39.8297,19.7907189,20.260600320000037
40.0,19.833462139999995,20.273559390000003
40.1639,19.881289530000004,20.273559390000003
40.4088,19.94240178000001,20.312937990000023
40.5714,19.98305381,20.312937990000023
40.8146,20.040431230000024,20.360159339999996
40.9765,20.07160809000004,20.360159339999996
41.219,20.121313620000024,20.394225240000026
41.3802,20.147747589999994,20.394225240000026
41.622,20.17680591000004,20.413848140000027
41.7832,20.194145579999997,20.413848140000027
42.0243,20.215167740000027,20.41325733000002
42.1848,20.225412980000044,20.41325733000002
42.4256,20.246603649999997,20.4002251
42.5861,20.259133100000042,20.4002251
42.8268,20.274378370000022,20.381433630000004
42.9873,20.284912770000005,20.37528679000002
43.2281,20.310777889999997,20.370291020000025
43.3886,20.32867275000001,20.370291020000025
43.6293,20.344741190000036,20.37365785000003
43.7906,20.37276976000004,20.38104364000003
