time_s,rack 1,rack 2,rack 3,rack 4
0.192764,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
0.42331,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
0.592975,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
0.78325,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
0.976873,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
1.1735,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
1.3722,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
1.57304,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
1.7761,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
1.98144,15.850000000000023,15.850000000000023,15.850000000000023,15.850000000000023
2.18916,15.85000001000003,15.850000000000023,15.850000000000023,15.85000001000003
2.39686,15.850000020000039,15.850000000000023,15.850000000000023,15.850000020000039
2.60036,15.850000060000013,15.850000000000023,15.850000000000023,15.850000060000013
2.79588,15.850000120000004,15.850000000000023,15.850000000000023,15.850000120000004
2.98039,15.850000240000043,15.850000000000023,15.850000000000023,15.850000240000043
3.23707,15.850000560000012,15.850000000000023,15.850000000000023,15.850000560000012
3.39673,15.850000899999998,15.850000000000023,15.850000000000023,15.850000910000006
3.62522,15.850001700000007,15.850000000000023,15.850000000000023,15.850001700000007
3.77341,15.850002490000008,15.850000000000023,15.850000000000023,15.850002490000008
3.99368,15.850004220000017,15.850000000000023,15.850000000000023,15.850004220000017
4.2167,15.850006860000008,15.850000000000023,15.850000000000023,15.850006860000008
4.3681,15.850009320000026,15.850000000000023,15.850000000000023,15.850009320000026
4.59502,15.850014200000032,15.850000000000023,15.850000000000023,15.850014200000032
4.82731,15.850020950000044,15.850000000000023,15.850000000000023,15.850020950000044
4.9896,15.850026870000022,15.850000000000023,15.850000000000023,15.850026860000014
5.23843,15.850037870000051,15.850000000000023,15.850000000000023,15.850037860000043
5.40958,15.850046829999997,15.85000001000003,15.85000001000003,15.850046810000038
5.58225,15.850056960000018,15.85000001000003,15.85000001000003,15.850056940000002
5.75649,15.85006826,15.850000030000047,15.850000030000047,15.850068230000034
6.02028,15.850087970000004,15.850000100000045,15.850000100000045,15.850087940000037
6.19836,15.850104369999997,15.850000240000043,15.850000240000043,15.850104350000038
6.37819,15.850125620000028,15.850000590000036,15.850000590000036,15.850125630000036
6.56104,15.850154710000027,15.850001410000004,15.850001420000012,15.850154750000002
6.8353,15.850215660000003,15.850007470000037,15.850007510000012,15.85021579000005
7.01814,15.850265750000005,15.850022200000012,15.850022310000043,15.850265930000035
7.20228,15.850347250000027,15.850054650000004,15.850054900000032,15.85034735000005
7.38642,15.850416350000046,15.850170079999998,15.850170670000011,15.850416510000002
7.56857,15.850510290000045,15.850403450000044,15.85040446000005,15.850510290000045
7.8057,15.850588960000039,15.850978510000004,15.850980120000031,15.85058921000001
8.03421,15.850720130000013,15.85189028000002,15.851891870000031,15.85072034000001
8.20334,15.850836870000023,15.852860300000032,15.852864600000032,15.850837100000035
8.43836,15.85108058000003,15.854666420000001,15.854667770000049,15.851080780000018
8.59524,15.85113726000003,15.856010500000025,15.856009029999996,15.851137540000025
8.83619,15.851654770000039,15.85834028000005,15.858340080000005,15.85165515
8.97623,15.852397870000004,15.860026750000031,15.860023720000015,15.852397350000047
9.21789,15.853085020000037,15.862315109999997,15.862312520000046,15.85308550000002
