row,tile_supply_m3_s,rack_demand_m3_s,bypass_m3_s
rack 1,0.24500000000000008,0.349999999998438,-0.10499999999843793
rack 2,0.24500000000000008,0.34999999999869,-0.10499999999868995
rack 3,0.24500000000000008,0.34999999999977,-0.10499999999976992
rack 4,0.24500000000000008,0.349999999995392,-0.10499999999539192

# bypass = tile supply - rack demand; NEGATIVE is the deficit the rack makes up from recirculated room air
SHI,0.2789469837647903,,
RHI,0.7210530162352097,,
