time_s,Ux,Uy,Uz,T,p_rgh
5.23843,0.02456954104,0.01393693467,0.009379985686,0.006706379874,0.05910986554
5.32376,0.02478178295,0.01410131044,0.009326187669,0.006806448335,0.06076285102
5.40958,0.0247595958,0.01412375692,0.009205968948,0.006849894331,0.06155716813
5.49592,0.0247675268,0.01413061627,0.009088919692,0.006898196802,0.06219459204
5.58225,0.02465602443,0.01404815664,0.008935513109,0.006901539351,0.06215269904
5.6691,0.02462871395,0.01400279561,0.008830077474,0.006937443273,0.06222179662
5.75649,0.02464663062,0.01395375371,0.008725164169,0.006971923155,0.06180977788
5.84387,0.02450790772,0.01384705849,0.008591611003,0.006971916045,0.06067703327
5.9318,0.02447311082,0.01379904652,0.008491411386,0.007001878546,0.05975386943
6.02028,0.02440367966,0.01376877098,0.008399152319,0.007034111539,0.05911909597
6.10932,0.02432803758,0.01376586137,0.008312915987,0.007065339863,0.05926927711
6.19836,0.0241261036,0.01371304123,0.008202080522,0.0070603352,0.05902253138
6.28798,0.02399208594,0.01374523661,0.008146904623,0.007090691714,0.05942465957
6.37819,0.02386854227,0.01378513044,0.008108304842,0.007120649493,0.06000102811
6.46962,0.0238003202,0.0138992775,0.00811871578,0.00720006537,0.06065577887
6.56104,0.02347477853,0.01388853097,0.008065524043,0.00719758369,0.06050980509
6.65246,0.02317264312,0.01388311469,0.008020979412,0.007185497964,0.06011530183
6.74388,0.02288523635,0.01385933061,0.007987940046,0.007179916908,0.05961288138
6.8353,0.02257080241,0.01382063782,0.007956294903,0.007178434701,0.05938162409
6.92672,0.0223627811,0.01382074331,0.007932754117,0.007163166818,0.05939616939
7.01814,0.02218496005,0.01380372846,0.007909719341,0.007160882375,0.05958760145
7.11021,0.02217333153,0.01384412306,0.007917088014,0.007205247539,0.06010011732
7.20228,0.02211403293,0.01381950253,0.007901890822,0.007177013952,0.06019015208
7.29435,0.0255271798,0.01556972346,0.008314170999,0.007162247509,0.06622323819
7.38642,0.02458416895,0.0148576876,0.00912612582,0.007129750073,0.06202124609
7.47783,0.02227286525,0.0138450248,0.007979540206,0.007047597791,0.06044814598
7.56857,0.02492777305,0.01534983065,0.008322386513,0.006981038058,0.06536716796
7.658,0.02427964527,0.01437735761,0.008914294943,0.006858895607,0.06002430089
7.74679,0.02196591242,0.01331845519,0.007869881305,0.00678163488,0.05812231564
7.8057,0.01708466554,0.01047443844,0.005989293601,0.004652207008,0.05049259475
7.87307,0.0220885033,0.01253533603,0.008422702172,0.005216733905,0.0496952167
7.94934,0.02164025705,0.01319685172,0.008045789104,0.005850985589,0.05599233195
8.03421,0.02488413712,0.01415979557,0.008331309017,0.006375813199,0.05858316415
8.11968,0.02527162965,0.0141315083,0.008657475766,0.006386600459,0.05810872525
8.20334,0.02454126964,0.01368540876,0.008380893211,0.006240559926,0.05720849888
8.27661,0.02172341421,0.01214825415,0.007551136784,0.005513307712,0.05322476365
8.35636,0.03512864735,0.02025565157,0.01385308882,0.005912281926,0.05814360002
8.43836,0.03794502165,0.01882848315,0.01313604233,0.006025395971,0.05868044568
8.51921,0.02636258327,0.01397219215,0.009724399368,0.005882265958,0.05566238212
8.59524,0.02221363333,0.01207888358,0.00777940588,0.005500753508,0.05252204249
8.67556,0.034987283,0.0195825586,0.01399747526,0.005709576869,0.05436319845
8.75588,0.0367913789,0.01814066386,0.01309042327,0.005629718756,0.05336861512
8.83619,0.02592684162,0.0135414397,0.009580348449,0.00556985618,0.05084495676
8.90225,0.02811277371,0.01573697759,0.01143934087,0.004631939521,0.04689146391
8.97623,0.02457795895,0.01412886354,0.00994997403,0.005078854999,0.04795615771
9.05387,0.04205564148,0.0209643149,0.01642696548,0.005248365634,0.05405706969
9.13495,0.03081006417,0.01520133753,0.01089108356,0.005406339275,0.05100966277
9.21789,0.03668026501,0.01770218612,0.01304285025,0.005437337706,0.05184693948
9.29546,0.02893404856,0.01498923347,0.01084325979,0.005100629083,0.04848249378
9.37909,0.03803950664,0.01829037898,0.01366946359,0.005368498402,0.05162699807
9.46271,0.03034667508,0.01520066807,0.01097101122,0.005334510646,0.04976372159
