# F28 centrebody profile -- THE REGISTERED ARTIFACT of section 4.
# Actuator-disk representation; no rotor.
# nose: C1 smoothstep TANGENT TO THE AXIS at the apex (x=-0.03);
# tail: STRAIGHT CONE terminating AT the exit plane (section 7.1).
x_m,r_m
-0.008265,0.00680000841205
-0.00815,0.00686411401978
-0.008035,0.00692843059466
-0.00792,0.0069929568
-0.007805,0.00705769129909
-0.00769,0.00712263275522
-0.007575,0.0071877798317
-0.00746,0.0072531311918
-0.007345,0.00731868549882
-0.00723,0.00738444141606
-0.007115,0.00745039760682
-0.007,0.00751655273437
-0.006885,0.00758290546203
-0.00677,0.00764945445308
-0.006655,0.00771619837081
-0.00654,0.00778313587852
-0.006425,0.0078502656395
-0.00631,0.00791758631704
-0.006195,0.00798509657444
-0.00608,0.008052795075
-0.005965,0.008120680482
-0.00585,0.00818875145874
-0.005735,0.00825700666851
-0.00562,0.00832544477461
-0.005505,0.00839406444033
-0.00539,0.00846286432896
-0.005275,0.00853184310379
-0.00516,0.00860099942812
-0.005045,0.00867033196525
-0.00493,0.00873983937847
-0.004815,0.00880952033106
-0.0047,0.00887937348633
-0.004585,0.00894939750756
-0.00447,0.00901959105806
-0.004355,0.0090899528011
-0.00424,0.0091604814
-0.004125,0.00923117551804
-0.00401,0.00930203381851
-0.003895,0.0093730549647
-0.00378,0.00944423761992
-0.003665,0.00951558044745
-0.00355,0.0095870821106
-0.003435,0.00965874127264
-0.00332,0.00973055659687
-0.003205,0.0098025267466
-0.00309,0.00987465038511
-0.002975,0.00994692617569
-0.00286,0.0100193527816
-0.002745,0.0100919288663
-0.00263,0.0101646530928
-0.002515,0.0102375241246
-0.0024,0.010310540625
-0.002285,0.0103837012572
-0.00217,0.0104570046845
-0.002055,0.0105304495703
-0.00194,0.0106040345777
-0.001825,0.0106777583702
-0.00171,0.010751619611
-0.001595,0.0108256169634
-0.00148,0.0108997490906
-0.001365,0.0109740146561
-0.00125,0.011048412323
-0.001135,0.0111229407547
-0.00102,0.0111975986145
-0.000905,0.0112723845656
-0.00079,0.0113472972713
-0.000675,0.0114223353951
-0.00056,0.0114974976
-0.000445,0.0115727825495
-0.00033,0.0116481889068
-0.000215,0.0117237153352
-0.0001,0.011799360498
1.5e-05,0.0118751230586
0.00013,0.0119510016801
0.000245,0.012026995026
