# F28 duct inner/outer surfaces and the O-band boundary C'.
# Actuator-disk representation; no rotor.
x_m,r_inner_m,r_outer_m,r_cprime_inner_m,r_cprime_outer_m
0,0.14,0.14,0.136312436783,0.143113727598
0.0001,0.138776276175,0.140692531588,0.136177534402,0.143222957702
0.0002,0.138270838353,0.14097897906,0.136043569533,0.143331069327
0.0003,0.137883989603,0.141198499061,0.13591053865,0.143438069129
0.0004,0.137558688877,0.141383329317,0.135778438227,0.143543963765
0.0005,0.137272821971,0.141545962483,0.135647264738,0.143648759891
0.0006,0.137015037689,0.141692808318,0.135517014658,0.143752464162
0.0007,0.136778587266,0.14182767612,0.135387684462,0.143855083236
0.0008,0.136559069893,0.141953048899,0.135259270623,0.143956623768
0.0009,0.136353426266,0.142070652071,0.135131769616,0.144057092415
0.001,0.136159427126,0.142181742423,0.135005177915,0.144156495832
0.0011,0.135975388217,0.142287269114,0.134879491995,0.144254840677
0.0012,0.1358,0.142387969849,0.13475470833,0.144352133604
0.0013,0.135632220244,0.142484431525,0.134630823395,0.144448381271
0.0014,0.13547120325,0.142577130187,0.134507833663,0.144543590334
0.0015,0.135316251501,0.142666458325,0.134385735609,0.144637767448
0.0016,0.135166781611,0.142752744085,0.134264525708,0.14473091927
0.0017,0.135022299728,0.14283626515,0.134144200434,0.144823052457
0.0018,0.134882383367,0.142917258987,0.134024756261,0.144914173664
0.0019,0.134746667724,0.142995930573,0.133906189663,0.145004289547
0.002,0.134614835193,0.143072458299,0.133788497116,0.145093406763
0.0021,0.134486607215,0.14314699857,0.133671675092,0.145181531968
0.0022,0.134361737856,0.143219689426,0.133555720068,0.145268671818
0.0023,0.134240008681,0.143290653431,0.133440628516,0.14535483297
0.0024,0.134121224617,0.14336,0.133326396912,0.145440022079
0.0025,0.134005210596,0.1434278273,0.133213021729,0.145524245802
0.0026,0.133891808778,0.143494223805,0.133100499443,0.145607510795
0.0027,0.133780876268,0.143559269588,0.132988826527,0.145689823714
0.0028,0.133672283192,0.1436230374,0.132877999456,0.145771191215
0.0029,0.133565911098,0.143685593575,0.132768014704,0.145851619955
0.003,0.133461651585,0.143746998799,0.132658868745,0.14593111659
0.0031,0.133359405147,0.143807308761,0.132550558055,0.146009687775
0.0032,0.133259080181,0.143866574712,0.132443079106,0.146087340168
0.0033,0.133160592131,0.143924843946,0.132336428375,0.146164080424
0.0034,0.133063862746,0.143982160218,0.132230602334,0.1462399152
0.0035,0.132968819445,0.144038564101,0.132125597459,0.146314851151
0.0036,0.132875394748,0.144094093306,0.132021410223,0.146388894935
0.0037,0.132783525792,0.144148782954,0.131918037102,0.146462053206
0.0038,0.132693153895,0.144202665821,0.131815474569,0.146534332622
0.0039,0.132604224179,0.14425577255,0.131713719099,0.146605739838
0.004,0.132516685226,0.144308131846,0.131612767165,0.146676281511
0.0041,0.132430488787,0.144359770636,0.131512615244,0.146745964297
0.0042,0.132345589507,0.144410714228,0.131413259808,0.146814794853
0.0043,0.132261944689,0.144460986438,0.131314697333,0.146882779833
0.0044,0.132179514082,0.144510609715,0.131216924292,0.146949925895
0.0045,0.132098259685,0.144559605246,0.13111993716,0.147016239695
0.0046,0.132018145579,0.144607993056,0.131023732411,0.147081727889
0.0047,0.131939137763,0.144655792092,0.130928306521,0.147146397133
0.0048,0.13186120402,0.144703020306,0.130833655962,0.147210254083
0.0049,0.131784313784,0.144749694727,0.130739777209,0.147273305396
0.005,0.131708438024,0.144795831523,0.130646666738,0.147335557728
0.0051,0.13163354914,0.144841446065,0.130554321021,0.147397017734
0.0052,0.131559620862,0.144886552977,0.130462736534,0.147457692072
0.0053,0.131486628165,0.144931166191,0.130371909751,0.147517587397
0.0054,0.131414547187,0.144975298986,0.130281837146,0.147576710365
0.0055,0.131343355153,0.145018964037,0.130192515194,0.147635067634
0.0056,0.131273030308,0.145062173446,0.130103940369,0.147692665858
0.0057,0.131203551853,0.145104938785,0.130016109144,0.147749511694
0.0058,0.131134899888,0.145147271122,0.129929017996,0.147805611799
0.0059,0.131067055357,0.145189181053,0.129842663398,0.147860972828
0.006,0.131,0.145230678732,0.129757041824,0.147915601438
0.0061,0.130933716307,0.145271773895,0.129672149748,0.147969504285
0.0062,0.130868187475,0.145312475882,0.129587983646,0.148022688025
0.0063,0.130803397366,0.145352793663,0.129504539992,0.148075159314
0.0064,0.130739330478,0.145392735855,0.129421815259,0.148126924809
0.0065,0.130675971901,0.145432310742,0.129339805922,0.148177991166
0.0066,0.130613307292,0.145471526295,0.129258508456,0.14822836504
0.0067,0.130551322844,0.145510390186,0.129177919335,0.148278053089
0.0068,0.130490005258,0.145548909803,0.129098035033,0.148327061968
0.0069,0.130429341715,0.145587092267,0.129018852025,0.148375398333
0.007,0.130369319858,0.145624944444,0.128940366785,0.148423068842
0.0071,0.130309927761,0.145662472958,0.128862575787,0.148470080149
0.0072,0.130251153914,0.145699684202,0.128785475506,0.148516438911
0.0073,0.130192987203,0.14573658435,0.128709062416,0.148562151785
0.0074,0.130135416887,0.145773179367,0.128633332991,0.148607225426
0.0075,0.130078432584,0.145809475019,0.128558283706,0.148651666491
0.0076,0.130022024253,0.145845476884,0.128483911036,0.148695481636
0.0077,0.129966182182,0.145881190356,0.128410211453,0.148738677516
0.0078,0.129910896968,0.145916620657,0.128337181434,0.14878126079
0.0079,0.129856159504,0.145951772845,0.128264817452,0.148823238112
0.008,0.129801960973,0.145986651819,0.128193115982,0.148864616138
0.0081,0.129748292825,0.146021262326,0.128122073498,0.148905401525
0.0082,0.129695146774,0.14605560897,0.128051686474,0.14894560093
0.0083,0.129642514784,0.146089696216,0.127981951384,0.148985221008
0.0084,0.129590389056,0.146123528395,0.127912864704,0.149024268415
0.0085,0.129538762024,0.146157109712,0.127844422907,0.149062749808
0.0086,0.129487626338,0.146190444249,0.127776622468,0.149100671843
0.0087,0.129436974865,0.146223535972,0.127709459862,0.149138041176
0.0088,0.129386800671,0.146256388735,0.127642931561,0.149174864464
0.0089,0.129337097018,0.146289006281,0.127577034042,0.149211148362
0.009,0.129287857357,0.146321392252,0.127511763778,0.149246899527
0.0091,0.129239075319,0.146353550189,0.127447117243,0.149282124614
0.0092,0.129190744707,0.146385483537,0.127383090912,0.149316830281
0.0093,0.129142859492,0.146417195649,0.12731968126,0.149351023183
0.0094,0.129095413809,0.146448689789,0.12725688476,0.149384709976
0.0095,0.129048401943,0.146479969136,0.127194697887,0.149417897318
0.0096,0.129001818332,0.146511036784,0.127133117116,0.149450591863
0.0097,0.128955657557,0.14654189575,0.127072138921,0.149482800268
0.0098,0.128909914338,0.146572548973,0.127011759775,0.14951452919
0.0099,0.128864583528,0.146602999318,0.126951976155,0.149545785284
0.01,0.128819660113,0.146633249581,0.126892784532,0.149576575207
0.0101,0.128775139199,0.146663302485,0.126834181384,0.149606905614
0.0102,0.128731016017,0.146693160688,0.126776163182,0.149636783163
0.0103,0.128687285914,0.146722826786,0.126718726403,0.149666214509
0.0104,0.128643944347,0.146752303311,0.12666186752,0.149695206309
0.0105,0.128600986885,0.146781592733,0.126605583008,0.149723765218
0.0106,0.128558409202,0.146810697468,0.12654986934,0.149751897894
0.0107,0.128516207073,0.146839619872,0.126494722992,0.149779610991
0.0108,0.128474376373,0.14686836225,0.126440140438,0.149806911167
0.0109,0.128432913072,0.146896926852,0.126386118152,0.149833805077
0.011,0.128391813234,0.146925315877,0.126332652608,0.149860299378
0.0111,0.128351073011,0.146953531477,0.126279740282,0.149886400725
0.0112,0.128310688643,0.146981575753,0.126227377646,0.149912115776
0.0113,0.128270656455,0.147009450763,0.126175561176,0.149937451187
0.0114,0.128230972852,0.147037158517,0.126124287346,0.149962413612
0.0115,0.128191634321,0.147064700984,0.12607355263,0.14998700971
0.0116,0.128152637424,0.14709208009,0.126023353502,0.150011246135
0.0117,0.128113978799,0.147119297718,0.125973686438,0.150035129544
0.0118,0.128075655154,0.147146355715,0.125924547911,0.150058666594
0.0119,0.128037663272,0.147173255886,0.125875934396,0.15008186394
0.012,0.128,0.1472,0.125827842367,0.150104728239
0.0121,0.127962662254,0.14722658979,0.125780268298,0.150127266147
0.0122,0.127925647015,0.147253026954,0.125733208664,0.15014948432
0.0123,0.127888951325,0.147279313154,0.125686659939,0.150171389414
0.0124,0.127852572289,0.14730545002,0.125640618598,0.150192988086
0.0125,0.127816507069,0.147331439149,0.125595081115,0.150214286991
0.0126,0.127780752887,0.147357282107,0.125550043964,0.150235292786
0.0127,0.127745307021,0.147382980428,0.125505503619,0.150256012128
0.0128,0.127710166803,0.147408535618,0.125461456556,0.150276451671
0.0129,0.127675329619,0.147433949152,0.125417899247,0.150296618073
0.013,0.127640792906,0.14745922248,0.125374828169,0.15031651799
0.0131,0.127606554151,0.14748435702,0.125332239794,0.150336158078
0.0132,0.127572610894,0.147509354167,0.125290130598,0.150355544993
0.0133,0.127538960718,0.147534215288,0.125248497055,0.150374685391
0.0134,0.127505601255,0.147558941725,0.125207335639,0.150393585928
0.0135,0.127472530184,0.147583534796,0.125166642824,0.150412253262
0.0136,0.127439745226,0.147607995794,0.125126415086,0.150430694047
0.0137,0.127407244146,0.147632325989,0.125086648897,0.15044891494
0.0138,0.127375024752,0.147656526628,0.125047340733,0.150466922598
0.0139,0.127343084894,0.147680598935,0.125008487068,0.150484723676
0.014,0.12731142246,0.147704544114,0.124970084376,0.15050232483
0.0141,0.127280035377,0.147728363345,0.124932129132,0.150519732718
0.0142,0.127248921614,0.147752057791,0.12489461781,0.150536953995
0.0143,0.127218079174,0.147775628592,0.124857546885,0.150553995317
0.0144,0.127187506098,0.147799076868,0.12482091283,0.15057086334
0.0145,0.127157200461,0.147822403723,0.12478471212,0.150587564721
0.0146,0.127127160375,0.147845610238,0.12474894123,0.150604106116
