# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.95
#  x (mm)    T (deg C)
   0.33     18.14 
   0.58     19.51 
   0.84     21.01 
   1.09     22.49 
   1.6      25.34 
   2.11     28.04 
   2.61     30.29 
   3.25     33.08 
   3.88     35.37 
   5.15     39.21 
   6.42     41.99 
   7.69     43.56 
   8.96     44.72 
   10.23    45.29 
   11.5     45.68 
   12.77    45.96 
   15.31    46.01 
   17.85    45.95 
   20.39    45.73 
   22.93    45.65 
   25.47    45.64 
   28.01    45.69 
   30.55    45.65 
   33.09    45.54 
   35.63    45.65 
   38.17    45.82 
   40.57    45.74 
   43.11    45.77 
   45.65    45.82 
   48.19    45.81 
   50.73    45.73 
   53.27    46.04 
   55.81    46.1  
   58.35    46.33 
   60.89    46.69 
   63.43    46.74 
   64.7     47.04 
   65.97    47.35 
   67.24    47.77 
   68.51    48.26 
   69.78    48.66 
   71.05    49.33 
   72.32    50.24 
   72.95    50.76 
   73.59    51.6  
   74.09    52.17 
   74.6     52.88 
   75.11    53.42 
   75.36    53.9  
   75.62    54.07 
