# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.40
#  x (mm)    T (deg C)
   0.33    16.82 
   0.58    17.73 
   0.84    19.04 
   1.09    19.93 
   1.6     21.6  
   2.11    23.1  
   2.61    24.44 
   3.25    25.35 
   3.88    26.32 
   5.15    27.51 
   6.42    28.44 
   7.69    29.88 
   8.96    30.21 
   10.23   30.65 
   11.5    31.1  
   12.77   31.12 
   15.31   31.56 
   17.85   31.67 
   20.39   32.81 
   22.93   33.2  
   25.47   33.54 
   28.01   34.43 
   30.55   34.12 
   33.09   35.17 
   35.63   35.05 
   38.17   35.1  
   40.57   35.33 
   43.11   36.11 
   45.65   36.32 
   48.19   36.67 
   50.73   37.39 
   53.27   37.48 
   55.81   37.76 
   58.35   38.07 
   60.89   38.74 
   63.43   39.28 
   64.7    39.55 
   65.97   39.96 
   67.24   40.21 
   68.51   40.89 
   69.78   41.93 
   71.05   42.82 
   72.32   44.69 
   72.95   45.68 
   73.59   46.54 
   74.09   47.83 
   74.6    49.06 
   75.11   51.11 
   75.36   51.9  
   75.62   53.05 
   75.87   53.66 
