# Natural Convection in Tall Cavity: Ra=8.6E+5
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.05
#  x (mm)    T (deg C)
   0.33    14.7   
   0.58    14.86  
   0.84    15.07  
   1.09    15.2   
   1.6     15.55  
   2.11    15.8   
   2.61    16.08 
   3.25    16.44 
   3.88    16.74 
   5.15    17.16 
   6.42    17.55 
   7.69    17.77 
   8.96    17.93 
   10.23   18.06 
   11.5    18.19 
   12.77   18.36 
   15.31   18.5  
   17.85   18.87 
   20.39   18.86 
   22.93   18.96 
   25.47   19.02 
   28.01   19.19 
   30.55   19.06 
   33.09   19.07 
   35.63   19.16 
   38.17   19.16 
   40.57   20.77 
   43.11   19.16 
   45.65   20.83 
   48.19   19.16 
   50.73   20.87 
   53.27   19.16 
   55.81   20.97 
   58.35   19.22 
   60.89   19.19 
   63.43   19.35 
   64.7    19.75 
   65.97   20.08 
   67.24   20.5  
   68.51   21.29 
   69.78   22.7  
   71.05   24.3  
   72.32   26.25 
   72.95   27.56 
   73.59   28.89 
   74.09   30.07 
   74.6    31.42 
   75.11   32.55 
   75.36   32.99 
   75.62   33.65 
   75.87   34.58 
