# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.05
#  x (mm)    T (deg C)
   0.33    15.25  
   0.58    15.77  
   0.84    16.1   
   1.09    16.53  
   1.6     17.29  
   2.11    18.07  
   2.61    18.78  
   3.25    19.36  
   3.88    19.83  
   5.15    20.62  
   6.42    21.43  
   7.69    22.1   
   8.96    22.81  
   10.23   23.22  
   11.5    23.25  
   12.77   23.37  
   15.31   23.56  
   17.85   23.73  
   20.39   23.85  
   22.93   23.84  
   25.47   23.89  
   28.01   23.96  
   30.55   23.94  
   33.09   23.83  
   35.63   23.88  
   38.17   23.96  
   40.57   24.15  
   43.11   24.21  
   45.65   24.11  
   48.19   23.91  
   50.73   24.09  
   53.27   23.98  
   55.81   23.83  
   58.35   23.71  
   60.89   23.67  
   63.43   23.92  
   64.7    24.47  
   65.97   24.79  
   67.24   25.56  
   68.51   26.69  
   69.78   28.9   
   71.05   32.01  
   72.32   35.72  
   72.95   38.33  
   73.59   41.39  
   74.09   43.5   
   74.6    45.95  
   75.11   48.94  
   75.36   50.18  
   75.62   52.03  
   75.87   52.79  
