# Region            : cellZone slabA
# Cells             : 26
# Volume            : 7.139798445863e-09
# Time              	volAverage(p)
225                 	8.472929666887e+03
226                 	8.472929667091e+03
227                 	8.472929667285e+03
228                 	8.472929667413e+03
229                 	8.472929667050e+03
230                 	8.472929666657e+03
231                 	8.472929667000e+03
232                 	8.472929667200e+03
233                 	8.472929667110e+03
234                 	8.472929667109e+03
235                 	8.472929667011e+03
236                 	8.472929666869e+03
237                 	8.472929667065e+03
238                 	8.472929667124e+03
239                 	8.472929667104e+03
240                 	8.472929666908e+03
241                 	8.472929666928e+03
242                 	8.472929667157e+03
243                 	8.472929667303e+03
244                 	8.472929667117e+03
245                 	8.472929667028e+03
246                 	8.472929666962e+03
247                 	8.472929666939e+03
248                 	8.472929667205e+03
249                 	8.472929667128e+03
250                 	8.472929667211e+03
251                 	8.472929666881e+03
252                 	8.472929666890e+03
253                 	8.472929666962e+03
254                 	8.472929667227e+03
255                 	8.472929667131e+03
256                 	8.472929667213e+03
257                 	8.472929667080e+03
258                 	8.472929666941e+03
259                 	8.472929666750e+03
260                 	8.472929667236e+03
261                 	8.472929667390e+03
262                 	8.472929667430e+03
263                 	8.472929666703e+03
264                 	8.472929666631e+03
265                 	8.472929667038e+03
266                 	8.472929667389e+03
267                 	8.472929667061e+03
268                 	8.472929666911e+03
269                 	8.472929667094e+03
270                 	8.472929667007e+03
271                 	8.472929667032e+03
272                 	8.472929667128e+03
273                 	8.472929667300e+03
274                 	8.472929667190e+03
275                 	8.472929667154e+03
276                 	8.472929666782e+03
277                 	8.472929666715e+03
278                 	8.472929667091e+03
279                 	8.472929667366e+03
280                 	8.472929667231e+03
281                 	8.472929667067e+03
282                 	8.472929666994e+03
283                 	8.472929666763e+03
284                 	8.472929667133e+03
285                 	8.472929667230e+03
286                 	8.472929667255e+03
287                 	8.472929667029e+03
288                 	8.472929667054e+03
289                 	8.472929666924e+03
290                 	8.472929666912e+03
291                 	8.472929667164e+03
292                 	8.472929667145e+03
293                 	8.472929667258e+03
294                 	8.472929667074e+03
295                 	8.472929666773e+03
296                 	8.472929667006e+03
297                 	8.472929667082e+03
298                 	8.472929667358e+03
299                 	8.472929667107e+03
300                 	8.472929666968e+03
301                 	8.472929666989e+03
302                 	8.472929667101e+03
303                 	8.472929667133e+03
304                 	8.472929666897e+03
305                 	8.472929667059e+03
306                 	8.472929667337e+03
307                 	8.472929667063e+03
308                 	8.472929666864e+03
309                 	8.472929667028e+03
310                 	8.472929666967e+03
311                 	8.472929667417e+03
312                 	8.472929667042e+03
313                 	8.472929666920e+03
314                 	8.472929666785e+03
315                 	8.472929667315e+03
316                 	8.472929667319e+03
317                 	8.472929667074e+03
318                 	8.472929666910e+03
319                 	8.472929667127e+03
320                 	8.472929667047e+03
321                 	8.472929666975e+03
322                 	8.472929666971e+03
323                 	8.472929667198e+03
324                 	8.472929667119e+03
325                 	8.472929666874e+03
326                 	8.472929666991e+03
327                 	8.472929667194e+03
328                 	8.472929667252e+03
329                 	8.472929667086e+03
330                 	8.472929667007e+03
331                 	8.472929667087e+03
332                 	8.472929667206e+03
333                 	8.472929666991e+03
334                 	8.472929667035e+03
335                 	8.472929667003e+03
336                 	8.472929667276e+03
337                 	8.472929666945e+03
338                 	8.472929667156e+03
339                 	8.472929666924e+03
340                 	8.472929666914e+03
341                 	8.472929666917e+03
342                 	8.472929667268e+03
343                 	8.472929667254e+03
344                 	8.472929666937e+03
345                 	8.472929667021e+03
346                 	8.472929667066e+03
347                 	8.472929667131e+03
348                 	8.472929666786e+03
349                 	8.472929667302e+03
350                 	8.472929667414e+03
351                 	8.472929667075e+03
352                 	8.472929666891e+03
353                 	8.472929666817e+03
354                 	8.472929666918e+03
355                 	8.472929667112e+03
356                 	8.472929667295e+03
357                 	8.472929667341e+03
358                 	8.472929666908e+03
359                 	8.472929666969e+03
360                 	8.472929667145e+03
361                 	8.472929667053e+03
362                 	8.472929667046e+03
363                 	8.472929667126e+03
364                 	8.472929667130e+03
365                 	8.472929667116e+03
366                 	8.472929667010e+03
367                 	8.472929666908e+03
368                 	8.472929667012e+03
369                 	8.472929667016e+03
370                 	8.472929667224e+03
371                 	8.472929667168e+03
372                 	8.472929667064e+03
373                 	8.472929667064e+03
374                 	8.472929667035e+03
375                 	8.472929667058e+03
376                 	8.472929667033e+03
377                 	8.472929667081e+03
378                 	8.472929666840e+03
379                 	8.472929667182e+03
380                 	8.472929667206e+03
381                 	8.472929667220e+03
382                 	8.472929667210e+03
383                 	8.472929666831e+03
384                 	8.472929666749e+03
385                 	8.472929667195e+03
386                 	8.472929667188e+03
387                 	8.472929667398e+03
388                 	8.472929666978e+03
389                 	8.472929666693e+03
390                 	8.472929667059e+03
391                 	8.472929667214e+03
392                 	8.472929667256e+03
393                 	8.472929666967e+03
394                 	8.472929666842e+03
395                 	8.472929667115e+03
396                 	8.472929667302e+03
397                 	8.472929667102e+03
398                 	8.472929667015e+03
399                 	8.472929667108e+03
400                 	8.472929666911e+03
401                 	8.472929667138e+03
402                 	8.472929667096e+03
403                 	8.472929667182e+03
404                 	8.472929667043e+03
405                 	8.472929667154e+03
406                 	8.472929666690e+03
407                 	8.472929667048e+03
408                 	8.472929667190e+03
409                 	8.472929667127e+03
410                 	8.472929667270e+03
411                 	8.472929667130e+03
412                 	8.472929666987e+03
413                 	8.472929666987e+03
414                 	8.472929667034e+03
415                 	8.472929666865e+03
416                 	8.472929666923e+03
417                 	8.472929667071e+03
418                 	8.472929667179e+03
419                 	8.472929667264e+03
420                 	8.472929667243e+03
421                 	8.472929667033e+03
422                 	8.472929666813e+03
423                 	8.472929666972e+03
424                 	8.472929667310e+03
425                 	8.472929667249e+03
426                 	8.472929667036e+03
427                 	8.472929666902e+03
428                 	8.472929667035e+03
429                 	8.472929667095e+03
430                 	8.472929667212e+03
431                 	8.472929667183e+03
432                 	8.472929666812e+03
433                 	8.472929666770e+03
434                 	8.472929667171e+03
435                 	8.472929667296e+03
436                 	8.472929667053e+03
