# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
1                   	DILUPBiCGStab	1.000000000000e+00	5.199778634820e-02	1	9.999918117040e-01	3.563722281620e-02	1	false	DICPCG	1.000000000000e+00	8.813948713040e-03	11	true
2                   	DILUPBiCGStab	1.277015267190e-01	1.388694211380e-03	1	2.884212411560e-01	4.769264696450e-03	1	false	DICPCG	2.629694428400e-01	1.822858999210e-03	11	true
3                   	DILUPBiCGStab	6.142424002470e-02	5.374331106960e-03	1	1.564368226640e-01	9.564057285930e-03	1	false	DICPCG	2.574686486080e-01	2.370796860780e-03	10	true
4                   	DILUPBiCGStab	4.297915186770e-02	2.595870268430e-03	1	1.367450434540e-01	2.125453737560e-03	1	false	DICPCG	1.442617143420e-01	1.146589601540e-03	8	true
5                   	DILUPBiCGStab	3.473898520580e-02	1.582495089180e-03	1	9.741566638250e-02	1.609568136890e-03	1	false	DICPCG	8.453929028370e-02	5.593031500730e-04	10	true
6                   	DILUPBiCGStab	2.993774265080e-02	1.117071833030e-03	1	6.618921426890e-02	1.034902598480e-03	1	false	DICPCG	6.230457937230e-02	4.760230248310e-04	10	true
7                   	DILUPBiCGStab	2.669139898310e-02	8.603422528650e-04	1	4.974081181720e-02	4.849566885930e-03	1	false	DICPCG	5.263508445260e-02	5.154455868430e-04	9	true
8                   	DILUPBiCGStab	2.429863329390e-02	7.011873235230e-04	1	4.523449532260e-02	4.263730761410e-03	1	false	DICPCG	4.590961423970e-02	4.216311598860e-04	9	true
9                   	DILUPBiCGStab	2.244528659350e-02	5.932363056730e-04	1	4.148579390300e-02	4.130785263890e-03	1	false	DICPCG	4.023160842870e-02	3.626843142550e-04	9	true
10                  	DILUPBiCGStab	2.095047152230e-02	5.177191493500e-04	1	3.840501887790e-02	5.316596513890e-04	1	false	DICPCG	3.613223019840e-02	3.214862116250e-04	9	true
11                  	DILUPBiCGStab	1.970562995470e-02	4.609835678490e-04	1	3.426122403400e-02	4.938428900720e-04	1	false	DICPCG	3.227126767600e-02	2.816845777540e-04	9	true
12                  	DILUPBiCGStab	1.865194053710e-02	4.182191739030e-04	1	3.110892735910e-02	4.579691699030e-04	1	false	DICPCG	2.890934854900e-02	2.553097632940e-04	9	true
13                  	DILUPBiCGStab	1.773805681920e-02	3.854606591200e-04	1	2.857375496100e-02	4.231140339580e-04	1	false	DICPCG	2.618234595260e-02	2.350743517270e-04	9	true
14                  	DILUPBiCGStab	1.693400762810e-02	3.605046003270e-04	1	2.652353429160e-02	3.910973120020e-04	1	false	DICPCG	2.385435744540e-02	2.172074530400e-04	9	true
15                  	DILUPBiCGStab	1.622320169730e-02	3.420802930740e-04	1	2.493449245830e-02	3.630865314130e-04	1	false	DICPCG	2.183050376040e-02	2.009526216660e-04	9	true
16                  	DILUPBiCGStab	1.557430861370e-02	3.289333793470e-04	1	2.385587106810e-02	2.375584628890e-03	1	false	DICPCG	2.007157946170e-02	1.893879076630e-04	9	true
17                  	DILUPBiCGStab	1.499038364650e-02	3.184087989350e-04	1	2.389293265080e-02	2.222273186010e-03	1	false	DICPCG	1.860711476920e-02	1.741650198700e-04	9	true
18                  	DILUPBiCGStab	1.445216277030e-02	3.084319960730e-04	1	2.384960991980e-02	2.088286056400e-03	1	false	DICPCG	1.747058959130e-02	1.619166471570e-04	9	true
19                  	DILUPBiCGStab	1.395206029280e-02	2.989727739730e-04	1	2.414994210960e-02	1.976056937420e-03	1	false	DICPCG	1.654093218400e-02	1.514033964510e-04	9	true
20                  	DILUPBiCGStab	1.349070679360e-02	2.901171703570e-04	1	2.475547882010e-02	1.886162360400e-03	1	false	DICPCG	1.581206184760e-02	1.415385510190e-04	9	true
21                  	DILUPBiCGStab	1.305576881860e-02	2.816513829740e-04	1	2.544366403780e-02	1.808384658230e-03	1	false	DICPCG	1.524928147930e-02	1.323494042480e-04	9	true
22                  	DILUPBiCGStab	1.264460350900e-02	2.735536759140e-04	1	2.618296983510e-02	1.747070623460e-03	1	false	DICPCG	1.478993299150e-02	1.236469703290e-04	9	true
