# C2_hi_c_Ra130: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 51.87 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
52000	9.142825463e+01	0.248918560	2.974166859e-01	no
52500	9.142924777e+01	0.248923439	2.974141666e-01	no
53000	9.142688827e+01	0.248931925	2.974085657e-01	no
53500	9.142574267e+01	0.248942585	2.974091291e-01	no
54000	9.142762233e+01	0.248925938	2.974232667e-01	no
54500	9.142805497e+01	0.248939826	2.974076300e-01	no
55000	9.141930854e+01	0.248980219	2.973864746e-01	no
55500	9.142230244e+01	0.248916025	2.974242164e-01	no
56000	9.142487632e+01	0.248913405	2.974242375e-01	no
56500	9.142659003e+01	0.248929149	2.974114223e-01	no
57000	9.142809393e+01	0.248921203	2.974208814e-01	no
57500	9.142797182e+01	0.248887341	2.974333873e-01	no
58000	9.142820301e+01	0.248928805	2.974120382e-01	no
58500	9.142518047e+01	0.248939998	2.974218000e-01	no
59000	9.142764402e+01	0.248933576	2.974203436e-01	no
59500	9.142885231e+01	0.248921861	2.974255334e-01	no
59600	9.142755038e+01	0.248929995	2.974125879e-01	yes
59650	9.142665104e+01	0.248945889	2.974086110e-01	yes
59700	9.142564859e+01	0.248928378	2.974199266e-01	yes
59750	9.142500442e+01	0.248937341	2.974126852e-01	yes
59800	9.142539240e+01	0.248919593	2.974229637e-01	yes
59850	9.142636253e+01	0.248938347	2.974345028e-01	yes
59900	9.142753085e+01	0.248919377	2.974063994e-01	yes
59950	9.142767528e+01	0.248907340	2.974183949e-01	yes
60000	9.142720771e+01	0.248935613	2.974235130e-01	yes
