iteration,$U_x$,$U_y$,$U_z$,$e$,$p$
28.0,1.966637536e-06,7.867991815e-06,0.00260523482,6.262476634e-05,0.03595758936
29.0,2.052327207e-06,8.517646043e-06,9.544736926e-05,5.701256856e-05,0.008791337995
30.0,2.169428063e-06,9.208005789e-06,3.742832673e-05,5.108115247e-05,0.003993284309
31.0,2.217265879e-06,9.638467353e-06,2.4331875e-05,4.679259258e-05,0.00222362029
32.0,2.177842952e-06,9.71393363e-06,2.205863037e-05,4.538240023e-05,0.001395891731
33.0,2.08584773e-06,9.47626502e-06,2.545633694e-05,4.544414942e-05,0.001084556697
34.0,1.998888952e-06,9.176357811e-06,4.404276502e-05,4.599238839e-05,0.001606484505
35.0,1.94064674e-06,9.035457527e-06,0.008264499404,4.628925925e-05,0.004039989902
36.0,1.907838716e-06,9.017561505e-06,6.882705115e-05,4.719467421e-05,0.03192356823
37.0,1.892467202e-06,9.133737732e-06,6.594228518e-05,4.841643937e-05,0.007089919494
38.0,1.903204374e-06,9.412988186e-06,0.0001609640544,4.852041471e-05,0.04946823715
39.0,1.930402628e-06,9.728894307e-06,0.0001186799255,4.764182977e-05,0.003706553847
40.0,1.947775551e-06,1.001275929e-05,4.460783661e-05,4.637510915e-05,0.001936673383
41.0,1.935696635e-06,1.020533793e-05,3.473352864e-05,4.690126905e-05,0.001261304581
42.0,1.897836252e-06,1.02397885e-05,3.877806221e-05,4.865582114e-05,0.0009852552166
43.0,1.859663732e-06,1.017222404e-05,7.46177342e-05,5.11046425e-05,0.001306545112
44.0,1.833048667e-06,1.004598268e-05,0.0002294024513,5.387459168e-05,0.003102326219
45.0,1.815270974e-06,9.953489406e-06,5.2737451e-05,5.833022293e-05,0.01536790778
46.0,1.794394111e-06,9.935749889e-06,4.178898009e-05,6.486297298e-05,0.003663291709
47.0,1.777566937e-06,9.9700798e-06,5.279247163e-05,7.119404532e-05,0.005167730778
48.0,1.762994643e-06,1.005576563e-05,0.0001374259355,7.560940195e-05,0.01050218157
49.0,1.748176049e-06,1.020544052e-05,0.0001620788343,7.781817222e-05,0.002653285268
50.0,1.725585754e-06,1.039699342e-05,6.179273911e-05,8.158215232e-05,0.001436598573
51.0,1.695278973e-06,1.050760764e-05,5.640171447e-05,8.862472416e-05,0.0009615517229
52.0,1.668569474e-06,1.047535657e-05,9.928813427e-05,9.89371682e-05,0.0009135007697
53.0,1.64838018e-06,1.032091167e-05,0.000276228582,0.0001135347093,0.00153803272
54.0,1.629827115e-06,1.01403409e-05,5.30656044e-05,0.0001388853456,0.02546455239
55.0,1.608098896e-06,9.935414914e-06,3.490765672e-05,0.0001945952938,0.002120263968
56.0,1.583626613e-06,9.761373007e-06,3.499706587e-05,0.000322684968,0.001287471532
57.0,1.551597901e-06,9.617542545e-06,4.815570375e-05,0.0005998906901,0.00201862642
58.0,1.517773937e-06,9.612501528e-06,0.0001106771557,0.00113586186,0.0238830631
59.0,1.484595337e-06,9.731987707e-06,0.0003019744746,0.002477262797,0.001615770899
60.0,1.451814968e-06,9.898436388e-06,9.939461943e-05,0.00328276667,0.0008833428308
61.0,1.424656102e-06,9.916778198e-06,0.0001321709807,0.000870634666,0.0007072713977
62.0,1.406187698e-06,9.744186064e-06,0.0003905199493,0.0004245409223,0.0008619029564
63.0,1.391105677e-06,9.453121555e-06,6.037529747e-05,0.00025695859,0.002570954798
64.0,1.376118729e-06,9.129063234e-06,3.23780303e-05,0.0001759705021,0.003104901905
65.0,1.35813367e-06,8.81910986e-06,2.710869711e-05,0.0001309144342,0.001092585627
66.0,1.324896103e-06,8.531468357e-06,2.966781992e-05,0.0001077520924,0.001006889694
67.0,1.283685493e-06,8.346020037e-06,4.1371458e-05,9.585077357e-05,0.00230358813
68.0,1.246817303e-06,8.310893729e-06,8.93732654e-05,9.181298579e-05,0.004183777308
69.0,1.214977692e-06,8.396410885e-06,0.005756005348,8.982717085e-05,0.001140633367
70.0,1.190130471e-06,8.449929964e-06,0.0002297925216,8.715933885e-05,0.000704566933
71.0,1.174040804e-06,8.312883871e-06,0.00255869828,8.188153692e-05,0.0006330399665
72.0,1.166788793e-06,8.027789766e-06,9.006137171e-05,7.384607196e-05,0.0009872330567
73.0,1.163791604e-06,7.702669635e-06,3.7611385e-05,6.534438236e-05,0.01022705946
74.0,1.157636992e-06,7.378573027e-06,2.478662666e-05,5.813736507e-05,0.001337499116
75.0,1.135556874e-06,7.02778079e-06,2.222866261e-05,5.285986643e-05,0.0007379076966
76.0,1.09988196e-06,6.731130001e-06,2.423579993e-05,4.954739361e-05,0.0007355552823
77.0,1.064603391e-06,6.545193624e-06,3.206206206e-05,4.755828785e-05,0.001685034505
78.0,1.0386114e-06,6.480600092e-06,5.643117559e-05,4.712388689e-05,0.002522708147
79.0,1.020675089e-06,6.477258466e-06,0.0001539283357,4.713710914e-05,0.0007567280795
80.0,1.008922643e-06,6.40593674e-06,0.0004118307555,4.652793487e-05,0.0005040927147
81.0,1.004890885e-06,6.213621535e-06,0.0001520801475,4.456260325e-05,0.0005006042551
82.0,1.009167754e-06,5.95774836e-06,5.230583202e-05,4.159443055e-05,0.000935357452
83.0,1.014945606e-06,5.699354466e-06,2.753062503e-05,3.837859387e-05,0.009171383439
84.0,1.01058586e-06,5.409753117e-06,1.953884312e-05,3.56174352e-05,0.0009207035135
85.0,9.890758542e-07,5.096696116e-06,1.783690807e-05,3.357068837e-05,0.0005719347423
86.0,9.594516944e-07,4.814840675e-06,1.926028163e-05,3.213896885e-05,0.0006426741772
87.0,9.378699532e-07,4.655299609e-06,2.502799101e-05,3.135164081e-05,0.001500362792
88.0,9.282792388e-07,4.614987987e-06,4.04569178e-05,3.114791311e-05,0.002272421965
89.0,9.205290111e-07,4.597820339e-06,8.005046844e-05,3.11968182e-05,0.0006736352621
90.0,9.14255235e-07,4.536180474e-06,0.0001200795619,3.083176053e-05,0.000424591601
91.0,9.147468484e-07,4.417144419e-06,8.726182984e-05,2.98233457e-05,0.0004201107837
92.0,9.221017806e-07,4.281038176e-06,4.29889717e-05,2.82935398e-05,0.0008044721095
93.0,9.263709872e-07,4.112633528e-06,2.413006786e-05,2.67779527e-05,0.01119088069
94.0,9.192300397e-07,3.897356254e-06,1.794036965e-05,2.544576199e-05,0.0007975477953
95.0,8.997651666e-07,3.640962743e-06,1.637033598e-05,2.448266753e-05,0.0004865857949
96.0,8.781697581e-07,3.41695333e-06,1.738819111e-05,2.37470854e-05,0.0005582211709
97.0,8.697751755e-07,3.312261023e-06,2.149427163e-05,2.332329949e-05,0.001270713889
98.0,8.692685885e-07,3.311928919e-06,3.069801287e-05,2.329265592e-05,0.002243276674
99.0,8.622532379e-07,3.333270609e-06,4.415109364e-05,2.331981425e-05,0.0005813264742
100.0,8.523501354e-07,3.336699411e-06,5.309482001e-05,2.316204599e-05,0.0003876815714
101.0,8.456057999e-07,3.312485822e-06,4.693696563e-05,2.26553445e-05,0.0003881182806
102.0,8.43544944e-07,3.258067644e-06,3.218818038e-05,2.180119846e-05,0.0007284437102
103.0,8.395123394e-07,3.137757062e-06,2.201005052e-05,2.099076336e-05,0.005280789068
104.0,8.273987375e-07,2.965837808e-06,1.716433497e-05,2.015338865e-05,0.0006759885599
105.0,8.10700257e-07,2.785039925e-06,1.589855505e-05,1.952389466e-05,0.000442938934
106.0,7.987476917e-07,2.650521931e-06,1.661406949e-05,1.908414733e-05,0.0004707359861
107.0,7.968180283e-07,2.615939051e-06,1.931205937e-05,1.885046151e-05,0.0009826933818
108.0,7.936748601e-07,2.640122098e-06,2.411952371e-05,1.878051704e-05,0.002065482467
109.0,7.796665301e-07,2.684824757e-06,2.900218429e-05,1.862369043e-05,0.0005125412795
110.0,7.636042914e-07,2.719403495e-06,3.070779642e-05,1.850392136e-05,0.0003283343632
111.0,7.490527172e-07,2.724615681e-06,2.805407698e-05,1.823201831e-05,0.0003198474691
112.0,7.369179842e-07,2.692067845e-06,2.311485099e-05,1.779264836e-05,0.0006292415165
113.0,7.267030268e-07,2.618569146e-06,1.793520666e-05,1.727616695e-05,0.004880632428
114.0,7.142637138e-07,2.512402739e-06,1.474355903e-05,1.677064948e-05,0.000568814702
115.0,7.016055949e-07,2.39139376e-06,1.368103026e-05,1.638004686e-05,0.000345114482
116.0,6.929432377e-07,2.294960977e-06,1.379372162e-05,1.605572681e-05,0.0003746781324
117.0,6.903970438e-07,2.258792356e-06,1.464809568e-05,1.588039727e-05,0.0008651600903
118.0,6.845169057e-07,2.286850118e-06,1.635909221e-05,1.584069334e-05,0.0014991523
119.0,6.679624547e-07,2.3402367e-06,1.804715911e-05,1.583553398e-05,0.0004203729292
120.0,6.478824214e-07,2.373363394e-06,1.908031884e-05,1.593346656e-05,0.0002711280011
121.0,6.280123855e-07,2.353312828e-06,1.89676952e-05,1.587949524e-05,0.0002685387498
122.0,6.123080623e-07,2.302667625e-06,1.780996382e-05,1.564535075e-05,0.0005363829956
123.0,6.01330175e-07,2.241559141e-06,1.5348491e-05,1.53439111e-05,0.003109635608
124.0,5.907747748e-07,2.177405347e-06,1.291405121e-05,1.508107771e-05,0.0004744435932
125.0,5.818698528e-07,2.116661585e-06,1.158671338e-05,1.490482839e-05,0.0002970505512
126.0,5.756589514e-07,2.068225143e-06,1.109285464e-05,1.475359503e-05,0.0003246054442
127.0,5.710037282e-07,2.056406545e-06,1.09765686e-05,1.463339642e-05,0.0008390109617
128.0,5.627756844e-07,2.081884171e-06,1.123170517e-05,1.457176124e-05,0.00107951254
129.0,5.46163903e-07,2.119284747e-06,1.144545123e-05,1.459934555e-05,0.0003656211996
130.0,5.28570343e-07,2.125270911e-06,1.195212481e-05,1.470315541e-05,0.0002413606758
131.0,5.131742367e-07,2.073350248e-06,1.269016161e-05,1.467267276e-05,0.0002530850426
132.0,5.005972978e-07,2.009769777e-06,1.3030415e-05,1.448469715e-05,0.0006093229467
133.0,4.908490183e-07,1.959921394e-06,1.227706267e-05,1.42315294e-05,0.001342516115
134.0,4.832700327e-07,1.926316312e-06,1.120227734e-05,1.403478168e-05,0.0003734927543
135.0,4.789405231e-07,1.8975987e-06,1.021531245e-05,1.3887689e-05,0.000245021823
136.0,4.74617386e-07,1.859729228e-06,9.317939832e-06,1.370074322e-05,0.0003194265467
137.0,4.672041333e-07,1.846252351e-06,8.439412158e-06,1.350200834e-05,0.001783531861
138.0,4.560141667e-07,1.858980166e-06,7.833742843e-06,1.335880236e-05,0.0005646249037
139.0,4.405257045e-07,1.875408949e-06,7.572618229e-06,1.335619266e-05,0.0002756697478
140.0,4.247949972e-07,1.838974988e-06,7.67931283e-06,1.336480025e-05,0.0002159818461
141.0,4.148463256e-07,1.768901371e-06,7.942271593e-06,1.325436188e-05,0.0003158538882
142.0,4.081045623e-07,1.703282889e-06,8.164098301e-06,1.303920849e-05,0.001637041762
143.0,4.029894998e-07,1.655507562e-06,8.239226048e-06,1.279625921e-05,0.0006460463325
144.0,4.014480108e-07,1.630390292e-06,8.243165097e-06,1.261261225e-05,0.0002965912684
145.0,4.006735352e-07,1.615417847e-06,8.027258608e-06,1.246838549e-05,0.000244503075
146.0,3.960435149e-07,1.613035614e-06,7.347949277e-06,1.228128788e-05,0.0004235789203
147.0,3.856841595e-07,1.600319831e-06,6.497585838e-06,1.20850054e-05,0.00561030519
148.0,3.716389588e-07,1.591901609e-06,5.850012627e-06,1.198539332e-05,0.0004098787313
149.0,3.574146562e-07,1.574312956e-06,5.568274166e-06,1.194707625e-05,0.0002376345119
150.0,3.48530427e-07,1.530142239e-06,5.565722586e-06,1.186359677e-05,0.0002199487593
151.0,3.44954588e-07,1.476690678e-06,5.640722959e-06,1.165951639e-05,0.0004403569272
152.0,3.427050733e-07,1.423528845e-06,5.626608058e-06,1.140623492e-05,0.006090193879
153.0,3.417462326e-07,1.387450126e-06,5.751435095e-06,1.117321358e-05,0.0004509681398
154.0,3.438211799e-07,1.384310078e-06,5.978079211e-06,1.099170978e-05,0.0002429085418
155.0,3.448546775e-07,1.388077898e-06,6.002841093e-06,1.079507264e-05,0.0002299511368
156.0,3.394888737e-07,1.382916033e-06,5.61872752e-06,1.061047737e-05,0.0005746891861
157.0,3.269514533e-07,1.353364792e-06,4.987258055e-06,1.047047217e-05,0.001011646104
158.0,3.128957585e-07,1.332500299e-06,4.520521765e-06,1.043367159e-05,0.0003103105132
159.0,3.013255937e-07,1.301420516e-06,4.360401353e-06,1.044973417e-05,0.0002081912159
160.0,2.958501445e-07,1.260341695e-06,4.369441147e-06,1.036040469e-05,0.0002387768986
161.0,2.9498691e-07,1.222758795e-06,4.365310138e-06,1.016263703e-05,0.0006411601428
162.0,2.943688432e-07,1.18269443e-06,4.249444082e-06,9.838011741e-06,0.00104505245
163.0,2.942077372e-07,1.149963513e-06,4.222525243e-06,9.526466e-06,0.0003460886232
164.0,2.949671543e-07,1.140113075e-06,4.342781186e-06,9.276185637e-06,0.0002369475436
165.0,2.950293055e-07,1.153999002e-06,4.433781239e-06,9.121608956e-06,0.0002968533608
166.0,2.902308868e-07,1.154573945e-06,4.237743749e-06,9.044047223e-06,0.001265783967
167.0,2.787827738e-07,1.127348953e-06,3.848776872e-06,9.001816296e-06,0.0006468056444
168.0,2.658358699e-07,1.090286924e-06,3.593051967e-06,9.01285833e-06,0.0002950535597
169.0,2.561342204e-07,1.048416717e-06,3.529473381e-06,9.026291235e-06,0.000237934257
170.0,2.533755163e-07,1.018840696e-06,3.55854443e-06,8.9600082e-06,0.0003489384777
171.0,2.530202084e-07,9.957052431e-07,3.50278191e-06,8.771038139e-06,0.00174934096
172.0,2.516393903e-07,9.674572877e-07,3.408434141e-06,8.503892355e-06,0.0006629750976
173.0,2.499408021e-07,9.451639358e-07,3.386588832e-06,8.229364163e-06,0.0003187218062
174.0,2.47652873e-07,9.367152745e-07,3.359963825e-06,8.007112297e-06,0.0002907891103
175.0,2.474031831e-07,9.518446546e-07,3.356048625e-06,7.879719967e-06,0.0004963109782
176.0,2.441844467e-07,9.535872695e-07,3.245181082e-06,7.835315454e-06,0.02112577877
177.0,2.341963633e-07,9.245357144e-07,3.033367185e-06,7.811453854e-06,0.0005422443923
178.0,2.224650509e-07,8.856608655e-07,2.876981083e-06,7.823519958e-06,0.0003319449933
179.0,2.161423022e-07,8.551369549e-07,2.855132148e-06,7.848659933e-06,0.0003310329036
180.0,2.155785077e-07,8.412486567e-07,2.9150274e-06,7.789437482e-06,0.0006550922065
181.0,2.149651947e-07,8.262151835e-07,2.924135283e-06,7.639696474e-06,0.002742030524
182.0,2.122078336e-07,8.030013184e-07,2.852442623e-06,7.40335585e-06,0.0005239935278
183.0,2.103446432e-07,7.934693573e-07,2.844675069e-06,7.21141178e-06,0.0003390026211
184.0,2.10591682e-07,8.087266984e-07,2.884878058e-06,7.108355824e-06,0.0003397357878
185.0,2.101087426e-07,8.234079964e-07,2.860719849e-06,7.05133312e-06,0.0006550736981
186.0,2.044919063e-07,8.073601063e-07,2.668912281e-06,6.985992979e-06,0.002367755763
187.0,1.950234305e-07,7.777672582e-07,2.455303051e-06,6.94744702e-06,0.0005314070511
188.0,1.875640587e-07,7.557949096e-07,2.383834832e-06,6.967722551e-06,0.0003572807906
189.0,1.839994607e-07,7.429027031e-07,2.418872017e-06,6.962419944e-06,0.0003998185603
190.0,1.828498813e-07,7.322946596e-07,2.473688431e-06,6.848602865e-06,0.001194351911
191.0,1.806280665e-07,7.173609616e-07,2.470667812e-06,6.640856436e-06,0.0009273000292
192.0,1.787264164e-07,7.082867118e-07,2.473357385e-06,6.4487464e-06,0.0003972549456
193.0,1.788918885e-07,7.178041884e-07,2.549343761e-06,6.332785389e-06,0.0002869322425
194.0,1.79332055e-07,7.343425171e-07,2.555380201e-06,6.256687804e-06,0.0003285105383
195.0,1.76680638e-07,7.308763261e-07,2.395994759e-06,6.140163203e-06,0.0009312488207
196.0,1.708551306e-07,7.086699338e-07,2.191561595e-06,6.050626834e-06,0.0009289083136
197.0,1.638246362e-07,6.877722851e-07,2.043060721e-06,6.003308467e-06,0.0004177535083
198.0,1.58448383e-07,6.757732875e-07,2.027276638e-06,5.998739076e-06,0.0003537650116
199.0,1.553776599e-07,6.664568485e-07,2.073517525e-06,5.942128049e-06,0.0005213230064
200.0,1.529466402e-07,6.529273341e-07,2.091610085e-06,5.772397772e-06,0.00551223565
201.0,5.470000384e-07,3.054082262e-06,1.138070037e-05,5.872305949e-06,0.001437253844
202.0,4.32178313e-07,2.671888521e-06,1.017659651e-05,7.170488393e-06,0.0007809293962
203.0,3.250936029e-07,2.519982113e-06,9.126247161e-06,8.515310995e-06,0.000588927874
204.0,2.831248198e-07,2.61961422e-06,8.253156977e-06,9.654646095e-06,0.0006610602133
205.0,3.194068296e-07,2.720237874e-06,7.540395336e-06,1.027016836e-05,0.001471800638
206.0,3.529754771e-07,2.674798792e-06,7.0938247e-06,1.037266687e-05,0.002608685191
207.0,3.622571985e-07,2.498489854e-06,6.860796948e-06,1.010508292e-05,0.001246608347
208.0,3.567583724e-07,2.273955679e-06,6.605090279e-06,9.520974313e-06,0.003791614542
209.0,3.444695986e-07,2.075070105e-06,6.443997967e-06,9.028879463e-06,0.001259960272
210.0,3.272965773e-07,1.932020281e-06,6.240354575e-06,8.556687789e-06,0.0005665428874
211.0,3.102069649e-07,1.855289026e-06,5.890089851e-06,8.355943111e-06,0.0004531766296
212.0,3.005562139e-07,1.840846094e-06,5.492284898e-06,8.146212689e-06,0.0005474468229
213.0,3.016430039e-07,1.867875428e-06,5.276170187e-06,7.985324624e-06,0.0008807184445
214.0,3.052960153e-07,1.87057647e-06,5.015874176e-06,7.891769553e-06,0.001560128911
215.0,3.089138208e-07,1.848065438e-06,4.995447493e-06,7.811271081e-06,0.001872377434
216.0,3.101814824e-07,1.766487371e-06,4.761357617e-06,7.825340736e-06,0.001189689061
217.0,3.110085964e-07,1.684807624e-06,4.573717572e-06,7.849950463e-06,0.000748437274
218.0,3.128787395e-07,1.627461235e-06,4.334739995e-06,7.881253054e-06,0.0005396053942
219.0,3.131451941e-07,1.578505822e-06,4.24746262e-06,7.858855338e-06,0.0004868378074
220.0,3.095176201e-07,1.52649402e-06,4.161588805e-06,7.829013636e-06,0.000473581796
221.0,3.050186183e-07,1.496980363e-06,4.122779988e-06,7.771382541e-06,0.000509140845
222.0,3.062063065e-07,1.492023032e-06,3.988519027e-06,7.719173654e-06,0.0005281527541
223.0,3.091953868e-07,1.483435626e-06,3.953954877e-06,7.626561033e-06,0.0005423676414
224.0,3.087097282e-07,1.450896563e-06,3.846407929e-06,7.551471667e-06,0.0004987819619
225.0,3.041237803e-07,1.420442163e-06,3.751863922e-06,7.459465266e-06,0.0004537386001
226.0,2.975790763e-07,1.400924484e-06,3.66853859e-06,7.481712818e-06,0.00041183797
227.0,2.939382218e-07,1.39945681e-06,3.659820757e-06,7.596257229e-06,0.0003979620664
228.0,2.973113282e-07,1.391131308e-06,3.612088839e-06,7.719653847e-06,0.0003861521663
229.0,3.03748125e-07,1.358229096e-06,3.548396926e-06,7.750478501e-06,0.0003773162389
230.0,3.083590899e-07,1.324776779e-06,3.496513205e-06,7.693368207e-06,0.0003634005806
231.0,3.153805458e-07,1.331620469e-06,3.635309901e-06,7.688241707e-06,0.0003602231485
232.0,3.280626636e-07,1.3614957e-06,3.719041686e-06,7.771638022e-06,0.0003546432314
233.0,3.408631057e-07,1.364370651e-06,3.709509135e-06,7.919439601e-06,0.0003463693135
234.0,3.445311834e-07,1.328981916e-06,3.537852646e-06,8.050800355e-06,0.0003342951624
235.0,3.439360044e-07,1.32035342e-06,3.560597902e-06,8.212250606e-06,0.0003371533044
236.0,3.437034163e-07,1.333989747e-06,3.665971703e-06,8.479216829e-06,0.000328168994
237.0,3.479844736e-07,1.357951036e-06,3.732117979e-06,8.785624533e-06,0.0003200938961
238.0,3.614528437e-07,1.367016926e-06,3.683527387e-06,9.166482134e-06,0.0003108383085
239.0,3.754545488e-07,1.349561725e-06,3.651184158e-06,9.383104586e-06,0.0003069421766
240.0,3.937202507e-07,1.359856592e-06,3.847269679e-06,9.561433636e-06,0.0002987359568
241.0,4.201843656e-07,1.413499946e-06,4.161357144e-06,9.820356761e-06,0.00030325504
242.0,4.414520171e-07,1.451535298e-06,4.312344301e-06,1.011797505e-05,0.0003036200281
243.0,4.509923954e-07,1.440096176e-06,4.179514853e-06,1.045962814e-05,0.000309660288
244.0,4.520226021e-07,1.399212183e-06,4.039822525e-06,1.076616216e-05,0.0003084400486
245.0,4.559697363e-07,1.424510901e-06,4.223608762e-06,1.110584123e-05,0.0003115998861
246.0,4.70258363e-07,1.480491475e-06,4.510782059e-06,1.170858663e-05,0.0003076322188
247.0,4.899040941e-07,1.531287279e-06,4.620392494e-06,1.225914701e-05,0.0003060585357
248.0,5.167475206e-07,1.53160841e-06,4.480723033e-06,1.278395694e-05,0.0003027081981
249.0,5.497248319e-07,1.550545777e-06,4.583757269e-06,1.311327705e-05,0.0003028935286
250.0,5.878897753e-07,1.636253987e-06,5.132048881e-06,1.35724182e-05,0.0003031934022
251.0,6.274357285e-07,1.743597074e-06,5.65933038e-06,1.415616463e-05,0.0003130801811
252.0,6.531269032e-07,1.767062721e-06,5.700613777e-06,1.468031641e-05,0.0003211878964
253.0,6.589442493e-07,1.699811489e-06,5.364745553e-06,1.52952686e-05,0.0003306166331
254.0,6.668239925e-07,1.694509743e-06,5.384520734e-06,1.576687431e-05,0.0003345829738
255.0,6.920243188e-07,1.806701733e-06,5.955544235e-06,1.642515422e-05,0.0003382700595
256.0,7.245733694e-07,1.91489159e-06,6.448885722e-06,1.720835794e-05,0.0003362129046
257.0,7.586646656e-07,1.956694752e-06,6.376599417e-06,1.795710416e-05,0.0003361214794
258.0,8.11998302e-07,1.94205745e-06,6.128657387e-06,1.873373097e-05,0.0003350352981
259.0,8.782749742e-07,2.055715788e-06,6.650214666e-06,1.930045494e-05,0.0003429376291
260.0,9.383282008e-07,2.258046657e-06,7.734052111e-06,2.012954049e-05,0.0003538976375
261.0,9.894813576e-07,2.407983892e-06,8.34196948e-06,2.085662398e-05,0.000370292685
262.0,1.013956468e-06,2.364500485e-06,7.932208047e-06,2.176397581e-05,0.0003804018019
263.0,1.03222402e-06,2.287499847e-06,7.577707535e-06,2.296337864e-05,0.0003963584534
264.0,1.07823374e-06,2.407858215e-06,8.186278278e-06,2.387546964e-05,0.0004074863974
265.0,1.138690753e-06,2.652707744e-06,9.316479673e-06,2.502384865e-05,0.0004162988834
266.0,1.18626474e-06,2.787319204e-06,9.748248918e-06,2.607348655e-05,0.0004119184335
267.0,1.23448769e-06,2.767237769e-06,9.209359152e-06,2.699683152e-05,0.0004091572224
268.0,1.348745965e-06,2.81402852e-06,9.214536155e-06,2.814343884e-05,0.0004166411173
269.0,1.454029039e-06,3.099310898e-06,1.054951382e-05,2.902936019e-05,0.0004403599393
270.0,1.524370395e-06,3.413952068e-06,1.201874311e-05,3.012190767e-05,0.0004620803273
271.0,1.566559739e-06,3.496633369e-06,1.201715922e-05,3.107267286e-05,0.0004816548559
272.0,1.598207281e-06,3.356635587e-06,1.122588265e-05,3.286318405e-05,0.0004994082941
273.0,1.688843402e-06,3.415111456e-06,1.151735953e-05,3.480254277e-05,0.0005280312181
274.0,1.807236408e-06,3.791646231e-06,1.327594238e-05,3.629313306e-05,0.0005476377835
275.0,1.879818738e-06,4.159090932e-06,1.462336102e-05,3.770516117e-05,0.0005461340348
276.0,1.906249447e-06,4.167399722e-06,1.410570203e-05,3.855756608e-05,0.0005276532764
277.0,2.007245081e-06,4.075450248e-06,1.340629443e-05,3.993856834e-05,0.0005309218884
278.0,2.205678335e-06,4.316543018e-06,1.428409228e-05,4.192651081e-05,0.000564844435
279.0,2.323189871e-06,4.821360397e-06,1.647902321e-05,4.316838261e-05,0.0006048001582
280.0,2.356825758e-06,5.140243203e-06,1.737096736e-05,4.376529929e-05,0.0006312555692
281.0,2.344892634e-06,4.96252554e-06,1.621807048e-05,4.434619427e-05,0.0006537048578
282.0,2.451319289e-06,4.857739714e-06,1.595879219e-05,4.674940427e-05,0.0006983258084
283.0,2.668760945e-06,5.242310556e-06,1.767725995e-05,4.95530175e-05,0.0007445001187
284.0,2.798671319e-06,5.861570813e-06,1.996151075e-05,5.111580415e-05,0.000738442187
285.0,2.807257285e-06,6.091755681e-06,1.99853414e-05,5.210893909e-05,0.0006994242471
286.0,2.78697022e-06,5.764587452e-06,1.878560706e-05,5.257191991e-05,0.0006738501827
287.0,3.003496938e-06,5.768442337e-06,1.890019827e-05,5.473282513e-05,0.0007084162083
288.0,3.225004702e-06,6.285595175e-06,2.076950646e-05,5.657866386e-05,0.0007595092788
289.0,3.286773462e-06,6.943713155e-06,2.2463318e-05,5.712154696e-05,0.0007965317973
290.0,3.20931224e-06,6.931659356e-06,2.149030491e-05,5.679824833e-05,0.0008224636342
291.0,3.166771577e-06,6.508879583e-06,2.056578421e-05,5.754318256e-05,0.0008797106898
292.0,3.390587143e-06,6.636060543e-06,2.140876815e-05,6.00341836e-05,0.0009467581945
293.0,3.623290491e-06,7.316958542e-06,2.36345685e-05,6.174620111e-05,0.000947404082
294.0,3.657857879e-06,7.949979911e-06,2.46075403e-05,6.288136206e-05,0.0008798516431
