eta,surface,source,x_over_c,Cp
0.2,upper,cfd,0.0,0.7955858111381531
0.2,upper,cfd,0.00010756558913271874,0.7297616004943848
0.2,upper,cfd,0.0004358798614703119,0.6430796980857849
0.2,upper,cfd,0.0010024321964010596,0.5376465916633606
0.2,upper,cfd,0.0018377924570813775,0.41202661395072937
0.2,upper,cfd,0.00298807630315423,0.2678050994873047
0.2,upper,cfd,0.004518555011600256,0.10490208864212036
0.2,upper,cfd,0.0065187979489564896,-0.07783985137939453
0.2,upper,cfd,0.00910972896963358,-0.2820025384426117
0.2,upper,cfd,0.01245309691876173,-0.5059672594070435
0.2,upper,cfd,0.016763836145401,-0.7440275549888611
0.2,upper,cfd,0.022325780242681503,-0.9547399282455444
0.2,upper,cfd,0.029511019587516785,-1.045475959777832
0.2,upper,cfd,0.038802240043878555,-0.9629614949226379
0.2,upper,cfd,0.05081627517938614,-0.774200439453125
0.2,upper,cfd,0.06632401049137115,-0.6012734174728394
0.2,upper,cfd,0.0862579494714737,-0.5075709819793701
0.2,upper,cfd,0.11169261485338211,-0.4764379560947418
0.2,upper,cfd,0.14377638697624207,-0.47074005007743835
0.2,upper,cfd,0.18359149992465973,-0.47914576530456543
0.2,upper,cfd,0.23192629218101501,-0.49883273243904114
0.2,upper,cfd,0.2889747619628906,-0.5283486247062683
0.2,upper,cfd,0.3540315330028534,-0.5642570853233337
0.2,upper,cfd,0.4253067374229431,-0.5841706991195679
0.2,upper,cfd,0.5,-0.5634587407112122
0.2,upper,cfd,0.5746932625770569,-0.4798184037208557
0.2,upper,cfd,0.645968496799469,-0.3465261459350586
0.2,upper,cfd,0.7110252380371094,-0.2194381207227707
0.2,upper,cfd,0.7680736780166626,-0.1294003278017044
0.2,upper,cfd,0.8164083957672119,-0.0667472779750824
0.2,upper,cfd,0.8562235236167908,-0.0146315423771739
0.2,upper,cfd,0.8883073925971985,0.0331282913684845
0.2,upper,cfd,0.9137420058250427,0.07573357969522476
0.2,upper,cfd,0.93367600440979,0.1117338091135025
0.2,upper,cfd,0.9491837024688721,0.14084729552268982
0.2,upper,cfd,0.9611977338790894,0.1637212038040161
0.2,upper,cfd,0.9704888463020325,0.18169614672660828
0.2,upper,cfd,0.9776741862297058,0.19617481529712677
0.2,upper,cfd,0.9832361340522766,0.20804321765899658
0.2,upper,cfd,0.9875468611717224,0.21779893338680267
0.2,upper,cfd,0.9908902049064636,0.22576148808002472
0.2,upper,cfd,0.9934812188148499,0.23221521079540253
0.2,upper,cfd,0.9954814314842224,0.23752734065055847
0.2,upper,cfd,0.9970118999481201,0.24201595783233643
0.2,upper,cfd,0.9981621503829956,0.2457653284072876
0.2,upper,cfd,0.9989974498748779,0.24887080490589142
0.2,upper,cfd,0.9995640516281128,0.25157737731933594
0.2,upper,cfd,0.9998924732208252,0.25204023718833923
0.2,upper,cfd,1.0,0.2529098391532898
0.2,upper,tunnel,0.00034,0.801
0.2,upper,tunnel,0.00216,0.444
0.2,upper,tunnel,0.00866,-0.168
0.2,upper,tunnel,0.02037,-0.707
0.2,upper,tunnel,0.03525,-1.069
0.2,upper,tunnel,0.06036,-0.629
0.2,upper,tunnel,0.09959,-0.465
0.2,upper,tunnel,0.15037,-0.442
0.2,upper,tunnel,0.20044,-0.455
0.2,upper,tunnel,0.25039,-0.459
0.2,upper,tunnel,0.3005,-0.462
0.2,upper,tunnel,0.3505,-0.48
0.2,upper,tunnel,0.40047,-0.505
0.2,upper,tunnel,0.4503,-0.547
0.2,upper,tunnel,0.50039,-0.576
0.2,upper,tunnel,0.55025,-0.58
0.2,upper,tunnel,0.60029,-0.397
0.2,upper,tunnel,0.65032,-0.307
0.2,upper,tunnel,0.71026,-0.238
0.2,upper,tunnel,0.78026,-0.16
0.2,upper,tunnel,0.85021,-0.058
0.2,upper,tunnel,0.92027,0.059
0.2,upper,tunnel,0.98518,0.176
0.2,lower,cfd,0.00010756558913271874,0.8336879014968872
0.2,lower,cfd,0.0004358798614703119,0.8463968634605408
0.2,lower,cfd,0.0010024321964010596,0.8355425000190735
0.2,lower,cfd,0.0018377924570813775,0.7997414469718933
0.2,lower,cfd,0.00298807630315423,0.7395223379135132
0.2,lower,cfd,0.004518555011600256,0.6546128392219543
0.2,lower,cfd,0.0065187979489564896,0.5457090735435486
0.2,lower,cfd,0.00910972896963358,0.414660781621933
0.2,lower,cfd,0.01245309691876173,0.26930516958236694
0.2,lower,cfd,0.016763836145401,0.1274305284023285
0.2,lower,cfd,0.022325780242681503,0.02206932194530964
0.2,lower,cfd,0.029511019587516785,-0.018495341762900352
0.2,lower,cfd,0.038802240043878555,-0.007324290461838245
0.2,lower,cfd,0.05081627517938614,0.012196208350360394
0.2,lower,cfd,0.06632401049137115,0.008815129287540913
0.2,lower,cfd,0.0862579494714737,-0.0138314887881279
0.2,lower,cfd,0.11169261485338211,-0.04068034142255783
0.2,lower,cfd,0.14377638697624207,-0.06786106526851654
0.2,lower,cfd,0.18359149992465973,-0.09622842818498611
0.2,lower,cfd,0.23192629218101501,-0.12815022468566895
0.2,lower,cfd,0.2889747619628906,-0.16553890705108643
0.2,lower,cfd,0.3540315330028534,-0.20586034655570984
0.2,lower,cfd,0.4253067374229431,-0.23796315491199493
0.2,lower,cfd,0.5,-0.246363565325737
0.2,lower,cfd,0.5746932625770569,-0.226237952709198
0.2,lower,cfd,0.645968496799469,-0.18567156791687012
0.2,lower,cfd,0.7110252380371094,-0.13815966248512268
0.2,lower,cfd,0.7680736780166626,-0.0941629558801651
0.2,lower,cfd,0.8164083957672119,-0.05402645096182823
0.2,lower,cfd,0.8562235236167908,-0.014157419092953205
0.2,lower,cfd,0.8883073925971985,0.02570239268243313
0.2,lower,cfd,0.9137420058250427,0.06338542699813843
0.2,lower,cfd,0.93367600440979,0.09686153382062912
0.2,lower,cfd,0.9491837024688721,0.12505929172039032
0.2,lower,cfd,0.9611977338790894,0.1478079855442047
0.2,lower,cfd,0.9704888463020325,0.166169673204422
0.2,lower,cfd,0.9776741862297058,0.18161721527576447
0.2,lower,cfd,0.9832361340522766,0.19488750398159027
0.2,lower,cfd,0.9875468611717224,0.20632383227348328
0.2,lower,cfd,0.9908902049064636,0.2161889672279358
0.2,lower,cfd,0.9934812188148499,0.22459688782691956
0.2,lower,cfd,0.9954814314842224,0.23168200254440308
0.2,lower,cfd,0.9970118999481201,0.23772133886814117
0.2,lower,cfd,0.9981621503829956,0.24285773932933807
0.2,lower,cfd,0.9989974498748779,0.24724631011486053
0.2,lower,cfd,0.9995640516281128,0.25013265013694763
0.2,lower,cfd,0.9998924732208252,0.25278541445732117
0.2,lower,tunnel,0.00593,0.549
0.2,lower,tunnel,0.02002,-0.034
0.2,lower,tunnel,0.04993,-0.046
0.2,lower,tunnel,0.16594,-0.092
0.2,lower,tunnel,0.26579,-0.164
0.2,lower,tunnel,0.3659,-0.215
0.2,lower,tunnel,0.46599,-0.263
0.2,lower,tunnel,0.56588,-0.229
0.2,lower,tunnel,0.66593,-0.171
0.2,lower,tunnel,0.81597,-0.079
0.2,lower,tunnel,0.9503,0.101
0.44,upper,cfd,0.0,0.7574176788330078
0.44,upper,cfd,0.00010754576214822009,0.6840162873268127
0.44,upper,cfd,0.0004359035810921341,0.5921223163604736
0.44,upper,cfd,0.0010024195071309805,0.48305365443229675
