iteration,Cl,Cd
1.0,1.2127201728,1.1014241883
2.0,1.2823348773,0.83774412379
3.0,0.976640415,0.62128555458
4.0,0.38750483352,0.41630285227
5.0,-0.17375081665,0.24669014418
6.0,-0.49356873296,0.1342625417
7.0,-0.50580983383,0.079062025873
8.0,-0.26690730792,0.072521168693
9.0,0.063334649515,0.094219470452
10.0,0.33022260745,0.12070047883
11.0,0.44605917083,0.13464281624
12.0,0.40449811574,0.13147724183
13.0,0.25620440091,0.11331804899
14.0,0.095300222774,0.091013007671
15.0,-0.0036051755141,0.073422603065
16.0,-0.016059022684,0.064159904881
17.0,0.054153111277,0.063821770699
18.0,0.15524772813,0.067536056495
19.0,0.23550169385,0.070811673277
20.0,0.2704521931,0.071528834692
21.0,0.25377781714,0.068374817806
22.0,0.18882890667,0.060447099716
23.0,0.12701286399,0.053100882895
24.0,0.097951505506,0.049255178736
25.0,0.10483795121,0.048945850769
26.0,0.15273487365,0.052736699385
27.0,0.20869871652,0.056458067134
28.0,0.242788979,0.057487071636
29.0,0.2527348554,0.056317238654
30.0,0.23702313359,0.052888208452
31.0,0.19163977331,0.046798697215
32.0,0.14716316798,0.041412964158
33.0,0.13083704243,0.039451587643
34.0,0.14076680779,0.040513305068
35.0,0.18004373374,0.044427323984
36.0,0.2314585682,0.049169677258
37.0,0.26051118085,0.051167133248
38.0,0.26426251474,0.050423919366
39.0,0.24646547348,0.047714090277
40.0,0.2013518665,0.042603689269
41.0,0.16028104971,0.03750660556
42.0,0.14028873375,0.034986706599
43.0,0.14546948014,0.035371637
44.0,0.18087835852,0.038726234797
45.0,0.23369597991,0.04351943711
46.0,0.27001509406,0.047000808474
47.0,0.27808626905,0.047627658411
48.0,0.25849281645,0.045956578932
49.0,0.21720159239,0.041959459717
50.0,0.17568399226,0.036987569091
51.0,0.15030597982,0.033466964696
52.0,0.14676179062,0.032523122687
53.0,0.16800442557,0.034216232569
54.0,0.20995906224,0.038124537644
55.0,0.25685918032,0.043157704234
56.0,0.27685988574,0.045355623485
57.0,0.26981593766,0.045215490397
58.0,0.24275216598,0.042948166081
59.0,0.20149767884,0.038604917289
60.0,0.1654249982,0.033895897162
61.0,0.14870290634,0.031146640521
62.0,0.16215398367,0.031408181321
63.0,0.19604562747,0.034127433433
64.0,0.24257776224,0.039101908624
65.0,0.27904342958,0.043423580028
66.0,0.28291684365,0.04468825224
67.0,0.26233792831,0.043950461469
68.0,0.22808997382,0.040934368784
69.0,0.18919194472,0.036424070121
70.0,0.16163886029,0.03237048749
71.0,0.15688825371,0.030673463521
72.0,0.17731793943,0.031693419112
73.0,0.21430931859,0.034947598936
74.0,0.25508679676,0.039810450407
75.0,0.27709968848,0.043229362052
76.0,0.2703102345,0.043902385317
77.0,0.24932382064,0.042722933854
78.0,0.21915955412,0.039445056187
79.0,0.18893634287,0.035323996627
80.0,0.1701823343,0.031896997869
81.0,0.17396674046,0.03091390192
82.0,0.19718299589,0.032434484966
83.0,0.2323341911,0.035869907124
84.0,0.26631288667,0.040376177201
85.0,0.27834954917,0.043126430991
86.0,0.26673786049,0.043537863498
87.0,0.24241089948,0.041954324741
88.0,0.21333351646,0.038823075098
89.0,0.18680404499,0.034769385553
90.0,0.17366379369,0.031652371137
91.0,0.18229967781,0.031232320958
92.0,0.20722909684,0.033162160506
93.0,0.24105962742,0.036628623094
94.0,0.27138709661,0.04100379503
95.0,0.27553897492,0.042978937849
96.0,0.26277562954,0.043172194527
97.0,0.23829526905,0.041591807834
98.0,0.21351891537,0.038670671155
99.0,0.19453593306,0.035204825647
100.0,0.18646368203,0.032440682158
101.0,0.19719146401,0.032209327953
102.0,0.2229792945,0.034139962111
103.0,0.24995948184,0.037150221455
104.0,0.26829887227,0.040740736441
105.0,0.27057182541,0.042927720597
106.0,0.25561336922,0.043065283816
107.0,0.23243540613,0.04143554387
108.0,0.21761927466,0.038859365793
109.0,0.20369017145,0.035546848562
110.0,0.19687048209,0.032970262387
111.0,0.20798892232,0.032866122538
112.0,0.22986726731,0.034725567262
113.0,0.24900532279,0.037641793559
114.0,0.26441607842,0.041376615447
115.0,0.2640676997,0.043081474261
116.0,0.25306070437,0.043190823518
117.0,0.23820161714,0.041632326184
118.0,0.22669907758,0.039073940121
119.0,0.21815635967,0.036010379135
120.0,0.21336165498,0.033544225073
121.0,0.2201579271,0.033378196922
122.0,0.23206335038,0.035227361249
123.0,0.24252665632,0.038147109344
124.0,0.25338145718,0.041614378265
125.0,0.25170094904,0.043336569079
126.0,0.24377534327,0.043173775329
127.0,0.23514187901,0.041420893349
128.0,0.22969453139,0.038756734915
129.0,0.22738582592,0.035859297756
130.0,0.23219351364,0.033984845284
131.0,0.23901042952,0.034335875441
132.0,0.24534585782,0.03640427556
133.0,0.24871516116,0.039296724568
134.0,0.24663197623,0.042168165267
135.0,0.24028891379,0.043159894945
136.0,0.23586859121,0.042476934564
137.0,0.23299974193,0.040634961147
138.0,0.23322873139,0.03824856024
139.0,0.23763985466,0.036061482045
140.0,0.24512439959,0.035375476942
141.0,0.25130460898,0.036258822024
142.0,0.25355075146,0.03814305317
143.0,0.25065006695,0.040497829868
144.0,0.24363240589,0.042357327051
145.0,0.23680272374,0.04259252959
146.0,0.23038889419,0.041485147258
147.0,0.22915060573,0.039721860962
148.0,0.23269533729,0.03760022571
149.0,0.2399828525,0.03613481729
150.0,0.24909513969,0.03619795375
151.0,0.25613273389,0.0374916452
152.0,0.25796941023,0.039421059323
153.0,0.25433584594,0.04164654343
154.0,0.24452968781,0.042677236476
155.0,0.23592800511,0.042355692777
156.0,0.2319127883,0.041087124722
157.0,0.23273061933,0.039358203305
158.0,0.23766157243,0.037689761092
159.0,0.24513401526,0.036852263077
160.0,0.25364047009,0.037251746248
161.0,0.25721300118,0.038419087916
162.0,0.25630761606,0.039940899596
163.0,0.25188504452,0.041411934219
164.0,0.24388170846,0.042033660498
165.0,0.23680397741,0.04157819873
166.0,0.23423729358,0.040530513845
167.0,0.235594606,0.039230264785
168.0,0.24061619383,0.038087313887
169.0,0.24610078001,0.037626625027
170.0,0.25156080196,0.038132038694
171.0,0.25412807168,0.039169081785
172.0,0.25439068266,0.040559032927
173.0,0.25088228422,0.041446681569
174.0,0.24604632448,0.041652093256
175.0,0.24133730632,0.041197997232
176.0,0.23925279533,0.040357899712
177.0,0.24148309363,0.039384401828
178.0,0.24615157381,0.038650930871
179.0,0.25147020285,0.038547235745
180.0,0.25567903349,0.038979609798
181.0,0.25568527071,0.039720643033
182.0,0.25180199509,0.040551702085
183.0,0.24491685653,0.041217571142
184.0,0.23870790469,0.041309948657
185.0,0.23689554089,0.04091203996
186.0,0.23934873167,0.040293493776
187.0,0.24572989285,0.039628150667
188.0,0.25372373985,0.039156887016
189.0,0.25922140102,0.039158416586
190.0,0.25966429171,0.039539217006
191.0,0.25497510206,0.040123890048
192.0,0.24692092181,0.040744588266
193.0,0.23851359684,0.041101069178
194.0,0.23483566089,0.040998872885
195.0,0.23619930881,0.040615174356
196.0,0.24199510556,0.040133290367
197.0,0.24999222514,0.039720187188
198.0,0.25832288329,0.03951999777
199.0,0.26169921624,0.039676867997
200.0,0.25989872436,0.040044335209
201.0,0.24869118442,0.036998115013
202.0,0.23598610773,0.033110075097
203.0,0.22842514733,0.029793980064
204.0,0.23027203852,0.027760539481
205.0,0.2377023199,0.02726582222
206.0,0.24533397708,0.027955231966
207.0,0.2500856871,0.029205047611
208.0,0.25034421921,0.030351564064
209.0,0.2479467021,0.030917320786
210.0,0.24531351694,0.03083452022
211.0,0.24417498037,0.030288308943
