iteration,Ux,Uy,e,p,omega,k
1,0.9999998867,0.9999998989,0.9999995776,1.0,0.0001295460567,1.0
2,9.038737065e-05,0.0003983930519,0.9947621953,0.7096502152,0.0003633248582,0.280068079
3,0.006858901606,0.01760079516,0.9938438359,,,
