# T_hi_c: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
52000	6.485747294e+01	0.242191291	2.612941305e-01	no
52500	6.485644817e+01	0.242194316	2.612919940e-01	no
53000	6.485506883e+01	0.242197013	2.612885212e-01	no
53500	6.485352975e+01	0.242204660	2.612816804e-01	no
54000	6.485197693e+01	0.242218061	2.612722425e-01	no
54500	6.485056227e+01	0.242236731	2.612603328e-01	no
55000	6.484945033e+01	0.242260088	2.612466024e-01	no
55500	6.484881286e+01	0.242286912	2.612319557e-01	no
56000	6.484881278e+01	0.242315432	2.612175372e-01	no
56500	6.484958961e+01	0.242343357	2.612048009e-01	no
57000	6.485124140e+01	0.242367889	2.611953273e-01	no
57500	6.485380652e+01	0.242385919	2.611907191e-01	no
58000	6.485721639e+01	0.242394602	2.611923926e-01	no
58500	6.486142781e+01	0.242391105	2.612013197e-01	no
59000	6.486622755e+01	0.242373523	2.612186554e-01	no
59500	6.487138575e+01	0.242342632	2.612993987e-01	no
60000	6.486251551e+01	0.242257887	2.612872532e-01	no
60500	6.486263863e+01	0.242220952	2.612896155e-01	no
61000	6.486261740e+01	0.242203351	2.612983523e-01	no
61500	6.486228592e+01	0.242184335	2.613078411e-01	no
62000	6.486141213e+01	0.242166240	2.613153559e-01	no
62500	6.485993568e+01	0.242151919	2.613200702e-01	no
63000	6.485786011e+01	0.242143090	2.613208588e-01	no
63500	6.485524981e+01	0.242141910	2.613167092e-01	no
64000	6.485223315e+01	0.242150202	2.613070682e-01	no
64500	6.484901108e+01	0.242169250	2.612915749e-01	no
65000	6.484584332e+01	0.242199664	2.612704947e-01	no
65500	6.484300023e+01	0.242240935	2.612445694e-01	no
66000	6.484079723e+01	0.242292419	2.612148557e-01	no
66500	6.483950036e+01	0.242352585	2.611827696e-01	no
67000	6.485712182e+01	0.242242994	2.612078084e-01	no
67500	6.485606269e+01	0.242402325	2.611942728e-01	no
68000	6.485922452e+01	0.242385962	2.612001863e-01	no
68500	6.486318300e+01	0.242376465	2.612115104e-01	no
69000	6.486779448e+01	0.242352681	2.612317982e-01	no
69500	6.487269660e+01	0.242328513	2.612671331e-01	no
70000	6.485879393e+01	0.242226636	2.612635715e-01	no
