# y+ ()             
# Time              	patch               	min                 	max                 	average             
200                 	walls	3.863438702761e+01	6.030034336200e+01	6.002189437005e+01
400                 	walls	3.863438713889e+01	6.030034335957e+01	6.002189436675e+01
600                 	walls	3.863438713953e+01	6.030034336108e+01	6.002189435816e+01
800                 	walls	3.863438713953e+01	6.030034336421e+01	6.002189432529e+01
1000                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
1200                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
1400                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
1600                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
1800                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
2000                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
2200                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
2400                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
2600                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
2800                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
3000                	walls	3.863438713953e+01	6.030034336533e+01	6.002189430891e+01
3200                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
3400                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
3600                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
3800                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
4000                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
4200                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
4400                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
4600                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
4800                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
5000                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
5200                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
5400                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
5600                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
5800                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
6000                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
6200                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
6400                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
6600                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
6800                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
7000                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
7200                	walls	3.863438713953e+01	6.030034336533e+01	6.002189430891e+01
7400                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
7600                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430890e+01
7800                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
8000                	walls	3.863438713953e+01	6.030034336532e+01	6.002189430891e+01
