# Region type : patch outlet
# Faces         : 24
# Area          : 6.97245941e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.00014663935   	2.77229966e-04
0.00014725087   	2.77990963e-04
0.00014786072   	2.78745438e-04
0.00014846884   	2.79493876e-04
0.00014907524   	2.80236965e-04
0.00014967989   	2.80975436e-04
0.00015028283   	2.81710030e-04
0.00015088412   	2.82440988e-04
0.00015148376   	2.83167739e-04
0.0001520818    	2.83887929e-04
0.0001526781    	2.84599248e-04
0.00015327246   	2.85302013e-04
0.00015386485   	2.85997710e-04
0.00015445533   	2.86687783e-04
0.00015504403   	2.87371845e-04
0.00015563099   	2.88049787e-04
0.0001562163    	2.88722137e-04
0.00015680001   	2.89389376e-04
0.00015738221   	2.90051826e-04
0.00015796262   	2.90709718e-04
0.00015854034   	2.91362592e-04
0.00015911553   	2.92010606e-04
0.00015968837   	2.92653773e-04
0.00016025906   	2.93292058e-04
0.00016082776   	2.93925344e-04
0.00016139467   	2.94553302e-04
0.00016195991   	2.95175555e-04
0.00016252356   	2.95791708e-04
0.00016308571   	2.96401574e-04
0.00016364641   	2.97005459e-04
0.0001642057    	2.97603000e-04
0.00016476363   	2.98197341e-04
0.0001653203    	2.98787962e-04
0.00016587578   	2.99376464e-04
0.00016643031   	2.99963332e-04
0.00016698432   	3.00548156e-04
0.00016753798   	3.01129853e-04
0.00016809136   	3.01714232e-04
0.00016864499   	3.02286922e-04
0.0001691989    	3.02850978e-04
0.00016975203   	3.03405524e-04
0.00017030404   	3.03952270e-04
0.00017085513   	3.04492677e-04
0.0001714055    	3.05029140e-04
0.00017195526   	3.05563984e-04
0.00017250453   	3.06096961e-04
0.00017305337   	3.06627659e-04
0.00017360162   	3.07154118e-04
0.0001741493    	3.07674413e-04
0.00017469673   	3.08190046e-04
0.00017524358   	3.08700038e-04
0.00017578949   	3.09204625e-04
0.00017633447   	3.09703415e-04
0.00017687856   	3.10200760e-04
0.00017742245   	3.10689540e-04
0.00017796594   	3.11172764e-04
0.00017850863   	3.11651588e-04
0.00017905026   	3.12127191e-04
0.00017959092   	3.12600172e-04
0.00018013091   	3.13070548e-04
0.00018067038   	3.13540065e-04
0.00018120925   	3.14006253e-04
0.00018174741   	3.14464781e-04
0.00018228487   	3.14914868e-04
0.00018282171   	3.15360821e-04
0.00018335793   	3.15806002e-04
0.00018389363   	3.16253199e-04
0.00018442883   	3.16701222e-04
0.00018496353   	3.17144152e-04
0.00018549777   	3.17584187e-04
