x_baseline,z_baseline,x_deformed,z_deformed
2.2665255443529,0.18315592826954,2.269323627862152,0.1866411771981106
2.2641625627946,0.18498603156981,2.2669887143115557,0.18852061819535754
2.2630777668026,0.1877611468894,2.2659461916601176,0.19133232506709233
2.2639044579349,0.19054389067677,2.2668150515167675,0.19412247131643198
2.2656780903162,0.19286057678687,2.2686236649547284,0.1964287145107987
2.2992896090931,0.18986228709394,2.3022314911536164,0.19331995090598153
2.2969550034526,0.19163837763662,2.299924528531346,0.19514443849594126
2.2959013260472,0.19436967070605,2.2989130597800367,0.19791080222529583
2.2967271196724,0.19708355337851,2.299780570690641,0.20063047548675658
2.298451255017,0.19935685951511,2.301539528306717,0.20289261402991235
2.2678232321483,0.19422494701096,2.270789281299282,0.1977700964706347
2.2707221714676,0.19592786039,2.2737137499505615,0.19944092840975888
2.2747535952352,0.19782570696281,2.2777735330548112,0.20129077206088253
2.2802649737477,0.19992125392375,2.283316102858266,0.2033170985696523
2.2877108089292,0.20223347274212,2.2907961969984614,0.20553206262218213
2.2971215980813,0.20467156978957,2.3002429302933955,0.20784374982629653
2.306941458493,0.20686003663405,2.3100948963019854,0.20989774977623624
2.3168088136242,0.20881077856977,2.31999074100607,0.2117115853454772
2.3267075337322,0.21058248119546,2.329915227835317,0.2133446117423444
2.3366293726219,0.21221110638572,2.339860657731678,0.21483317611179403
2.3465689094478,0.21372094092521,2.3498219793405424,0.2162018231626653
2.3565225325129,0.21512894997861,2.359795839046982,0.21746769555204262
2.3664876718328,0.21644795805379,2.3697798619405677,0.21864374950884705
2.3764625571034,0.21768691619402,2.3797724138690803,0.21973902765408687
2.3864458108905,0.21885276377157,2.389772222951797,0.22076054043280768
2.3964364090106,0.21995086144375,2.3997783465405598,0.22171370279578642
2.4064328953891,0.22098726509595,2.4097894207049926,0.22260463653865648
2.4164350897853,0.22196404780712,2.419805296710933,0.2234354324347467
2.4264424305177,0.22288387940563,2.429825453490794,0.22420878814218348
2.4364543654746,0.22374932394013,2.439849377939112,0.2249272946308044
2.4464704296027,0.22456294326255,2.449876643965419,0.22559353932598328
2.4564902925221,0.22532570499386,2.459906935924067,0.22620850187506858
2.4665135477422,0.22603980181154,2.4699398806735418,0.22677439697306745
2.4765399116653,0.22670674468386,2.479975217597314,0.22729275081380404
2.4865691459879,0.22732707545868,2.490012716648908,0.2277641127950682
2.4966009672436,0.22790266355778,2.5000521227872405,0.22819037014489868
2.5066351686418,0.22843468804182,2.5100932471530375,0.22857271358298323
2.5166715740523,0.2289234417257,2.5201359180836618,0.22891144072863434
2.5267099789817,0.2293702999531,2.5301799519979036,0.2292079399636643
2.5367502353042,0.22977530482466,2.5402252014264697,0.22946225595824796
2.5467921827655,0.23013858875478,2.5467921827655,0.23013858875478
2.5568356666527,0.23045998393155,2.5568356666527,0.23045998393155
2.3005711410618,0.20064967951979,2.3036790823818905,0.20416140518685538
2.3034018707691,0.20230179430389,2.3065349317247517,0.20578092499718936
2.3073368974115,0.20414658197275,2.3104979156028596,0.2075773048269203
2.3127153744281,0.20618856878719,2.3159072169349892,0.20954983986551814
2.3199811328784,0.20844758830547,2.3232069196878915,0.2117116134141031
2.3291829952478,0.21083998005023,2.332444551516495,0.21397763402029646
2.3388282775112,0.21300113813786,2.3421219877690342,0.21600395607825543
2.3485204762056,0.21493027420608,2.351842759904089,0.21779593772755923
2.3582437009031,0.21668434450334,2.361591856957997,0.21941117218604123
2.3679898797674,0.21829817465952,2.3713617446435338,0.2208848490436945
2.377753689081,0.21979521202247,2.3811474611502716,0.2222406589745985
2.3875315692659,0.22119189840001,2.390945700656992,0.2234952117199755
2.3973209659127,0.22250078582374,2.400754102458353,0.22466118498564053
2.4071201310296,0.22373054461572,2.410571052361774,0.2257473356476764
2.4169276696063,0.2248881689635,2.4203952632885097,0.22676072748145787
2.4267425615843,0.2259789396194,2.4302257966666128,0.22770669326436555
2.4365633592841,0.22700882254072,2.440061296911489,0.2285912623104036
2.4463898685623,0.22797997555938,2.44990160315051,0.22941661025519022
2.4562215302974,0.22889504873293,2.4597461971604497,0.23018541399685483
2.4660577818715,0.22975670882852,2.469594557479558,0.23090036731191588
2.4758981748683,0.23056733709958,2.4794462724349517,0.23156387473415244
2.4857423596078,0.2313281540666,2.4893010111938367,0.2321771705758894
2.4955899363245,0.23204128435216,2.499158406774205,0.23274240022606874
2.5054406275397,0.23270820781672,2.5090182045318823,0.23326105799447527
2.515294186951,0.23332966496855,2.5188801696034067,0.23373389328688648
2.5251503407747,0.23390744743972,2.528744055842921,0.23416271426449725
2.5350088910629,0.2344426928516,2.5386096828544127,0.23454866941807337
2.5448696700251,0.23493566321909,2.5484768869044094,0.23489202516190746
2.5547324861,0.23538758014078,2.558345495276656,0.23519401444054117
2.5645971958152,0.23579850826,2.5682153655118034,0.23545470456645123
2.5744636543781,0.23616830960752,2.57808635070862,0.23567395887117112
2.5843317153936,0.23649663157005,2.5879582990563432,0.2358514245956974
2.842988991154,0.20973460855663,2.8461242583662627,0.20459198251375096
2.865260376089,0.2164270659932,2.868544380469669,0.21128556856512792
2.842471120819,0.20993741035828,2.8456095279006224,0.2048041684898681
2.8647433468852,0.21662614548657,2.8680304800449252,0.2114940346166802
2.8414151176196,0.21032946257199,2.8445596009597236,0.20521520141133784
2.8637021094393,0.2170056212338,2.8669952131393055,0.2118922667961476
2.8391894240793,0.21107152956357,2.8423454345884243,0.20599666624441892
2.8615305782841,0.21771741321178,2.8648349070059282,0.2126426301126309
2.8343927797355,0.2124240116189,2.8375698848872974,0.20743227753947374
2.8568903295981,0.21900684572214,2.8602150766462255,0.21401289668239862
2.82594452642,0.21435568639831,2.8291519441322848,0.20950712110473038
2.8487390312313,0.22085129445039,2.8520931650507566,0.21599645929596442
2.8167968963684,0.21604981355389,2.820031099456181,0.21135340532119123
2.839830665145,0.22249099629919,2.843211120881071,0.2177856177339836
2.8069007146751,0.21756819957027,2.8101591203370315,0.21303413433117835
2.83010599033,0.22397803262529,2.8335105126263302,0.21943372950740583
2.7969494035347,0.21887542501904,2.800228811040729,0.21450302476038358
2.8203246900568,0.22526042248309,2.82375013245686,0.22087667056977806
2.7869836013615,0.22003941426021,2.7902818369236524,0.21582786864276512
2.810529500403,0.22640330444969,2.813973715027741,0.22217936294263355
2.7770118762039,0.22111984409847,2.7803276714122034,0.2170686416801434
2.8007286407875,0.22746352795858,2.8041903547142537,0.22339891822297206
2.7670371182645,0.222150264896,2.7703697139356813,0.21825909175274347
2.7909248570281,0.22847371058746,2.794403299577605,0.22456813497274628
2.7570595806886,0.2231464405308,2.7604084570306333,0.2194150924468595
2.7811182752555,0.2294489241585,2.7846129079591044,0.2257021863713543
2.7470783349554,0.22411163605194,2.7504430218726488,0.22053994654229084
2.7713079085251,0.23039241588958,2.7748182430642188,0.2268043572085075
2.7370924220063,0.2250407070392,2.740472371380728,0.22162848722521425
2.7614927945015,0.23129925508317,2.7650182666999426,0.22786969791878248
2.7271010163571,0.22592557650155,2.730495557493227,0.22267259193779815
2.7516721694069,0.23216203764533,2.75521210109738,0.2288907655050313
2.7171037200796,0.22675641627987,2.7205120330585966,0.2236623677954556
2.7418456738344,0.23297123041107,2.745399240005956,0.22985796703074612
2.7071008409369,0.22752623380405,2.7105219996018723,0.22459076713701973
2.7320136989376,0.23372048865083,2.7355799767736872,0.2307649082056693
2.6970924796947,0.22822704392801,2.700525436599408,0.22544974574056567
2.7221763839995,0.23440212419414,2.7257543322082456,0.2316038459974969
2.6870793961697,0.22885304942976,2.6905230157325484,0.2262334529896972
2.7123345340519,0.2350107441295,2.7159230281522633,0.2323693380370638
2.6770623706774,0.22940161168851,2.6805154771516384,0.22693921931381736
2.7024889180355,0.23554349765154,2.706086789530149,0.23305850204690928
2.6670421849757,0.22986978719134,2.6705035578185825,0.2275640680313367
2.6926403353778,0.23599787789411,2.6962463770488854,0.23366880157340952
2.6570199843025,0.23025741688951,2.660488400423567,0.2281078214264221
2.6827899122431,0.23637337076654,2.6864029088180126,0.23419970152903188
2.6469966090239,0.23056680891577,2.6504708802914867,0.2285727914054243
2.6729384737067,0.23667217743771,2.676557243730343,0.2346534053698444
2.6369729453725,0.2308000912583,2.6404519158724247,0.22896110773043782
2.6630868885454,0.23689606749818,2.6667102777252736,0.23503168133717003
2.6269497759521,0.23096156911127,2.6304323550668394,0.2292770946420834
2.6532359441341,0.23704928241488,2.656862863436461,0.23533878775588044
2.6169276338188,0.2310569743682,2.62041281792486,0.2295265171777804
2.6433861550525,0.23713681899907,2.6470155923730396,0.23557974770542917
2.6069069505883,0.23108999985889,2.6103937920987894,0.22971308817140512
2.6335379653658,0.23716247584983,2.637168967076043,0.23575837893365523
2.5968881311141,0.23106568218982,2.600375758890984,0.2298418743250717
2.623691794624,0.23713096104688,2.627323479587431,0.23587941528370038
2.5868713548196,0.23098810473541,2.5903589597220944,0.22991698568952917
2.613847829884,0.23704617845278,2.617479377092341,0.23594678447602693
2.5768568818603,0.23085955131797,2.5803436894041143,0.22994071856223441
2.6040063491262,0.23691044487424,2.6076369732353677,0.23596281488559695
2.5668449353037,0.23068284555275,2.5703302138636426,0.22991591349028986
2.594167592384,0.2367264821714,2.5977965499596505,0.23593024330612167
2.8430669853253,0.20786959834388,2.8461739179240153,0.20271234137089372
