# case: /home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2/mp04
# time_directory: 0.0
# case_type: Reconstructed Case
# patch: patch/wing
# eta: 0.35
# plane_origin: (0.000000, 1.318334, 0.000000)
# plane_normal: (0, 1, 0)
# halfspan_b_over_2_m: 3.766668
# polylines_returned: 1
# points_kept: 137
x,y,z
1.00755775,1.318333864,0.03754401207
1.003913641,1.318333864,0.03513381258
1.000796199,1.318333864,0.03133097291
0.9990840554,1.318333864,0.02663442306
1.000599146,1.318333864,0.02187546715
1.00453198,1.318333864,0.0186884962
1.008043766,1.318333864,0.01635896042
1.013229728,1.318333864,0.01406935137
1.020318389,1.318333864,0.01160884183
1.029881716,1.318333864,0.008923833258
1.042678833,1.318333864,0.005935670342
1.059330702,1.318333864,0.002615787787
1.076851845,1.318333864,-0.0004605893046
1.094425678,1.318333864,-0.003250286449
1.112031817,1.318333864,-0.005810546689
1.129668593,1.318333864,-0.008172439411
1.147330999,1.318333864,-0.01035343762
1.165016055,1.318333864,-0.01236379799
1.182721019,1.318333864,-0.0142096905
1.200444221,1.318333864,-0.01589337178
1.218183994,1.318333864,-0.01741726138
1.235939145,1.318333864,-0.01878068969
1.253705621,1.318333864,-0.01998621412
1.271484256,1.318333864,-0.02103602514
1.28927362,1.318333864,-0.02193239331
1.307072401,1.318333864,-0.02267985418
1.324879169,1.318333864,-0.02327811532
1.342692971,1.318333864,-0.02372957394
1.360512495,1.318333864,-0.02403400466
1.378336668,1.318333864,-0.02418739907
1.396164656,1.318333864,-0.02419042401
1.413994908,1.318333864,-0.02403550223
1.431826234,1.318333864,-0.02372531407
1.449656963,1.318333864,-0.02325015888
1.467485547,1.318333864,-0.02261100523
1.485310435,1.318333864,-0.02180477232
1.503129721,1.318333864,-0.02082940005
1.520941615,1.318333864,-0.01968167536
1.539066911,1.318333864,-0.01834021695
1.55717802,1.318333864,-0.01682586782
1.575273871,1.318333864,-0.01514566038
1.593353868,1.318333864,-0.01331120823
1.611416698,1.318333864,-0.01131980866
1.629462123,1.318333864,-0.009178033099
1.647490382,1.318333864,-0.006895476952
1.665501833,1.318333864,-0.004482301883
1.683498621,1.318333864,-0.001958859386
1.701483607,1.318333864,0.0006541436305
1.719459772,1.318333864,0.003336594207
1.737432361,1.318333864,0.006056655664
1.75540626,1.318333864,0.008780925535
1.773387432,1.318333864,0.01147426758
1.791378617,1.318333864,0.01411375217
1.809383869,1.318333864,0.01667277887
1.827414155,1.318333864,0.01911739074
1.845467091,1.318333864,0.02140987664
