# case: /home/ubuntu/certonomous-runs/CURRICULUM-D6R3-crm-wing-mach085/MP_R2/mp04
# time_directory: 2000.0
# case_type: Decomposed Case
# patch: patch/wing
# eta: 0.20
# plane_origin: (0.000000, 0.753334, 0.000000)
# plane_normal: (0, 1, 0)
# halfspan_b_over_2_m: 3.766668
# polylines_returned: 1
# points_kept: 137
x,y,z
1.814969182,0.7533336282,-0.02970673144
1.815486193,0.7533336282,-0.02978670783
1.815500259,0.7533336282,-0.02931706794
1.815514803,0.7533336282,-0.02884746902
1.815529108,0.7533336282,-0.02837786637
1.815543413,0.7533336282,-0.02790832706
1.815040231,0.7533336282,-0.02775530145
1.814252496,0.7533336282,-0.02752169035
1.81301868,0.7533336282,-0.02716772631
1.811085343,0.7533336282,-0.02664092928
1.808051467,0.7533336282,-0.02586767636
1.803290129,0.7533336282,-0.02474960685
1.79581821,0.7533336282,-0.02314450219
1.784096599,0.7533336282,-0.02085396089
1.766360044,0.7533336282,-0.01771957241
1.744458914,0.7533336282,-0.0141982194
1.718730927,0.7533336282,-0.01035214774
1.692844152,0.7533336282,-0.006644759793
1.666940093,0.7533336282,-0.002996823052
1.641029358,0.7533336282,0.0006437341799
1.615116119,0.7533336282,0.004294680897
1.589200377,0.7533336282,0.007946505211
1.563279986,0.7533336282,0.01157583855
1.537349701,0.7533336282,0.01515127439
1.511405468,0.7533336282,0.01864246093
1.485442877,0.7533336282,0.02202099375
1.459459066,0.7533336282,0.02526639216
1.433452368,0.7533336282,0.02836335264
1.407422662,0.7533336282,0.0313064456
1.38137114,0.7533336282,0.03409668058
1.355299234,0.7533336282,0.0367401503
1.32920897,0.7533336282,0.03924614564
1.303102136,0.7533336282,0.04162232205
1.276979923,0.7533336282,0.04387530684
1.250843167,0.7533336282,0.04600761086
1.224691987,0.7533336282,0.04801794887
1.198526859,0.7533336282,0.04990402237
1.172347665,0.7533336282,0.05165887624
1.145533442,0.7533336282,0.05331188068
1.119394064,0.7533336282,0.05477552861
1.093899012,0.7533336282,0.05605496839
1.069018841,0.7533336282,0.05715717003
1.044726014,0.7533336282,0.05808481574
1.020993829,0.7533336282,0.05884501711
0.9977961183,0.7533336282,0.05944087729
0.9751077294,0.7533336282,0.05987871438
0.9529056549,0.7533336282,0.0601612702
0.9311644435,0.7533336282,0.06029316783
0.9098600745,0.7533336282,0.06027930975
0.8889764547,0.7533336282,0.06012004614
0.8684854507,0.7533336282,0.05981786922
0.8483726382,0.7533336282,0.05937852338
0.8286175132,0.7533336282,0.05880083144
0.809202075,0.7533336282,0.05808510259
0.7901101112,0.7533336282,0.05722816661
0.7713268995,0.7533336282,0.05622430146
0.752836585,0.7533336282,0.0550654009
0.7346308231,0.7533336282,0.05373785272
0.7166954875,0.7533336282,0.05222369358
0.6990303397,0.7533336282,0.05049964041
0.6816236973,0.7533336282,0.04853260145
0.664485693,0.7533336282,0.04628171027
0.6476132274,0.7533336282,0.04368370026
0.6310365796,0.7533336282,0.04064448923
0.6155050397,0.7533336282,0.03717390448
0.6031226516,0.7533336282,0.03374655917
0.593275249,0.7533336282,0.03034398332
0.5854355693,0.7533336282,0.0269134324
0.5792440176,0.7533336282,0.0233933311
0.574367106,0.7533336282,0.01980365068
0.5706948638,0.7533336282,0.01514095068
0.5688538551,0.7533336282,0.009595835581
0.5704516172,0.7533336282,0.003943192773
0.5747207403,0.7533336282,-0.0004594690108
0.5796242356,0.7533336282,-0.003770912066
0.5858187675,0.7533336282,-0.00699767191
0.5935091972,0.7533336282,-0.01030628104
0.603074491,0.7533336282,-0.01384554897
0.6150482297,0.7533336282,-0.01776808873
0.6299409866,0.7533336282,-0.02217717841
0.6457448602,0.7533336282,-0.02646829374
0.6618442535,0.7533336282,-0.03054673225
0.6782284975,0.7533336282,-0.03445025533
0.6948992014,0.7533336282,-0.03820313513
0.7118611932,0.7533336282,-0.04181798175
0.7291220427,0.7533336282,-0.04530069605
0.7466920018,0.7533336282,-0.04865533113
0.7645817995,0.7533336282,-0.05188233778
0.7828027606,0.7533336282,-0.05498168245
0.8013699651,0.7533336282,-0.05794909969
0.8202963471,0.7533336282,-0.06077795848
0.839600563,0.7533336282,-0.06346233189
0.859298408,0.7533336282,-0.06599058956
0.8794104457,0.7533336282,-0.06835335493
0.8999562263,0.7533336282,-0.07054160535
