# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
1                   	DILUPBiCGStab	1.000000000000e+00	4.261597143700e-02	1	9.999997834810e-01	3.496235870860e-02	1	false	DICPCG	1.000000000000e+00	9.133835534700e-03	42	true
2                   	DILUPBiCGStab	1.106041465510e-01	1.024182320520e-02	1	3.070970712910e-01	6.374519572970e-03	1	false	DICPCG	3.090661889680e-01	2.979668171560e-03	28	true
3                   	DILUPBiCGStab	4.929076604590e-02	3.923624364210e-03	1	1.797136653630e-01	3.716061001770e-03	1	false	DICPCG	1.586304071300e-01	1.531972182370e-03	36	true
4                   	DILUPBiCGStab	3.203120276190e-02	1.878173462070e-03	1	1.141509083470e-01	2.218456560010e-03	1	false	DICPCG	1.115993680000e-01	1.023493772380e-03	34	true
5                   	DILUPBiCGStab	2.453535430950e-02	1.112205416300e-03	1	7.732418212490e-02	1.522397382500e-03	1	false	DICPCG	8.394214931280e-02	8.192674279060e-04	31	true
6                   	DILUPBiCGStab	2.028323840900e-02	7.527813270420e-04	1	5.856143406370e-02	1.210851833330e-03	1	false	DICPCG	7.210148699310e-02	7.103449414520e-04	28	true
7                   	DILUPBiCGStab	1.748740184310e-02	5.507830041190e-04	1	4.780107264460e-02	9.151137715440e-04	1	false	DICPCG	6.433085027990e-02	6.294550151030e-04	27	true
8                   	DILUPBiCGStab	1.548374315280e-02	4.245095448080e-04	1	4.201482879100e-02	8.351556138300e-04	1	false	DICPCG	5.742104459260e-02	5.504899343970e-04	26	true
9                   	DILUPBiCGStab	1.396594046450e-02	3.395512629100e-04	1	3.726715822170e-02	7.748685523790e-04	1	false	DICPCG	5.166876145910e-02	4.707151695090e-04	26	true
10                  	DILUPBiCGStab	1.276943111550e-02	2.798913047780e-04	1	3.349757416250e-02	7.059196680760e-04	1	false	DICPCG	4.711940681180e-02	4.689748469570e-04	25	true
11                  	DILUPBiCGStab	1.179896565270e-02	2.360857887090e-04	1	3.024009100900e-02	6.396120080330e-04	1	false	DICPCG	4.279456985470e-02	4.172543113210e-04	25	true
12                  	DILUPBiCGStab	1.099421362320e-02	2.025127590230e-04	1	2.742992977620e-02	5.771438881780e-04	1	false	DICPCG	3.898484319410e-02	3.763271370520e-04	25	true
13                  	DILUPBiCGStab	1.031463245210e-02	1.761075315540e-04	1	2.503945489000e-02	5.175022051360e-04	1	false	DICPCG	3.582101403960e-02	3.432415205530e-04	25	true
14                  	DILUPBiCGStab	9.729747671490e-03	1.551930674990e-04	1	2.301528992390e-02	4.604547284270e-04	1	false	DICPCG	3.295768115460e-02	3.160831974750e-04	25	true
15                  	DILUPBiCGStab	9.222646594370e-03	1.382769324510e-04	1	2.127753250490e-02	4.065907602240e-04	1	false	DICPCG	3.042058980950e-02	2.929809960750e-04	25	true
16                  	DILUPBiCGStab	8.777405727700e-03	1.241757099690e-04	1	1.978262571490e-02	1.954118375380e-03	1	false	DICPCG	2.848550067630e-02	2.767082591400e-04	25	true
17                  	DILUPBiCGStab	8.382108544520e-03	1.124153650470e-04	1	1.901601082330e-02	1.750813167470e-03	1	false	DICPCG	2.610037571020e-02	2.590777319990e-04	25	true
18                  	DILUPBiCGStab	8.029867463710e-03	1.025527130930e-04	1	1.788537758210e-02	1.504670866130e-03	1	false	DICPCG	2.444369863130e-02	2.353004479050e-04	26	true
19                  	DILUPBiCGStab	7.712119537180e-03	9.400760791420e-05	1	1.680741138220e-02	1.301817457200e-03	1	false	DICPCG	2.291768736860e-02	2.220115061780e-04	26	true
20                  	DILUPBiCGStab	7.425296641770e-03	8.671353646440e-05	1	1.584619746870e-02	1.131558712630e-03	1	false	DICPCG	2.156287089560e-02	2.102264754110e-04	26	true
21                  	DILUPBiCGStab	7.163610671890e-03	8.037124999380e-05	1	1.499243901490e-02	9.913797436190e-04	1	false	DICPCG	2.032489515430e-02	1.999472469970e-04	26	true
22                  	DILUPBiCGStab	6.924849690630e-03	7.475102186400e-05	1	1.422913226670e-02	8.760791641990e-04	1	false	DICPCG	1.920034796840e-02	1.908755257200e-04	26	true
23                  	DILUPBiCGStab	6.705053287220e-03	6.989305718090e-05	1	1.354272878030e-02	7.810282315240e-04	1	false	DICPCG	1.817646642590e-02	1.562708530090e-04	27	true
24                  	DILUPBiCGStab	6.502760732180e-03	6.554101578520e-05	1	1.292371673380e-02	7.024042699850e-04	1	false	DICPCG	1.724756256460e-02	1.494232038640e-04	27	true
25                  	DILUPBiCGStab	6.315194386290e-03	6.165584552610e-05	1	1.236107370590e-02	6.366882223750e-04	1	false	DICPCG	1.640517265910e-02	1.431548288470e-04	27	true
26                  	DILUPBiCGStab	6.141015100250e-03	5.821114847310e-05	1	1.184857013640e-02	5.806551017620e-04	1	false	DICPCG	1.562628173370e-02	1.372967606300e-04	27	true
27                  	DILUPBiCGStab	5.978855517680e-03	5.506967329140e-05	1	1.137877467160e-02	5.323225105520e-04	1	false	DICPCG	1.491639194110e-02	1.317488238620e-04	27	true
28                  	DILUPBiCGStab	5.827197056970e-03	5.227734505200e-05	1	1.094719268030e-02	4.902856222240e-04	1	false	DICPCG	1.426160856690e-02	1.264170199200e-04	27	true
29                  	DILUPBiCGStab	5.685370006400e-03	4.972437371640e-05	1	1.054840851020e-02	4.535597848970e-04	1	false	DICPCG	1.366366756020e-02	1.212506764460e-04	27	true
30                  	DILUPBiCGStab	5.552108133060e-03	4.740307840800e-05	1	1.017889032670e-02	4.211288067960e-04	1	false	DICPCG	1.310737631220e-02	1.162872938530e-04	27	true
31                  	DILUPBiCGStab	5.426557183300e-03	4.529749195420e-05	1	9.835701689920e-03	3.923017841540e-04	1	false	DICPCG	1.259285681580e-02	1.117269013630e-04	27	true
32                  	DILUPBiCGStab	5.308301594680e-03	4.334427394000e-05	1	9.515919475050e-03	3.666094773570e-04	1	false	DICPCG	1.211263856680e-02	1.074976945770e-04	27	true
33                  	DILUPBiCGStab	5.196579455650e-03	4.158865375970e-05	1	9.217431167090e-03	3.435304756680e-04	1	false	DICPCG	1.166709929810e-02	1.035276828710e-04	27	true
34                  	DILUPBiCGStab	5.090741400550e-03	3.994943500230e-05	1	8.938071641290e-03	3.227192793820e-04	1	false	DICPCG	1.124925386670e-02	9.998766981690e-05	27	true
35                  	DILUPBiCGStab	4.990404324850e-03	3.844920378540e-05	1	8.675517231690e-03	3.038752004860e-04	1	false	DICPCG	1.086018037250e-02	9.699865797190e-05	27	true
36                  	DILUPBiCGStab	4.895192402100e-03	3.706498551770e-05	1	8.429084240890e-03	2.867426801170e-04	1	false	DICPCG	1.049488357260e-02	9.452268099790e-05	27	true
37                  	DILUPBiCGStab	4.804517974620e-03	3.577400741960e-05	1	8.196947719940e-03	2.711478972480e-04	1	false	DICPCG	1.015431615660e-02	9.234027459600e-05	27	true
38                  	DILUPBiCGStab	4.718169922170e-03	3.459134475970e-05	1	7.977538328250e-03	2.568885522730e-04	1	false	DICPCG	9.832051152180e-03	9.023057168600e-05	27	true
39                  	DILUPBiCGStab	4.635897291060e-03	3.347650334850e-05	1	7.769933447030e-03	2.438251580750e-04	1	false	DICPCG	9.532820569610e-03	8.815880468300e-05	27	true
40                  	DILUPBiCGStab	4.557193338520e-03	3.245296312350e-05	1	7.573894243720e-03	2.318544414020e-04	1	false	DICPCG	9.247900481730e-03	8.616616350610e-05	27	true
41                  	DILUPBiCGStab	4.482010041510e-03	3.148948585560e-05	1	7.388181250560e-03	2.208070329630e-04	1	false	DICPCG	8.980514524260e-03	8.422792158600e-05	27	true
42                  	DILUPBiCGStab	4.409994067660e-03	3.059196709250e-05	1	7.210986643910e-03	2.105783436870e-04	1	false	DICPCG	8.726966742840e-03	8.233498900370e-05	27	true
43                  	DILUPBiCGStab	4.341020851220e-03	2.975557831850e-05	1	7.043468841110e-03	2.010774210940e-04	1	false	DICPCG	8.486271291250e-03	8.047721124100e-05	27	true
44                  	DILUPBiCGStab	4.274871263020e-03	2.896557977770e-05	1	6.883203620920e-03	1.922152344160e-04	1	false	DICPCG	8.259804086350e-03	7.866506895480e-05	27	true
45                  	DILUPBiCGStab	4.211216871120e-03	2.823568466930e-05	1	6.730691837510e-03	1.839748644360e-04	1	false	DICPCG	8.042775828570e-03	7.689821960220e-05	27	true
46                  	DILUPBiCGStab	4.150186321460e-03	2.754339906830e-05	1	6.585258786350e-03	1.762669372660e-04	1	false	DICPCG	7.839020889910e-03	7.519073469280e-05	27	true
47                  	DILUPBiCGStab	4.091368072590e-03	2.690101849550e-05	1	6.445997945040e-03	1.690987506540e-04	1	false	DICPCG	7.643518116890e-03	7.353586824530e-05	27	true
48                  	DILUPBiCGStab	4.034779114360e-03	2.629594477550e-05	1	6.313094529180e-03	1.624355958020e-04	1	false	DICPCG	7.457227046280e-03	7.193616630530e-05	27	true
49                  	DILUPBiCGStab	3.980158905170e-03	2.572902674860e-05	1	6.185857872370e-03	1.562613304510e-04	1	false	DICPCG	7.280584269700e-03	7.039080441940e-05	27	true
50                  	DILUPBiCGStab	3.927628900080e-03	2.520392780270e-05	1	6.063771140050e-03	1.504566769400e-04	1	false	DICPCG	7.109947950370e-03	6.889391173530e-05	27	true
51                  	DILUPBiCGStab	3.876801916330e-03	2.470549314840e-05	1	5.946655310690e-03	1.450050015430e-04	1	false	DICPCG	6.949220326790e-03	6.742702536710e-05	27	true
