time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
0.79	10.073	0.44486	0.31579
0.795	10.127	0.45927	0.32278
0.8	10.163	0.50158	0.3433
0.805	10.198	0.64522	0.41298
0.81	10.204	0.6278	0.40453
0.815	10.236	0.56624	0.37467
0.82	10.199	0.48531	0.33541
0.825	10.132	0.5007	0.34288
0.83	10.121	0.4721	0.329
0.835	10.171	0.41952	0.3035
0.84	10.301	0.46189	0.32405
0.845	10.395	0.59517	0.3887
0.85	10.284	0.51594	0.35027
0.855	10.229	0.36972	0.27934
0.86	10.222	0.3381	0.264
0.865	10.181	0.40618	0.29703
0.87	10.163	0.49931	0.3422
0.875	10.2	0.59502	0.38863
0.88	10.223	0.47246	0.32918
0.885	10.183	0.40135	0.29468
0.89	10.057	0.39712	0.29263
0.895	9.9965	0.40885	0.29832
0.9	10.078	0.50381	0.34438
0.905	10.232	0.52271	0.35355
0.91	10.282	0.50234	0.34367
0.915	10.257	0.55496	0.3692
0.92	10.307	0.52062	0.35254
0.925	10.308	0.43675	0.31186
0.93	10.219	0.35244	0.27096
0.935	10.182	0.41306	0.30036
0.94	10.242	0.47736	0.33155
0.945	10.294	0.58648	0.38448
0.95	10.292	0.6665	0.4233
0.955	10.272	0.66038	0.42033
0.96	10.173	0.5115	0.34811
0.965	10.175	0.41869	0.30309
0.97	10.214	0.43352	0.31029
0.975	10.256	0.46687	0.32647
0.98	10.33	0.43369	0.31037
0.985	10.382	0.42826	0.30774
0.99	10.284	0.50269	0.34384
0.995	10.149	0.53611	0.36005
1	10.15	0.42685	0.30705
1.005	10.217	0.42813	0.30767
1.01	10.243	0.32748	0.25885
1.015	10.253	0.32013	0.25529
1.02	10.289	0.31529	0.25294
1.025	10.297	0.43282	0.30995
1.03	10.173	0.50744	0.34615
1.035	10.114	0.53835	0.36114
1.04	10.112	0.57249	0.3777
1.045	10.181	0.56487	0.374
1.05	10.159	0.47437	0.3301
1.055	10.107	0.37271	0.28079
1.06	10.171	0.28578	0.23863
1.065	10.228	0.40044	0.29424
1.07	10.262	0.4356	0.3113
1.075	10.254	0.38714	0.28779
1.08	10.232	0.42156	0.30449
1.085	10.107	0.51444	0.34954
1.09	10.057	0.47854	0.33212
1.095	10.144	0.41209	0.29989
1.1	10.191	0.34226	0.26602
1.105	10.145	0.35028	0.26991
1.11	10.148	0.45233	0.31941
1.115	10.191	0.52544	0.35488
1.12	10.245	0.44249	0.31464
1.125	10.207	0.43232	0.30971
1.13	10.145	0.39318	0.29072
1.135	10.124	0.43351	0.31028
1.14	10.078	0.5641	0.37363
1.145	10.044	0.53749	0.36072
1.15	10.055	0.40136	0.29469
1.155	10.123	0.38391	0.28623
1.16	10.2	0.43629	0.31163
1.165	10.26	0.53918	0.36154
1.17	10.16	0.48973	0.33755
1.175	10.095	0.45744	0.32189
1.18	10.062	0.416	0.30179
1.185	10.074	0.42406	0.3057
1.19	10.148	0.33757	0.26375
1.195	10.199	0.30511	0.248
1.2	10.196	0.35726	0.2733
1.205	10.229	0.39533	0.29176
1.21	10.266	0.44519	0.31595
1.215	10.228	0.50565	0.34527
1.22	10.174	0.45842	0.32237
1.225	10.168	0.39645	0.29231
1.23	10.229	0.39326	0.29076
1.235	10.303	0.42714	0.30719
1.24	10.303	0.56582	0.37446
1.245	10.27	0.74711	0.4624
1.25	10.239	0.53275	0.35842
1.255	10.275	0.40763	0.29773
1.26	10.319	0.40511	0.29651
1.265	10.304	0.4823	0.33395
1.27	10.345	0.40762	0.29773
1.275	10.412	0.39018	0.28927
1.28	10.394	0.47107	0.3285
1.285	10.32	0.50834	0.34658
1.29	10.237	0.37385	0.28134
1.295	10.204	0.45536	0.32088
1.3	10.263	0.48912	0.33726
1.305	10.294	0.38323	0.28589
