time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
3.745	10.475	0.47112	0.32853
3.75	10.479	0.47502	0.33042
3.755	10.523	0.56178	0.3725
3.76	10.6	0.53176	0.35794
3.765	10.549	0.3844	0.28646
3.77	10.338	0.41721	0.30237
3.775	10.19	0.46641	0.32624
3.78	10.304	0.40436	0.29614
3.785	10.461	0.50725	0.34605
3.79	10.545	0.61378	0.39773
3.795	10.544	0.62304	0.40222
3.8	10.434	0.50549	0.3452
3.805	10.376	0.46784	0.32694
3.81	10.369	0.51447	0.34956
3.815	10.344	0.52693	0.3556
3.82	10.38	0.48081	0.33323
3.825	10.42	0.54007	0.36197
3.83	10.431	0.59004	0.38621
3.835	10.501	0.59656	0.38937
3.84	10.588	0.5496	0.3666
3.845	10.622	0.53377	0.35892
3.85	10.545	0.50738	0.34612
3.855	10.501	0.52078	0.35261
3.86	10.405	0.52846	0.35634
3.865	10.313	0.56037	0.37182
3.87	10.212	0.50446	0.3447
3.875	10.21	0.51862	0.35157
3.88	10.339	0.54963	0.36661
3.885	10.505	0.58788	0.38516
3.89	10.537	0.62589	0.4036
3.895	10.501	0.59744	0.3898
3.9	10.423	0.54091	0.36238
3.905	10.348	0.53825	0.36109
3.91	10.331	0.6123	0.39701
3.915	10.371	0.67074	0.42536
3.92	10.387	0.6616	0.42092
3.925	10.454	0.6377	0.40933
3.93	10.432	0.54065	0.36225
3.935	10.39	0.46759	0.32681
3.94	10.426	0.43043	0.30879
3.945	10.519	0.39256	0.29042
3.95	10.61	0.39697	0.29256
3.955	10.616	0.48172	0.33367
3.96	10.591	0.41473	0.30117
3.965	10.608	0.487	0.33623
3.97	10.639	0.47187	0.32889
3.975	10.583	0.43854	0.31272
3.98	10.469	0.5232	0.35379
3.985	10.377	0.60491	0.39342
3.99	10.478	0.58144	0.38204
3.995	10.503	0.6174	0.39948
4	10.353	0.63829	0.40962
4.005	10.228	0.53597	0.35998
4.01	10.339	0.5324	0.35825
4.015	10.604	0.52861	0.35641
4.02	10.689	0.44075	0.3138
4.025	10.621	0.5635	0.37334
4.03	10.562	0.59605	0.38913
4.035	10.463	0.50869	0.34675
4.04	10.361	0.39337	0.29081
4.045	10.322	0.33151	0.2608
4.05	10.385	0.33308	0.26157
4.055	10.474	0.45348	0.31997
4.06	10.458	0.4343	0.31066
4.065	10.404	0.45426	0.32035
4.07	10.314	0.45967	0.32297
4.075	10.32	0.39966	0.29386
4.08	10.389	0.35254	0.271
4.085	10.374	0.35753	0.27343
4.09	10.291	0.38886	0.28862
4.095	10.235	0.39477	0.29149
4.1	10.229	0.48303	0.3343
4.105	10.279	0.47639	0.33108
4.11	10.353	0.48174	0.33368
4.115	10.433	0.59634	0.38927
4.12	10.495	0.58503	0.38378
4.125	10.515	0.57814	0.38044
4.13	10.483	0.51029	0.34753
4.135	10.374	0.46675	0.32641
4.14	10.317	0.44453	0.31563
4.145	10.321	0.33423	0.26212
4.15	10.292	0.27062	0.23127
4.155	10.333	0.39195	0.29012
4.16	10.413	0.39426	0.29125
4.165	10.413	0.43668	0.31182
4.17	10.355	0.42398	0.30566
4.175	10.396	0.45919	0.32274
4.18	10.467	0.49646	0.34082
4.185	10.548	0.53163	0.35788
4.19	10.558	0.46383	0.32499
4.195	10.533	0.4508	0.31867
4.2	10.476	0.51351	0.34909
4.205	10.495	0.49601	0.3406
4.21	10.542	0.43648	0.31173
4.215	10.524	0.51536	0.34998
4.22	10.494	0.58198	0.3823
4.225	10.547	0.63928	0.4101
4.23	10.62	0.54365	0.36371
4.235	10.668	0.48086	0.33325
4.24	10.585	0.44441	0.31557
4.245	10.501	0.48705	0.33625
4.25	10.492	0.57971	0.3812
4.255	10.519	0.49716	0.34116
4.26	10.527	0.49091	0.33813
4.265	10.505	0.50525	0.34508
4.27	10.466	0.45207	0.31929
4.275	10.441	0.46305	0.32461
4.28	10.441	0.49827	0.34169
4.285	10.412	0.45538	0.32089
4.29	10.338	0.46154	0.32388
4.295	10.268	0.53844	0.36118
4.3	10.275	0.5471	0.36538
4.305	10.317	0.57785	0.3803
4.31	10.376	0.51972	0.3521
4.315	10.476	0.47027	0.32811
4.32	10.524	0.52514	0.35473
4.325	10.491	0.63983	0.41036
4.33	10.479	0.54792	0.36578
4.335	10.429	0.51409	0.34937
4.34	10.348	0.45794	0.32214
4.345	10.343	0.49166	0.33849
4.35	10.377	0.4943	0.33977
4.355	10.38	0.53718	0.36057
4.36	10.389	0.66091	0.42059
4.365	10.442	0.67037	0.42518
4.37	10.423	0.56252	0.37286
4.375	10.357	0.42359	0.30547
4.38	10.315	0.40496	0.29643
4.385	10.419	0.47516	0.33048
4.39	10.543	0.5336	0.35883
4.395	10.614	0.61225	0.39699
4.4	10.6	0.5589	0.37111
4.405	10.547	0.47076	0.32835
4.41	10.449	0.47082	0.32838
4.415	10.355	0.52957	0.35688
4.42	10.321	0.48474	0.33514
4.425	10.316	0.54555	0.36463
4.43	10.399	0.61064	0.3962
4.435	10.448	0.60982	0.39581
4.44	10.402	0.56165	0.37244
4.445	10.406	0.5239	0.35413
4.45	10.446	0.47211	0.32901
4.455	10.436	0.47749	0.33161
4.46	10.463	0.42881	0.308
4.465	10.516	0.39023	0.28929
4.47	10.482	0.38178	0.28519
4.475	10.493	0.3732	0.28103
4.48	10.584	0.38578	0.28713
4.485	10.632	0.41953	0.3035
4.49	10.611	0.43166	0.30939
4.495	10.553	0.47183	0.32887
4.5	10.477	0.42289	0.30513
4.505	10.418	0.44244	0.31462
4.51	10.348	0.39183	0.29007
4.515	10.318	0.4706	0.32827
4.52	10.416	0.52482	0.35457
4.525	10.541	0.47462	0.33023
4.53	10.643	0.45022	0.31839
4.535	10.755	0.51236	0.34853
4.54	10.769	0.49492	0.34007
4.545	10.627	0.43929	0.31309
4.55	10.431	0.36384	0.27649
4.555	10.403	0.3992	0.29364
4.56	10.541	0.26088	0.22655
4.565	10.608	0.25806	0.22518
4.57	10.529	0.35708	0.27321
4.575	10.502	0.51707	0.35081
4.58	10.535	0.56072	0.37199
4.585	10.496	0.55205	0.36778
4.59	10.417	0.48684	0.33615
4.595	10.469	0.4357	0.31135
4.6	10.501	0.37962	0.28414
4.605	10.511	0.44095	0.31389
4.61	10.542	0.43528	0.31114
4.615	10.622	0.37902	0.28385
4.62	10.623	0.47194	0.32893
4.625	10.627	0.50024	0.34265
4.63	10.645	0.4873	0.33637
4.635	10.654	0.5188	0.35166
4.64	10.655	0.59431	0.38828
4.645	10.659	0.55228	0.3679
4.65	10.679	0.47178	0.32885
4.655	10.73	0.48786	0.33665
4.66	10.71	0.57153	0.37724
4.665	10.711	0.69478	0.43702
4.67	10.777	0.62977	0.40548
4.675	10.824	0.54044	0.36215
4.68	10.75	0.52779	0.35602
4.685	10.6	0.57478	0.37881
4.69	10.533	0.49024	0.3378
4.695	10.556	0.56896	0.37599
4.7	10.707	0.47552	0.33066
4.705	10.782	0.35957	0.27442
4.71	10.723	0.45062	0.31858
4.715	10.634	0.50808	0.34645
4.72	10.616	0.57436	0.37861
4.725	10.621	0.66467	0.42241
4.73	10.568	0.69577	0.4375
4.735	10.491	0.67548	0.42766
4.74	10.514	0.61483	0.39824
4.745	10.509	0.59625	0.38922
4.75	10.512	0.52783	0.35603
4.755	10.516	0.46885	0.32743
4.76	10.491	0.432	0.30955
4.765	10.494	0.51229	0.3485
4.77	10.601	0.50584	0.34537
4.775	10.644	0.53292	0.3585
4.78	10.578	0.53686	0.36042
4.785	10.591	0.54772	0.36568
4.79	10.589	0.53741	0.36068
4.795	10.526	0.58654	0.38451
4.8	10.369	0.55981	0.37155
4.805	10.392	0.52319	0.35378
4.81	10.478	0.53506	0.35954
4.815	10.497	0.62155	0.4015
4.82	10.554	0.61651	0.39905
4.825	10.574	0.59702	0.3896
4.83	10.519	0.55816	0.37075
4.835	10.477	0.45829	0.3223
4.84	10.476	0.40855	0.29817
4.845	10.443	0.50877	0.34679
4.85	10.407	0.53127	0.35771
4.855	10.417	0.59155	0.38694
4.86	10.471	0.4839	0.33473
4.865	10.484	0.36898	0.27898
4.87	10.579	0.36926	0.27912
4.875	10.681	0.43348	0.31027
4.88	10.624	0.47995	0.33281
4.885	10.562	0.51054	0.34765
4.89	10.537	0.44886	0.31773
4.895	10.468	0.53332	0.3587
4.9	10.421	0.53116	0.35765
4.905	10.41	0.51916	0.35183
4.91	10.432	0.46515	0.32563
4.915	10.474	0.46899	0.32749
4.92	10.415	0.58161	0.38212
4.925	10.348	0.60879	0.39531
4.93	10.348	0.48009	0.33288
4.935	10.381	0.4663	0.32619
4.94	10.397	0.56787	0.37546
4.945	10.487	0.61025	0.39601
4.95	10.671	0.52742	0.35584
4.955	10.735	0.55284	0.36816
4.96	10.615	0.55798	0.37066
4.965	10.528	0.59893	0.39052
4.97	10.545	0.50938	0.34708
4.975	10.524	0.48477	0.33515
4.98	10.428	0.43508	0.31105
4.985	10.409	0.42798	0.3076
4.99	10.451	0.42678	0.30702
4.995	10.526	0.49336	0.33931
5	10.603	0.52707	0.35567
5.005	10.668	0.50632	0.3456
5.01	10.684	0.58573	0.38412
5.015	10.716	0.62658	0.40393
5.02	10.735	0.5986	0.39036
5.025	10.691	0.64996	0.41528
5.03	10.609	0.61427	0.39797
5.035	10.575	0.54046	0.36216
5.04	10.621	0.52678	0.35552
5.045	10.708	0.60752	0.39469
5.05	10.65	0.58807	0.38525
5.055	10.497	0.63963	0.41027
5.06	10.363	0.52228	0.35334
5.065	10.323	0.49013	0.33775
5.07	10.392	0.5234	0.35389
5.075	10.561	0.49187	0.33859
5.08	10.664	0.48094	0.33329
5.085	10.629	0.50508	0.345
5.09	10.562	0.60994	0.39586
5.095	10.521	0.57506	0.37895
5.1	10.499	0.47957	0.33263
5.105	10.559	0.4834	0.33448
5.11	10.592	0.53767	0.36081
5.115	10.519	0.55155	0.36754
5.12	10.424	0.55028	0.36693
5.125	10.36	0.60451	0.39323
5.13	10.327	0.63381	0.40744
5.135	10.287	0.62816	0.4047
5.14	10.322	0.48301	0.3343
5.145	10.491	0.49886	0.34198
5.15	10.649	0.57	0.37649
5.155	10.669	0.7388	0.45837
5.16	10.659	0.77494	0.4759
5.165	10.668	0.64425	0.41251
5.17	10.687	0.60397	0.39297
5.175	10.647	0.65732	0.41885
5.18	10.561	0.60535	0.39364
5.185	10.533	0.54962	0.36661
5.19	10.562	0.4971	0.34113
5.195	10.603	0.46412	0.32513
5.2	10.632	0.57225	0.37758
5.205	10.533	0.72616	0.45224
5.21	10.405	0.55864	0.37098
5.215	10.44	0.33321	0.26163
5.22	10.589	0.31918	0.25483
5.225	10.683	0.45157	0.31904
5.23	10.63	0.4351	0.31106
5.235	10.521	0.4231	0.30524
5.24	10.496	0.41653	0.30205
5.245	10.506	0.49358	0.33942
5.25	10.409	0.58614	0.38432
5.255	10.326	0.65752	0.41894
5.26	10.372	0.55318	0.36833
5.265	10.482	0.55401	0.36874
5.27	10.522	0.54534	0.36453
5.275	10.538	0.55262	0.36806
5.28	10.598	0.5806	0.38163
5.285	10.675	0.52447	0.35441
5.29	10.76	0.38287	0.28572
5.295	10.746	0.32564	0.25796
5.3	10.76	0.34007	0.26496
5.305	10.815	0.43822	0.31257
5.31	10.796	0.40076	0.2944
5.315	10.701	0.4635	0.32483
5.32	10.703	0.528	0.35612
5.325	10.781	0.54725	0.36545
5.33	10.808	0.49865	0.34188
5.335	10.721	0.48389	0.33472
5.34	10.554	0.48031	0.33298
5.345	10.508	0.52817	0.3562
5.35	10.53	0.55497	0.3692
5.355	10.508	0.55446	0.36895
5.36	10.586	0.48055	0.3331
5.365	10.757	0.3917	0.29
5.37	10.823	0.48982	0.3376
5.375	10.788	0.51435	0.3495
5.38	10.77	0.38802	0.28822
5.385	10.743	0.38381	0.28617
5.39	10.705	0.4775	0.33162
5.395	10.679	0.66686	0.42348
5.4	10.687	0.66995	0.42497
5.405	10.684	0.64589	0.4133
5.41	10.607	0.49659	0.34088
5.415	10.564	0.39913	0.29361
5.42	10.578	0.41817	0.30284
5.425	10.585	0.4562	0.32129
5.43	10.61	0.38106	0.28484
5.435	10.615	0.4268	0.30703
5.44	10.584	0.49606	0.34062
5.445	10.581	0.49408	0.33966
5.45	10.543	0.32948	0.25982
5.455	10.522	0.43357	0.31031
5.46	10.506	0.51192	0.34832
5.465	10.478	0.47304	0.32946
5.47	10.408	0.49001	0.33769
5.475	10.4	0.50641	0.34565
5.48	10.462	0.52424	0.35429
5.485	10.51	0.63587	0.40844
5.49	10.497	0.64885	0.41474
5.495	10.509	0.60015	0.39111
5.5	10.606	0.61364	0.39766
5.505	10.681	0.71027	0.44453
5.51	10.665	0.69027	0.43483
5.515	10.719	0.65428	0.41737
5.52	10.764	0.61436	0.39801
5.525	10.685	0.6907	0.43504
5.53	10.663	0.74484	0.4613
5.535	10.679	0.76197	0.46961
5.54	10.667	0.76723	0.47216
5.545	10.659	0.63613	0.40857
5.55	10.598	0.60479	0.39336
5.555	10.527	0.56944	0.37622
5.56	10.531	0.52911	0.35666
5.565	10.623	0.5777	0.38022
5.57	10.701	0.49591	0.34055
5.575	10.726	0.34821	0.26891
5.58	10.736	0.3241	0.25721
5.585	10.734	0.35689	0.27312
5.59	10.598	0.44024	0.31355
5.595	10.476	0.52908	0.35664
5.6	10.484	0.49959	0.34233
5.605	10.573	0.42264	0.30501
5.61	10.621	0.48909	0.33725
5.615	10.655	0.56418	0.37367
5.62	10.643	0.50038	0.34272
5.625	10.571	0.49541	0.34031
5.63	10.618	0.54829	0.36596
5.635	10.717	0.49703	0.3411
5.64	10.625	0.48109	0.33336
5.645	10.475	0.51018	0.34748
5.65	10.519	0.51458	0.34961
5.655	10.593	0.50149	0.34326
5.66	10.557	0.45549	0.32095
5.665	10.493	0.45522	0.32082
5.67	10.47	0.46648	0.32627
5.675	10.531	0.57371	0.37829
5.68	10.558	0.53923	0.36157
5.685	10.617	0.53874	0.36133
5.69	10.718	0.518	0.35127
5.695	10.738	0.53293	0.35851
5.7	10.619	0.49655	0.34086
5.705	10.501	0.45319	0.31983
5.71	10.447	0.56447	0.37381
5.715	10.451	0.62629	0.40379
5.72	10.439	0.53486	0.35945
5.725	10.421	0.41881	0.30315
5.73	10.471	0.41762	0.30258
5.735	10.528	0.43549	0.31124
5.74	10.478	0.48922	0.3373
5.745	10.405	0.55031	0.36694
5.75	10.465	0.54554	0.36462
5.755	10.577	0.59262	0.38747
5.76	10.537	0.52049	0.35247
5.765	10.477	0.47248	0.32918
5.77	10.388	0.4898	0.33759
5.775	10.373	0.5977	0.38993
5.78	10.368	0.55903	0.37117
5.785	10.423	0.43656	0.31176
5.79	10.469	0.47829	0.33201
5.795	10.596	0.58542	0.38397
5.8	10.767	0.62244	0.40193
5.805	10.862	0.49854	0.34183
5.81	10.791	0.42607	0.30668
5.815	10.625	0.34465	0.26718
5.82	10.467	0.41975	0.30361
5.825	10.355	0.4664	0.32624
5.83	10.391	0.47058	0.32826
5.835	10.505	0.55613	0.36976
5.84	10.572	0.57772	0.38023
5.845	10.492	0.55758	0.37047
5.85	10.419	0.5217	0.35306
5.855	10.439	0.58622	0.38436
5.86	10.577	0.60539	0.39366
5.865	10.622	0.56389	0.37353
5.87	10.663	0.48752	0.33648
5.875	10.688	0.49134	0.33833
5.88	10.693	0.56717	0.37512
5.885	10.638	0.67328	0.42659
5.89	10.609	0.71207	0.4454
5.895	10.616	0.72077	0.44963
5.9	10.641	0.67101	0.42549
5.905	10.552	0.55595	0.36967
5.91	10.458	0.46477	0.32544
5.915	10.481	0.55381	0.36864
5.92	10.604	0.49266	0.33897
5.925	10.696	0.45652	0.32144
5.93	10.594	0.39854	0.29332
5.935	10.45	0.55512	0.36927
5.94	10.447	0.62112	0.40129
5.945	10.469	0.5794	0.38105
5.95	10.53	0.4649	0.32551
5.955	10.634	0.50721	0.34603
5.96	10.668	0.48735	0.3364
5.965	10.632	0.44257	0.31468
5.97	10.661	0.50395	0.34445
5.975	10.724	0.5281	0.35616
5.98	10.749	0.61262	0.39716
5.985	10.66	0.6886	0.43402
5.99	10.523	0.80753	0.49171
5.995	10.415	0.84082	0.50786
6	10.324	0.72359	0.45099
6.005	10.183	0.704	0.44149
6.01	9.9437	0.75811	0.46774
6.015	9.7451	0.83338	0.50425
6.02	9.6037	0.88804	0.53076
6.025	9.4426	0.96427	0.56774
6.03	9.1454	1.2445	0.70367
6.035	8.7023	1.5823	0.86755
6.04	8.1802	1.7107	0.92983
6.045	7.6717	1.7677	0.95744
6.05	7.1129	1.7065	0.92777
6.055	6.4701	1.8498	0.9973
6.06	5.9071	1.9624	1.0519
6.065	5.4092	1.8658	1.005
6.07	4.9484	1.8399	0.9925
6.075	4.4964	1.9332	1.0377
6.08	3.8746	2.08	1.109
6.085	3.2155	2.1074	1.1223
6.09	2.7761	1.8595	1.002
6.095	2.3429	1.8271	0.98629
6.1	1.9401	1.8657	1.005
6.105	1.6307	1.7125	0.93067
6.11	1.2973	1.3928	0.77558
6.115	1.0592	1.255	0.70878
6.12	0.96425	1.144	0.65494
6.125	0.86164	1.0228	0.59611
6.13	0.74291	0.9189	0.54573
6.135	0.58259	0.82068	0.49809
6.14	0.46583	0.72654	0.45242
6.145	0.33122	0.54905	0.36633
6.15	0.24935	0.41143	0.29957
6.155	0.23424	0.40164	0.29482
6.16	0.28623	0.52929	0.35674
6.165	0.31787	0.72699	0.45264
6.17	0.26239	0.58972	0.38606
6.175	0.18541	0.35847	0.27388
6.18	0.10924	0.20412	0.19901
6.185	0.074283	0.17487	0.18482
6.19	0.061015	0.16144	0.17831
6.195	0.046582	0.16126	0.17822
6.2	0.04014	0.16042	0.17781
6.205	0.036155	0.15339	0.17441
6.21	0.034434	0.14609	0.17086
6.215	0.028008	0.11883	0.15764
6.22	0.016819	0.071355	0.13461
6.225	0.0056294	0.023883	0.11159
6.23	0	0	0.1
6.235	0	0	0.1
6.24	0	0	0.1
6.245	0	0	0.1
6.25	0	0	0.1
6.255	0	0	0.1
6.26	0	0	0.1
6.265	0	0	0.1
6.27	0	0	0.1
6.275	0	0	0.1
6.28	0	0	0.1
6.285	0	0	0.1
6.29	0	0	0.1
6.295	0	0	0.1
6.3	0	0	0.1
6.305	0	0	0.1
6.31	0	0	0.1
6.315	0	0	0.1
6.32	0	0	0.1
6.325	0	0	0.1
6.33	0	0	0.1
6.335	0	0	0.1
6.34	0	0	0.1
6.345	0	0	0.1
6.35	0	0	0.1
6.355	0	0	0.1
6.36	0	0	0.1
6.365	0	0	0.1
6.37	0	0	0.1
6.375	0	0	0.1
6.38	0	0	0.1
6.385	0	0	0.1
6.39	0	0	0.1
6.395	0	0	0.1
6.4	0	0	0.1
6.405	0	0	0.1
6.41	0	0	0.1
6.415	0	0	0.1
6.42	0	0	0.1
6.425	0	0	0.1
6.43	0	0	0.1
6.435	0	0	0.1
6.44	0	0	0.1
6.445	0	0	0.1
6.45	0	0	0.1
6.455	0	0	0.1
6.46	0	0	0.1
6.465	0	0	0.1
6.47	0	0	0.1
6.475	0	0	0.1
6.48	0	0	0.1
6.485	0	0	0.1
6.49	0	0	0.1
6.495	0	0	0.1
6.5	0	0	0.1
6.505	0	0	0.1
6.51	0	0	0.1
6.515	0	0	0.1
6.52	0	0	0.1
6.525	0	0	0.1
6.53	0	0	0.1
6.535	0	0	0.1
6.54	0	0	0.1
6.545	0	0	0.1
6.55	0	0	0.1
6.555	0	0	0.1
6.56	0	0	0.1
6.565	0	0	0.1
6.57	0	0	0.1
6.575	0	0	0.1
6.58	0	0	0.1
6.585	0	0	0.1
6.59	0	0	0.1
6.595	0	0	0.1
6.6	0	0	0.1
6.605	0	0	0.1
6.61	0	0	0.1
6.615	0	0	0.1
6.62	0	0	0.1
6.625	0	0	0.1
6.63	0	0	0.1
6.635	0	0	0.1
6.64	0	0	0.1
6.645	0	0	0.1
6.65	0	0	0.1
6.655	0	0	0.1
6.66	0	0	0.1
6.665	0	0	0.1
6.67	0	0	0.1
6.675	0	0	0.1
6.68	0	0	0.1
6.685	0	0	0.1
6.69	0	0	0.1
6.695	0	0	0.1
6.7	0	0	0.1
6.705	0	0	0.1
6.71	0	0	0.1
6.715	0	0	0.1
6.72	0	0	0.1
6.725	0	0	0.1
6.73	0	0	0.1
6.735	0	0	0.1
6.74	0	0	0.1
6.745	0	0	0.1
6.75	0	0	0.1
6.755	0	0	0.1
6.76	0	0	0.1
6.765	0	0	0.1
6.77	0	0	0.1
6.775	0	0	0.1
6.78	0	0	0.1
6.785	0	0	0.1
6.79	0	0	0.1
6.795	0	0	0.1
6.8	0	0	0.1
6.805	0	0	0.1
6.81	0	0	0.1
6.815	0	0	0.1
6.82	0	0	0.1
6.825	0	0	0.1
6.83	0	0	0.1
6.835	0	0	0.1
6.84	0	0	0.1
6.845	0	0	0.1
6.85	0	0	0.1
6.855	0	0	0.1
6.86	0	0	0.1
6.865	0	0	0.1
6.87	0	0	0.1
6.875	0	0	0.1
6.88	0	0	0.1
6.885	0	0	0.1
6.89	0	0	0.1
6.895	0	0	0.1
6.9	0	0	0.1
6.905	0	0	0.1
6.91	0	0	0.1
6.915	0	0	0.1
6.92	0	0	0.1
6.925	0	0	0.1
6.93	0	0	0.1
6.935	0	0	0.1
6.94	0	0	0.1
6.945	0	0	0.1
6.95	0	0	0.1
6.955	0	0	0.1
6.96	0	0	0.1
6.965	0	0	0.1
6.97	0	0	0.1
6.975	0	0	0.1
6.98	0	0	0.1
6.985	0	0	0.1
6.99	0	0	0.1
6.995	0	0	0.1
7	0	0	0.1
