# S_hi_c_seed100: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
52000	6.485545199e+01	0.242286329	2.612439094e-01	no
52500	6.485640144e+01	0.242291024	2.612432066e-01	no
53000	6.485761569e+01	0.242292184	2.612447798e-01	no
53500	6.485903830e+01	0.242288917	2.612489567e-01	no
54000	6.486057766e+01	0.242280555	2.612558775e-01	no
54500	6.486211209e+01	0.242266812	2.612654535e-01	no
55000	6.486349125e+01	0.242247881	2.612774562e-01	no
55500	6.486454819e+01	0.242224486	2.612912198e-01	no
56000	6.486511219e+01	0.242197773	2.613058709e-01	no
56500	6.486502384e+01	0.242169496	2.613201623e-01	no
57000	6.486414841e+01	0.242142047	2.613325931e-01	no
57500	6.486239872e+01	0.242118346	2.613415951e-01	no
58000	6.485975014e+01	0.242101337	2.613455615e-01	no
58500	6.485628222e+01	0.242093636	2.613430836e-01	no
59000	6.485206871e+01	0.242098134	2.613329957e-01	no
59500	6.484730967e+01	0.242117201	2.613143176e-01	no
60000	6.485792792e+01	0.242203915	2.612820695e-01	no
60500	6.486198678e+01	0.242119636	2.613318755e-01	no
61000	6.486038141e+01	0.242113386	2.613398836e-01	no
61500	6.485769302e+01	0.242104258	2.613403693e-01	no
62000	6.485408945e+01	0.242103634	2.613339826e-01	no
62500	6.484983062e+01	0.242115991	2.613198388e-01	no
63000	6.484521635e+01	0.242143023	2.612973921e-01	no
63500	6.485717968e+01	0.242202258	2.612431032e-01	no
64000	6.484547536e+01	0.242182017	2.612859202e-01	no
64500	6.484249674e+01	0.242211925	2.612568092e-01	no
65000	6.483985161e+01	0.242267581	2.612253958e-01	no
65500	6.485949817e+01	0.242225482	2.612601256e-01	no
66000	6.486122746e+01	0.242203453	2.612961905e-01	no
66500	6.486016885e+01	0.242190477	2.613005639e-01	no
67000	6.485920314e+01	0.242180718	2.613040335e-01	no
67500	6.485781954e+01	0.242173963	2.613050683e-01	no
68000	6.485604685e+01	0.242172316	2.613026713e-01	no
68500	6.485397531e+01	0.242177138	2.612964528e-01	no
69000	6.485173754e+01	0.242189383	2.612862864e-01	no
69500	6.484950915e+01	0.242209519	2.612721545e-01	no
70000	6.484750760e+01	0.242237274	2.612545920e-01	no
70500	6.484596891e+01	0.242271708	2.612345324e-01	no
71000	6.484514061e+01	0.242310914	2.612133460e-01	no
71500	6.484524377e+01	0.242352278	2.611926770e-01	no
72000	6.484644451e+01	0.242393023	2.611742579e-01	no
72500	6.484892453e+01	0.242429458	2.611603343e-01	no
73000	6.485546209e+01	0.242308453	2.613500901e-01	no
73500	6.487609028e+01	0.242234096	2.613045408e-01	no
74000	6.487537044e+01	0.242171989	2.613375524e-01	no
74500	6.485506725e+01	0.242248651	2.612206570e-01	no
75000	6.484332662e+01	0.242204181	2.612658601e-01	no
75500	6.484255345e+01	0.242252111	2.612344852e-01	no
76000	6.484139397e+01	0.242306118	2.612094373e-01	no
76500	6.484071337e+01	0.242361927	2.611801191e-01	no
77000	6.485913022e+01	0.242226239	2.612967828e-01	no
77500	6.485137198e+01	0.242109165	2.613244701e-01	no
78000	6.484712243e+01	0.242136081	2.613046357e-01	no
78500	6.484304849e+01	0.242172475	2.612779805e-01	no
79000	6.485864773e+01	0.242211614	2.612259526e-01	no
79500	6.485740798e+01	0.242200309	2.613034761e-01	no
80000	6.485208171e+01	0.242217079	2.612803429e-01	no
80500	6.485009713e+01	0.242227931	2.612636014e-01	no
81000	6.484860766e+01	0.242254297	2.612480120e-01	no
81500	6.484766673e+01	0.242284275	2.612312709e-01	no
82000	6.484742343e+01	0.242317001	2.612142781e-01	no
82500	6.484803852e+01	0.242349906	2.611987647e-01	no
83000	6.484964188e+01	0.242379897	2.611864688e-01	no
83500	6.485227108e+01	0.242403660	2.611791363e-01	no
84000	6.485596474e+01	0.242418304	2.611782686e-01	no
84500	6.486061656e+01	0.242421159	2.611854940e-01	no
85000	6.485712685e+01	0.242217306	2.612758659e-01	no
85500	6.485001491e+01	0.242307540	2.612176943e-01	no
86000	6.485149960e+01	0.242337592	2.612111781e-01	no
