# Region            : cellZone slabA
# Cells             : 30
# Volume            : 6.972459419800e-09
# Time              	volAverage(p)
225                 	8.273031920683e+03
226                 	8.273031921962e+03
227                 	8.273031924671e+03
228                 	8.273031927370e+03
229                 	8.273031928503e+03
230                 	8.273031927415e+03
231                 	8.273031924807e+03
232                 	8.273031922034e+03
233                 	8.273031920668e+03
234                 	8.273031921357e+03
235                 	8.273031923827e+03
236                 	8.273031926438e+03
237                 	8.273031927966e+03
238                 	8.273031927535e+03
239                 	8.273031925372e+03
240                 	8.273031922789e+03
241                 	8.273031921191e+03
242                 	8.273031921482e+03
243                 	8.273031923271e+03
244                 	8.273031925785e+03
245                 	8.273031927490e+03
246                 	8.273031927467e+03
247                 	8.273031925961e+03
248                 	8.273031923698e+03
249                 	8.273031921998e+03
250                 	8.273031921489e+03
251                 	8.273031922448e+03
252                 	8.273031924519e+03
253                 	8.273031926498e+03
254                 	8.273031927311e+03
255                 	8.273031926784e+03
256                 	8.273031925297e+03
257                 	8.273031923548e+03
258                 	8.273031922156e+03
259                 	8.273031921934e+03
260                 	8.273031922921e+03
261                 	8.273031924508e+03
262                 	8.273031926042e+03
263                 	8.273031926836e+03
264                 	8.273031926455e+03
265                 	8.273031925215e+03
266                 	8.273031923740e+03
267                 	8.273031922808e+03
268                 	8.273031922589e+03
269                 	8.273031923257e+03
270                 	8.273031924412e+03
271                 	8.273031925447e+03
272                 	8.273031925949e+03
273                 	8.273031925733e+03
274                 	8.273031925155e+03
275                 	8.273031924355e+03
276                 	8.273031923643e+03
277                 	8.273031923389e+03
278                 	8.273031923606e+03
279                 	8.273031924064e+03
280                 	8.273031924767e+03
281                 	8.273031925223e+03
282                 	8.273031925471e+03
283                 	8.273031925075e+03
284                 	8.273031924557e+03
285                 	8.273031924084e+03
286                 	8.273031923821e+03
287                 	8.273031923922e+03
288                 	8.273031924166e+03
289                 	8.273031924567e+03
290                 	8.273031924800e+03
291                 	8.273031924971e+03
292                 	8.273031924878e+03
293                 	8.273031924598e+03
294                 	8.273031924374e+03
295                 	8.273031924282e+03
296                 	8.273031924245e+03
297                 	8.273031924194e+03
298                 	8.273031924367e+03
299                 	8.273031924554e+03
300                 	8.273031924735e+03
301                 	8.273031924731e+03
302                 	8.273031924631e+03
303                 	8.273031924480e+03
304                 	8.273031924441e+03
305                 	8.273031924404e+03
306                 	8.273031924392e+03
307                 	8.273031924311e+03
308                 	8.273031924380e+03
309                 	8.273031924592e+03
310                 	8.273031924700e+03
311                 	8.273031924659e+03
312                 	8.273031924496e+03
313                 	8.273031924383e+03
314                 	8.273031924439e+03
315                 	8.273031924497e+03
316                 	8.273031924501e+03
317                 	8.273031924396e+03
318                 	8.273031924448e+03
319                 	8.273031924520e+03
320                 	8.273031924566e+03
321                 	8.273031924554e+03
322                 	8.273031924517e+03
323                 	8.273031924502e+03
324                 	8.273031924425e+03
325                 	8.273031924423e+03
326                 	8.273031924465e+03
327                 	8.273031924508e+03
328                 	8.273031924558e+03
329                 	8.273031924537e+03
330                 	8.273031924504e+03
331                 	8.273031924419e+03
332                 	8.273031924461e+03
333                 	8.273031924520e+03
334                 	8.273031924546e+03
335                 	8.273031924451e+03
336                 	8.273031924464e+03
337                 	8.273031924499e+03
338                 	8.273031924504e+03
339                 	8.273031924520e+03
340                 	8.273031924527e+03
341                 	8.273031924372e+03
342                 	8.273031924477e+03
343                 	8.273031924562e+03
344                 	8.273031924544e+03
345                 	8.273031924487e+03
346                 	8.273031924475e+03
347                 	8.273031924426e+03
348                 	8.273031924447e+03
349                 	8.273031924476e+03
350                 	8.273031924562e+03
351                 	8.273031924601e+03
352                 	8.273031924531e+03
353                 	8.273031924335e+03
354                 	8.273031924422e+03
355                 	8.273031924550e+03
356                 	8.273031924633e+03
357                 	8.273031924496e+03
358                 	8.273031924422e+03
359                 	8.273031924429e+03
360                 	8.273031924523e+03
361                 	8.273031924531e+03
362                 	8.273031924452e+03
363                 	8.273031924433e+03
364                 	8.273031924473e+03
365                 	8.273031924474e+03
366                 	8.273031924553e+03
367                 	8.273031924580e+03
368                 	8.273031924517e+03
369                 	8.273031924437e+03
370                 	8.273031924411e+03
371                 	8.273031924475e+03
372                 	8.273031924551e+03
373                 	8.273031924511e+03
374                 	8.273031924478e+03
375                 	8.273031924487e+03
376                 	8.273031924480e+03
377                 	8.273031924470e+03
378                 	8.273031924477e+03
379                 	8.273031924528e+03
380                 	8.273031924595e+03
381                 	8.273031924480e+03
382                 	8.273031924431e+03
383                 	8.273031924425e+03
384                 	8.273031924501e+03
385                 	8.273031924494e+03
386                 	8.273031924539e+03
387                 	8.273031924532e+03
388                 	8.273031924489e+03
389                 	8.273031924440e+03
390                 	8.273031924418e+03
391                 	8.273031924477e+03
392                 	8.273031924569e+03
393                 	8.273031924518e+03
394                 	8.273031924453e+03
395                 	8.273031924459e+03
396                 	8.273031924465e+03
397                 	8.273031924571e+03
398                 	8.273031924542e+03
399                 	8.273031924447e+03
400                 	8.273031924426e+03
401                 	8.273031924448e+03
402                 	8.273031924515e+03
403                 	8.273031924579e+03
404                 	8.273031924525e+03
405                 	8.273031924457e+03
406                 	8.273031924461e+03
407                 	8.273031924544e+03
408                 	8.273031924488e+03
409                 	8.273031924446e+03
410                 	8.273031924449e+03
411                 	8.273031924464e+03
412                 	8.273031924531e+03
413                 	8.273031924570e+03
414                 	8.273031924447e+03
415                 	8.273031924463e+03
416                 	8.273031924484e+03
417                 	8.273031924482e+03
418                 	8.273031924560e+03
419                 	8.273031924519e+03
420                 	8.273031924452e+03
421                 	8.273031924442e+03
422                 	8.273031924504e+03
423                 	8.273031924570e+03
424                 	8.273031924509e+03
425                 	8.273031924432e+03
426                 	8.273031924430e+03
427                 	8.273031924464e+03
428                 	8.273031924559e+03
429                 	8.273031924560e+03
430                 	8.273031924473e+03
431                 	8.273031924508e+03
432                 	8.273031924471e+03
433                 	8.273031924432e+03
434                 	8.273031924520e+03
435                 	8.273031924529e+03
436                 	8.273031924519e+03
437                 	8.273031924427e+03
438                 	8.273031924479e+03
439                 	8.273031924501e+03
440                 	8.273031924449e+03
441                 	8.273031924468e+03
442                 	8.273031924504e+03
443                 	8.273031924498e+03
444                 	8.273031924546e+03
445                 	8.273031924527e+03
446                 	8.273031924515e+03
447                 	8.273031924485e+03
448                 	8.273031924415e+03
449                 	8.273031924495e+03
450                 	8.273031924562e+03
451                 	8.273031924438e+03
452                 	8.273031924460e+03
453                 	8.273031924508e+03
454                 	8.273031924478e+03
455                 	8.273031924451e+03
456                 	8.273031924562e+03
457                 	8.273031924576e+03
458                 	8.273031924459e+03
459                 	8.273031924413e+03
460                 	8.273031924355e+03
461                 	8.273031924528e+03
462                 	8.273031924636e+03
463                 	8.273031924554e+03
464                 	8.273031924389e+03
465                 	8.273031924444e+03
466                 	8.273031924508e+03
467                 	8.273031924581e+03
468                 	8.273031924500e+03
469                 	8.273031924458e+03
470                 	8.273031924483e+03
471                 	8.273031924500e+03
472                 	8.273031924459e+03
473                 	8.273031924452e+03
474                 	8.273031924476e+03
475                 	8.273031924543e+03
476                 	8.273031924573e+03
477                 	8.273031924486e+03
478                 	8.273031924425e+03
479                 	8.273031924423e+03
480                 	8.273031924497e+03
481                 	8.273031924498e+03
482                 	8.273031924505e+03
483                 	8.273031924569e+03
484                 	8.273031924513e+03
485                 	8.273031924499e+03
486                 	8.273031924437e+03
487                 	8.273031924496e+03
488                 	8.273031924453e+03
489                 	8.273031924517e+03
490                 	8.273031924486e+03
491                 	8.273031924517e+03
492                 	8.273031924447e+03
493                 	8.273031924539e+03
494                 	8.273031924500e+03
495                 	8.273031924476e+03
496                 	8.273031924416e+03
497                 	8.273031924547e+03
498                 	8.273031924477e+03
499                 	8.273031924481e+03
500                 	8.273031924539e+03
501                 	8.273031924511e+03
502                 	8.273031924457e+03
503                 	8.273031924499e+03
504                 	8.273031924479e+03
505                 	8.273031924575e+03
506                 	8.273031924448e+03
507                 	8.273031924445e+03
508                 	8.273031924452e+03
509                 	8.273031924517e+03
510                 	8.273031924492e+03
511                 	8.273031924470e+03
512                 	8.273031924566e+03
513                 	8.273031924466e+03
514                 	8.273031924470e+03
515                 	8.273031924509e+03
516                 	8.273031924481e+03
517                 	8.273031924536e+03
518                 	8.273031924521e+03
519                 	8.273031924464e+03
520                 	8.273031924432e+03
521                 	8.273031924476e+03
522                 	8.273031924537e+03
523                 	8.273031924518e+03
524                 	8.273031924533e+03
525                 	8.273031924445e+03
526                 	8.273031924387e+03
527                 	8.273031924503e+03
528                 	8.273031924586e+03
529                 	8.273031924482e+03
530                 	8.273031924437e+03
531                 	8.273031924521e+03
532                 	8.273031924527e+03
533                 	8.273031924558e+03
534                 	8.273031924469e+03
535                 	8.273031924409e+03
536                 	8.273031924408e+03
537                 	8.273031924547e+03
538                 	8.273031924535e+03
539                 	8.273031924528e+03
540                 	8.273031924472e+03
541                 	8.273031924417e+03
542                 	8.273031924469e+03
543                 	8.273031924535e+03
544                 	8.273031924530e+03
545                 	8.273031924497e+03
546                 	8.273031924435e+03
547                 	8.273031924500e+03
548                 	8.273031924485e+03
549                 	8.273031924544e+03
550                 	8.273031924453e+03
551                 	8.273031924511e+03
552                 	8.273031924489e+03
553                 	8.273031924504e+03
554                 	8.273031924488e+03
555                 	8.273031924486e+03
556                 	8.273031924458e+03
557                 	8.273031924492e+03
558                 	8.273031924488e+03
559                 	8.273031924563e+03
560                 	8.273031924566e+03
561                 	8.273031924449e+03
562                 	8.273031924407e+03
563                 	8.273031924442e+03
564                 	8.273031924465e+03
565                 	8.273031924592e+03
566                 	8.273031924537e+03
567                 	8.273031924448e+03
568                 	8.273031924449e+03
569                 	8.273031924498e+03
570                 	8.273031924536e+03
571                 	8.273031924598e+03
572                 	8.273031924453e+03
573                 	8.273031924377e+03
574                 	8.273031924438e+03
575                 	8.273031924492e+03
576                 	8.273031924556e+03
577                 	8.273031924600e+03
578                 	8.273031924515e+03
579                 	8.273031924379e+03
580                 	8.273031924454e+03
581                 	8.273031924464e+03
582                 	8.273031924571e+03
583                 	8.273031924550e+03
584                 	8.273031924410e+03
585                 	8.273031924444e+03
586                 	8.273031924488e+03
587                 	8.273031924521e+03
588                 	8.273031924623e+03
589                 	8.273031924493e+03
590                 	8.273031924433e+03
