iteration,cl04,cl05,cl06
1,0.04149474794584877,0.04163178866201665,0.04176009724357063
100,0.03416928439500355,0.03865578483218883,0.04468836333971073
200,0.03047395792299776,0.03167329624514803,0.03413386209689832
300,0.01849141392320059,0.02237769845913154,0.02917825731265832
400,0.01626523203314643,0.02091827259801085,0.02824220324691763
500,0.01609804024322612,0.02083375701339105,0.02820195238572952
600,0.01615604956675185,0.02088642004250247,0.02823120043076387
700,0.01617600281593249,0.02090267985220649,0.02823841391543716
800,0.01617547222666126,0.02090190327118982,0.02823600332749279
900,0.01617407604313099,0.02090166984427961,0.02823559890542587
1000,0.0161739646798416,0.02090145088311482,0.02823560097276063
1100,0.01617434287393722,0.0209017799380633,0.02823641730583462
1200,0.01617438674444003,0.02090240094582826,0.02823599563794524
1300,0.01617399730757247,0.02090245421683634,0.02823610412760919
1400,0.01617391803687024,0.02090227896579999,0.02823577384839292
1500,0.01617390093115693,0.02090182841115321,0.02823528618217067
1600,0.01617388299326735,0.02090164432352107,0.02823573593472333
1700,0.0161738923948766,0.02090163148650959,0.02823502849911344
1800,0.01617388436116673,0.0209014310935568,0.02823599615398567
1900,0.01617388793088536,0.02090149644480973,0.02823558739587804
2000,0.01617388740918237,0.0209015054167419,0.02823597833256625
