iteration,cl04,cl05,cl06
1,0.01017252281316719,0.009638645279748725,0.009107401954464717
100,0.2596088215415425,0.340537836812533,0.4185601376948707
200,0.3220536797872936,0.406174921735307,0.4986488176387062
300,0.3857654606784003,0.4814822446668111,0.5804804234011516
400,0.3989601907248509,0.49840843734747,0.598132698010517
500,0.4003350228715139,0.5003802686147952,0.6003552684228659
600,0.400140203164982,0.5001819866716506,0.6001695904604566
700,0.4000134835079491,0.500025680539895,0.6000090749252145
800,0.399997149806113,0.4999983069183598,0.5999866263858311
900,0.4000010615337645,0.5000022943588294,0.5999947723004848
1000,0.4000016686677597,0.5000008908995595,0.5999960633404063
1100,0.4000043785718207,0.5000005396551789,0.5999951020038495
1200,0.4000126985029576,0.5000125603972391,0.5999950380395032
1300,0.4000064193348885,0.500017100049122,0.5999951541910741
1400,0.4000024859045693,0.5000126275411436,0.5999952395755814
1500,0.4000012190282907,0.5000064907110596,0.5999953659136883
1600,0.4000006941622491,0.5000028805690366,0.5999952671144169
1700,0.4000006098065584,0.5000013475162141,0.599995310723425
1800,0.4000006099719826,0.5000006863773332,0.59999521660222
1900,0.400000572814612,0.5000004038120234,0.5999953524632369
2000,0.400000565176747,0.5000003589426313,0.5999953648207553
