R2-M1 WRITER REHEARSAL -- 2026-09-06T16:22:57Z
# 125-cell box, 1 rank, 3 steps. NOT the DPW5 grid. A WRITER TEST ONLY.
# seed dictionaries: /home/ubuntu/Certonomous/verification/runs/RUNG2_CRM_runs/M0_compressible_admission/A0
arm	rc	wall_ms	steps_completed	W1_T	W1_p	W1_rho	W1_magU	W2_intrastep	W1_verdict	W2_verdict
B0	0	64	3	3	3	3	3	3	PASS	PASS
B1	0	62	3	3	3	3	3	3	PASS	PASS
B2	0	63	3	3	3	3	3	3	PASS	PASS
B3	0	63	3	3	3	3	3	3	PASS	PASS
B4	0	79	3	3	3	3	3	3	PASS	PASS
B5	0	61	3	3	3	3	3	3	PASS	PASS
B6	0	79	3	3	3	3	3	3	PASS	PASS

# PLANTED CONTROLS (rule 3) -- per arm, both directions, same reader functions
arm	W1_live	W1_after_removal	W1_after_restore	W2_live	W2_after_scrub	W2_after_restore	DISCRIMINATES
B0	3	0	3	3	0	3	DISCRIMINATES
B1	3	0	3	3	0	3	DISCRIMINATES
B2	3	0	3	3	0	3	DISCRIMINATES
B3	3	0	3	3	0	3	DISCRIMINATES
B4	3	0	3	3	0	3	DISCRIMINATES
B5	3	0	3	3	0	3	DISCRIMINATES
B6	3	0	3	3	0	3	DISCRIMINATES

# COST, MEASURED (rule 12)
total_solver_wall_ms	471
ranks	1
core_min_MEASURED	0.007850
cost_basis	on-box-owner-stated, c7a.4xlarge $0.0513/core-h; DOLLARS DERIVED NOT MEASURED

REHEARSAL VERDICT: all planted controls DISCRIMINATE; per-arm writer verdicts above.
