# T_lo_c: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 19.6 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
52000	2.730164890e+01	0.228163546	1.876424060e-01	no
52500	2.730164887e+01	0.228163624	1.876423752e-01	no
53000	2.730164893e+01	0.228163391	1.876423529e-01	no
53500	2.730164890e+01	0.228163435	1.876423721e-01	no
54000	2.730164892e+01	0.228163664	1.876423950e-01	no
54500	2.730164886e+01	0.228163538	1.876423856e-01	no
55000	2.730164891e+01	0.228163291	1.876423576e-01	no
55500	2.730164890e+01	0.228163486	1.876423545e-01	no
56000	2.730164894e+01	0.228163686	1.876423743e-01	no
56500	2.730164891e+01	0.228163470	1.876423844e-01	no
57000	2.730164895e+01	0.228163369	1.876423739e-01	no
57500	2.730164890e+01	0.228163589	1.876423531e-01	no
58000	2.730164890e+01	0.228163567	1.876423535e-01	no
58500	2.730164887e+01	0.228163335	1.876423721e-01	no
59000	2.730164895e+01	0.228163503	1.876423787e-01	no
59500	2.730164895e+01	0.228163753	1.876423627e-01	no
59600	2.730164888e+01	0.228163655	1.876424007e-01	yes
59650	2.730164891e+01	0.228163763	1.876423592e-01	yes
59700	2.730164891e+01	0.228163612	1.876423523e-01	yes
59750	2.730164889e+01	0.228163643	1.876423917e-01	yes
59800	2.730164889e+01	0.228163677	1.876423588e-01	yes
59850	2.730164886e+01	0.228163558	1.876423541e-01	yes
59900	2.730164886e+01	0.228163595	1.876423872e-01	yes
59950	2.730164890e+01	0.228163539	1.876423617e-01	yes
60000	2.730164890e+01	0.228163517	1.876423632e-01	yes
