time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
5.47	10.97	0.27021	0.41201
5.475	11.12	0.11048	0.22757
5.48	11.186	0.3157	0.46453
5.485	11.163	0.5857	0.77631
5.49	11.068	0.75159	0.96786
5.495	10.914	0.54507	0.72939
5.5	10.813	0.30512	0.45232
5.505	10.823	0.19786	0.32847
5.51	10.823	0.5368	0.71984
5.515	10.855	0.49914	0.67636
5.52	10.825	0.41515	0.57938
5.525	10.82	0.43158	0.59835
5.53	10.963	0.54937	0.73436
5.535	11.143	0.64651	0.84652
5.54	11.085	0.61893	0.81468
5.545	11	0.81102	1.0365
5.55	11.135	0.77729	0.99754
5.555	11.165	0.69864	0.90672
5.56	11.164	0.94288	1.1887
5.565	11.464	0.96198	1.2108
5.57	11.576	0.79366	1.0164
5.575	11.453	0.87804	1.1139
5.58	11.28	1.0136	1.2704
5.585	10.892	0.51841	0.69861
5.59	10.596	0.50875	0.68745
5.595	10.74	0.57285	0.76147
5.6	10.83	0.45735	0.62811
5.605	10.816	0.32424	0.4744
5.61	10.906	0.3538	0.50853
5.615	10.953	0.46605	0.63815
5.62	10.808	0.42411	0.58972
5.625	10.649	0.31701	0.46605
5.63	10.598	0.33864	0.49103
5.635	10.579	0.4687	0.64121
5.64	10.447	0.64699	0.84708
5.645	10.297	0.89191	1.1299
5.65	10.08	1.0885	1.3569
5.655	9.9603	1.3199	1.6241
5.66	9.9239	1.5213	1.8566
5.665	9.9378	1.653	2.0087
5.67	9.867	1.8877	2.2798
5.675	9.0798	2.2608	2.7105
5.68	8.1636	2.6626	3.1745
5.685	7.4595	2.6723	3.1857
5.69	6.7388	2.8069	3.3411
5.695	5.9907	3.1097	3.6908
5.7	4.6995	3.4384	4.0703
5.705	3.2541	3.4553	4.0899
5.71	2.5437	2.9469	3.5028
5.715	1.9863	2.4151	2.8888
5.72	1.0554	1.3625	1.6733
5.725	0.17372	0.34745	0.5012
5.73	0	0	0.1
5.735	0	0	0.1
5.74	0	0	0.1
5.745	0	0	0.1
5.75	0	0	0.1
5.755	0	0	0.1
5.76	0	0	0.1
5.765	0	0	0.1
5.77	0	0	0.1
5.775	0	0	0.1
5.78	0	0	0.1
5.785	0	0	0.1
5.79	0	0	0.1
5.795	0	0	0.1
5.8	0	0	0.1
5.805	0	0	0.1
5.81	0	0	0.1
5.815	0	0	0.1
5.82	0	0	0.1
5.825	0	0	0.1
5.83	0	0	0.1
5.835	0	0	0.1
5.84	0	0	0.1
5.845	0	0	0.1
5.85	0	0	0.1
5.855	0	0	0.1
5.86	0	0	0.1
5.865	0	0	0.1
5.87	0	0	0.1
5.875	0	0	0.1
5.88	0	0	0.1
5.885	0	0	0.1
5.89	0	0	0.1
5.895	0	0	0.1
5.9	0	0	0.1
5.905	0	0	0.1
5.91	0	0	0.1
5.915	0	0	0.1
5.92	0	0	0.1
5.925	0	0	0.1
5.93	0	0	0.1
5.935	0	0	0.1
5.94	0	0	0.1
5.945	0	0	0.1
5.95	0	0	0.1
5.955	0	0	0.1
5.96	0	0	0.1
5.965	0	0	0.1
5.97	0	0	0.1
5.975	0	0	0.1
5.98	0	0	0.1
5.985	0	0	0.1
5.99	0	0	0.1
5.995	0	0	0.1
6	0	0	0.1
6.005	0	0	0.1
6.01	0	0	0.1
6.015	0	0	0.1
6.02	0	0	0.1
6.025	0	0	0.1
6.03	0	0	0.1
6.035	0	0	0.1
6.04	0	0	0.1
6.045	0	0	0.1
6.05	0	0	0.1
6.055	0	0	0.1
6.06	0	0	0.1
6.065	0	0	0.1
6.07	0	0	0.1
6.075	0	0	0.1
6.08	0	0	0.1
6.085	0	0	0.1
6.09	0	0	0.1
6.095	0	0	0.1
6.1	0	0	0.1
6.105	0	0	0.1
6.11	0	0	0.1
6.115	0	0	0.1
6.12	0	0	0.1
6.125	0	0	0.1
6.13	0	0	0.1
6.135	0	0	0.1
6.14	0	0	0.1
6.145	0	0	0.1
6.15	0	0	0.1
6.155	0	0	0.1
6.16	0	0	0.1
6.165	0	0	0.1
6.17	0	0	0.1
6.175	0	0	0.1
6.18	0	0	0.1
6.185	0	0	0.1
6.19	0	0	0.1
6.195	0	0	0.1
6.2	0	0	0.1
6.205	0	0	0.1
6.21	0	0	0.1
6.215	0	0	0.1
6.22	0	0	0.1
6.225	0	0	0.1
6.23	0	0	0.1
6.235	0	0	0.1
6.24	0	0	0.1
6.245	0	0	0.1
6.25	0	0	0.1
6.255	0	0	0.1
6.26	0	0	0.1
6.265	0	0	0.1
6.27	0	0	0.1
6.275	0	0	0.1
6.28	0	0	0.1
6.285	0	0	0.1
6.29	0	0	0.1
6.295	0	0	0.1
6.3	0	0	0.1
