time ASI [ms]	maximum vapor penetration [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
5.18	78.142	2.7314	3.154
5.185	78.206	2.7389	3.1627
5.19	78.295	2.7392	3.163
5.195	78.384	2.7396	3.1635
5.2	78.471	2.74	3.1639
5.205	78.535	2.7416	3.1657
5.21	78.524	2.7005	3.1182
5.215	78.499	2.6423	3.051
5.22	78.455	2.6125	3.0166
5.225	78.41	2.5833	2.983
5.23	78.44	2.6002	3.0025
5.235	78.507	2.6707	3.0839
5.24	78.59	2.7218	3.1428
5.245	78.691	2.7639	3.1915
5.25	78.765	2.7709	3.1996
5.255	78.789	2.7012	3.1191
5.26	78.801	2.6465	3.0559
5.265	78.802	2.6079	3.0113
5.27	78.804	2.5707	2.9684
5.275	78.825	2.5709	2.9686
5.28	78.847	2.5741	2.9724
5.285	78.868	2.5778	2.9766
5.29	78.869	2.5771	2.9758
5.295	78.908	2.5935	2.9947
5.3	78.953	2.621	3.0264
5.305	78.998	2.6492	3.059
5.31	79.043	2.6781	3.0924
5.315	79.069	2.7164	3.1366
5.32	79.091	2.7564	3.1828
5.325	79.114	2.7966	3.2292
5.33	79.147	2.8375	3.2765
5.335	79.184	2.8658	3.3091
5.34	79.207	2.8681	3.3118
5.345	79.24	2.856	3.2978
5.35	79.285	2.8285	3.2661
5.355	79.33	2.8017	3.2352
5.36	79.375	2.7757	3.2051
5.365	79.413	2.7591	3.1859
5.37	79.434	2.7644	3.1921
5.375	79.434	2.7644	3.1921
5.38	79.45	2.7932	3.2253
5.385	79.475	2.8297	3.2675
5.39	79.519	2.8404	3.2798
5.395	79.578	2.8552	3.2969
5.4	79.639	2.8161	3.2517
5.405	79.683	2.7389	3.1626
5.41	79.743	2.6408	3.0493
5.415	79.778	2.5239	2.9143
5.42	79.786	2.45	2.829
5.425	79.829	2.4679	2.8497
5.43	79.839	2.5338	2.9258
5.435	79.839	2.6415	3.0501
5.44	79.924	2.7323	3.155
5.445	79.992	2.7368	3.1602
5.45	80.064	2.7343	3.1573
5.455	80.15	2.7151	3.1351
5.46	80.212	2.6974	3.1147
5.465	80.233	2.7005	3.1183
5.47	80.256	2.7016	3.1195
5.475	80.299	2.6754	3.0893
5.48	80.343	2.65	3.06
5.485	80.399	2.6464	3.0558
5.49	80.465	2.6612	3.0729
5.495	80.517	2.6968	3.114
5.5	80.551	2.7388	3.1625
5.505	80.573	2.7426	3.1669
5.51	80.574	2.6922	3.1087
5.515	80.575	2.6428	3.0517
5.52	80.57	2.5927	2.9938
5.525	80.538	2.5444	2.938
5.53	80.515	2.5369	2.9294
5.535	80.492	2.5325	2.9242
5.54	80.477	2.5298	2.9212
5.545	80.541	2.5432	2.9366
5.55	80.688	2.7015	3.1195
5.555	80.865	2.9108	3.3611
5.56	81.042	3.1213	3.6042
5.565	81.175	3.3192	3.8327
5.57	81.209	3.3337	3.8494
5.575	81.164	3.2052	3.7011
5.58	81.135	3.0567	3.5296
5.585	81.112	2.8995	3.3481
5.59	81.127	2.8369	3.2757
5.595	81.235	2.9479	3.4039
5.6	81.344	3.0634	3.5374
5.605	81.464	3.1855	3.6783
5.61	81.627	3.3096	3.8216
5.615	81.721	3.2846	3.7927
5.62	81.804	3.2605	3.7649
5.625	81.87	3.26	3.7643
5.63	81.933	3.2618	3.7664
5.635	81.976	3.2785	3.7857
5.64	82.019	3.2974	3.8076
5.645	82.062	3.3184	3.8318
5.65	82.075	3.3256	3.8401
5.655	82.075	3.3256	3.8401
5.66	82.075	3.3256	3.8401
5.665	82.075	3.3256	3.8401
5.67	82.065	3.32	3.8336
5.675	82.064	3.3106	3.8227
5.68	82.086	3.3206	3.8343
5.685	82.118	3.317	3.8302
5.69	82.168	3.3012	3.8119
5.695	82.224	3.2981	3.8083
5.7	82.248	3.2686	3.7742
5.705	82.271	3.2371	3.7379
5.71	82.293	3.2061	3.7021
5.715	82.312	3.1779	3.6695
5.72	82.267	3.1956	3.69
5.725	82.22	3.2232	3.7218
5.73	82.152	3.2818	3.7894
5.735	82.1	3.3506	3.8689
5.74	82.202	3.3165	3.8296
5.745	82.337	3.2852	3.7934
5.75	82.472	3.261	3.7654
5.755	82.607	3.2441	3.7459
5.76	82.66	3.2326	3.7327
5.765	82.64	3.1698	3.6602
5.77	82.63	3.0938	3.5724
5.775	82.632	3.0035	3.4682
5.78	82.644	2.909	3.359
5.785	82.75	2.9366	3.3909
5.79	82.861	2.9727	3.4325
5.795	82.971	3.0081	3.4734
5.8	83.058	3.0344	3.5039
5.805	83.109	3.049	3.5206
5.81	83.154	3.055	3.5276
5.815	83.198	3.0632	3.537
5.82	83.242	3.0721	3.5474
5.825	83.281	3.0262	3.4943
5.83	83.302	2.943	3.3982
5.835	83.293	2.9008	3.3496
5.84	83.282	2.8838	3.3299
5.845	83.275	2.8966	3.3448
5.85	83.275	2.9401	3.395
5.855	83.286	2.9686	3.4278
5.86	83.302	2.9773	3.4379
5.865	83.302	2.9773	3.4379
5.87	83.323	3.0104	3.4761
5.875	83.352	3.0364	3.5062
5.88	83.4	3.0414	3.512
5.885	83.488	3.0673	3.5418
5.89	83.559	3.0683	3.543
5.895	83.623	3.0651	3.5392
5.9	83.665	3.0929	3.5713
5.905	83.694	3.1129	3.5945
5.91	83.748	3.1321	3.6166
5.915	83.816	3.1645	3.654
5.92	83.883	3.1972	3.6918
5.925	83.929	3.2148	3.7121
5.93	83.936	3.1952	3.6895
5.935	83.915	3.1337	3.6185
5.94	83.894	3.0733	3.5487
5.945	83.878	3.0179	3.4848
5.95	83.869	2.9792	3.4401
5.955	83.889	3.0087	3.4741
5.96	83.911	3.0423	3.513
5.965	83.934	3.0762	3.5521
5.97	83.958	3.1097	3.5908
5.975	83.969	3.081	3.5576
5.98	83.969	3.0354	3.505
5.985	83.969	2.9909	3.4536
5.99	83.985	2.9568	3.4142
5.995	83.866	2.7701	3.1986
6	83.642	2.4907	2.876
6.005	83.433	2.2652	2.6157
6.01	83.22	2.1167	2.4441
6.015	83.174	2.0644	2.3837
6.02	83.475	2.138	2.4688
6.025	83.798	2.3023	2.6585
6.03	84.151	2.538	2.9307
6.035	84.519	2.8604	3.3029
6.04	84.626	2.8042	3.238
6.045	84.696	2.7515	3.1772
6.05	84.719	2.7655	3.1934
6.055	84.74	2.7795	3.2095
6.06	84.761	2.7941	3.2264
6.065	84.779	2.8145	3.2499
6.07	84.758	2.8901	3.3372
6.075	84.752	2.9803	3.4413
6.08	84.798	3.0989	3.5783
6.085	84.867	3.2463	3.7485
6.09	84.997	3.3033	3.8143
6.095	85.133	3.3012	3.8119
6.1	85.215	3.2706	3.7765
6.105	85.26	3.2052	3.7011
6.11	85.283	3.1722	3.6629
6.115	85.289	3.1772	3.6687
6.12	85.312	3.1954	3.6898
6.125	85.313	3.185	3.6778
6.13	85.313	3.1744	3.6655
6.135	85.311	3.1637	3.6531
6.14	85.29	3.1335	3.6182
6.145	85.323	3.1296	3.6138
6.15	85.372	3.1361	3.6212
6.155	85.46	3.0856	3.5629
6.16	85.548	3.0358	3.5055
6.165	85.623	2.9702	3.4297
6.17	85.689	2.8907	3.3379
6.175	85.724	2.8535	3.2949
6.18	85.736	2.827	3.2643
6.185	85.707	2.8139	3.2493
6.19	85.662	2.8134	3.2487
6.195	85.639	2.7832	3.2137
6.2	85.645	2.7289	3.151
6.205	85.697	2.6627	3.0747
6.21	85.827	2.6287	3.0353
6.215	85.947	2.618	3.023
6.22	86.035	2.652	3.0622
6.225	86.119	2.6923	3.1088
6.23	86.108	2.7293	3.1516
6.235	86.086	2.748	3.1732
6.24	86.063	2.7673	3.1954
6.245	86.056	2.7956	3.2281
6.25	86.157	2.7994	3.2325
6.255	86.292	2.8293	3.267
6.26	86.442	2.8418	3.2815
6.265	86.589	2.8425	3.2822
6.27	86.657	2.8322	3.2703
6.275	86.658	2.765	3.1928
6.28	86.637	2.729	3.1512
6.285	86.612	2.7354	3.1585
6.29	86.616	2.7847	3.2155
6.295	86.595	2.8595	3.3019
6.3	86.581	2.9361	3.3903
