# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 4.00000000e+01
# lRef          : 1.04400000e+00
# Aref          : 4.01696000e-01
# CofR          : (5.22000000e-01 0.00000000e+00 1.44000000e-01)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
25              	3.97017834e-02	1.98028054e-02	1.98989780e-02	3.60583924e-04	5.63591789e-04	-2.03007865e-04	3.83299827e-04	-4.80863006e-05	-4.56841307e-04	-7.72457051e-04	-8.43069832e-04	7.06127811e-05
26              	3.92897260e-02	1.95969829e-02	1.96927431e-02	-1.47957738e-03	-7.51605163e-05	-1.40441686e-03	6.64628173e-04	-4.78801057e-05	-3.64497641e-04	-5.72252864e-04	-6.50624073e-04	7.83712095e-05
27              	3.88116133e-02	1.93507233e-02	1.94608900e-02	-1.97490827e-03	-3.73387664e-04	-1.60152060e-03	6.14066469e-04	-5.50833394e-05	-2.85437334e-04	-3.27906303e-04	-4.49390486e-04	1.21484182e-04
28              	3.79459473e-02	1.89093801e-02	1.90365672e-02	-4.80271571e-04	-9.53753773e-05	-3.84896193e-04	1.44760408e-04	-6.35935883e-05	-2.30313629e-04	-1.23858012e-04	-2.92242635e-04	1.68384623e-04
29              	3.68298038e-02	1.83472815e-02	1.84825223e-02	2.80220198e-03	7.46471643e-04	2.05573034e-03	-6.54629348e-04	-6.76203757e-05	-2.04191801e-04	-5.80549446e-05	-2.33219273e-04	1.75164328e-04
30              	3.57276146e-02	1.78014873e-02	1.79261273e-02	7.35211127e-03	2.00613745e-03	5.34597382e-03	-1.66991819e-03	-6.23200054e-05	-2.11618271e-04	-1.68786138e-04	-2.96011340e-04	1.27225202e-04
31              	3.48942673e-02	1.74004024e-02	1.74938649e-02	1.24227669e-02	3.46857857e-03	8.95418834e-03	-2.74280488e-03	-4.67312739e-05	-2.54456585e-04	-4.28955521e-04	-4.68934345e-04	3.99788246e-05
32              	3.45157185e-02	1.72378240e-02	1.72778945e-02	1.72214635e-02	4.90689232e-03	1.23145711e-02	-3.70383941e-03	-2.00352246e-05	-3.18656626e-04	-7.58423310e-04	-6.97868281e-04	-6.05550294e-05
33              	3.47024443e-02	1.73624630e-02	1.73399812e-02	2.11863136e-02	6.14363279e-03	1.50426808e-02	-4.44952399e-03	1.12408956e-05	-3.86328537e-04	-1.07299164e-03	-9.22824355e-04	-1.50167281e-04
34              	3.54490812e-02	1.77566796e-02	1.76924016e-02	2.41588573e-02	7.10845548e-03	1.70504018e-02	-4.97097315e-03	3.21390384e-05	-4.37010944e-04	-1.31555834e-03	-1.09479011e-03	-2.20768227e-04
35              	3.68866642e-02	1.84789751e-02	1.84076891e-02	2.63804897e-02	7.83918076e-03	1.85413090e-02	-5.35106412e-03	3.56429791e-05	-4.50855743e-04	-1.41385353e-03	-1.15778251e-03	-2.56071024e-04
36              	3.82764928e-02	1.91591713e-02	1.91173215e-02	2.77497166e-02	8.35298472e-03	1.93967319e-02	-5.52187358e-03	2.09248649e-05	-4.26288912e-04	-1.36593268e-03	-1.10925525e-03	-2.56677429e-04
37              	3.93287271e-02	1.96543824e-02	1.96743447e-02	2.87069178e-02	8.75979777e-03	1.99471200e-02	-5.59366113e-03	-9.98113469e-06	-3.68796301e-04	-1.20806049e-03	-9.72826545e-04	-2.35233944e-04
38              	4.00372387e-02	1.99676977e-02	2.00695410e-02	2.98106326e-02	9.17221555e-03	2.06384170e-02	-5.73310075e-03	-5.09216433e-05	-2.93448708e-04	-9.87483042e-04	-7.87190229e-04	-2.00292813e-04
39              	4.05250431e-02	2.01672989e-02	2.03577442e-02	3.16116851e-02	9.69770237e-03	2.19139827e-02	-6.10814019e-03	-9.52226602e-05	-2.18973732e-04	-7.65140646e-04	-6.01544055e-04	-1.63596591e-04
40              	4.10994013e-02	2.04108300e-02	2.06885713e-02	3.44346726e-02	1.03750298e-02	2.40596428e-02	-6.84230650e-03	-1.38870625e-04	-1.69179870e-04	-6.10899860e-04	-4.74629800e-04	-1.36270060e-04
41              	4.19980391e-02	2.08317868e-02	2.11662522e-02	3.84392298e-02	1.12426817e-02	2.71965481e-02	-7.97693320e-03	-1.67232698e-04	-1.47494348e-04	-5.38875602e-04	-4.16932149e-04	-1.21943453e-04
42              	4.32610203e-02	2.14560702e-02	2.18049501e-02	4.34179036e-02	1.22840286e-02	3.11338750e-02	-9.42492317e-03	-1.74439961e-04	-1.41035548e-04	-5.18127118e-04	-4.00099106e-04	-1.18028011e-04
43              	4.47511878e-02	2.22127820e-02	2.25384059e-02	4.88218733e-02	1.34182951e-02	3.54035782e-02	-1.09926415e-02	-1.62811951e-04	-1.30952886e-04	-4.92624885e-04	-3.77265328e-04	-1.15359557e-04
44              	4.64265772e-02	2.30663109e-02	2.33602663e-02	5.39021696e-02	1.45111569e-02	3.93910127e-02	-1.24399279e-02	-1.46977703e-04	-1.08232672e-04	-4.36885492e-04	-3.26675418e-04	-1.10210074e-04
45              	4.81807091e-02	2.39525857e-02	2.42281234e-02	5.78941923e-02	1.54135849e-02	4.24806074e-02	-1.35335113e-02	-1.37768816e-04	-7.90954530e-05	-3.71625871e-04	-2.64908389e-04	-1.06717483e-04
46              	4.99448659e-02	2.48336728e-02	2.51111931e-02	6.03474542e-02	1.60301310e-02	4.43173232e-02	-1.41435961e-02	-1.38760164e-04	-5.49505369e-05	-3.22656925e-04	-2.16279000e-04	-1.06377926e-04
47              	5.16453559e-02	2.56747564e-02	2.59705995e-02	6.11667493e-02	1.63297877e-02	4.48369616e-02	-1.42535870e-02	-1.47921563e-04	-4.04462393e-05	-3.01930101e-04	-1.91411290e-04	-1.10518811e-04
48              	5.32033595e-02	2.64411461e-02	2.67622134e-02	6.06639738e-02	1.63615502e-02	4.43024236e-02	-1.39704367e-02	-1.60533659e-04	-3.78728019e-05	-3.10906232e-04	-1.93325918e-04	-1.17580314e-04
49              	5.45719748e-02	2.71155750e-02	2.74563999e-02	5.94017359e-02	1.62255447e-02	4.31761912e-02	-1.34753233e-02	-1.70412441e-04	-4.61211185e-05	-3.40564037e-04	-2.16403137e-04	-1.24160900e-04
50              	5.57354933e-02	2.76964664e-02	2.80390269e-02	5.80213474e-02	1.60405758e-02	4.19807716e-02	-1.29700979e-02	-1.71280296e-04	-5.85431197e-05	-3.70036372e-04	-2.43561306e-04	-1.26475066e-04
51              	5.67264118e-02	2.82020370e-02	2.85243748e-02	5.70388772e-02	1.59123493e-02	4.11265279e-02	-1.26070893e-02	-1.61168881e-04	-6.63789886e-05	-3.81967997e-04	-2.57362987e-04	-1.24605010e-04
52              	5.76063172e-02	2.86625241e-02	2.89437932e-02	5.68164793e-02	1.59210403e-02	4.08954390e-02	-1.24871994e-02	-1.40634540e-04	-6.66262923e-05	-3.72179418e-04	-2.52716001e-04	-1.19463416e-04
53              	5.84003409e-02	2.90875211e-02	2.93128198e-02	5.75029020e-02	1.61064488e-02	4.13964532e-02	-1.26450022e-02	-1.12649355e-04	-6.05394443e-05	-3.45533597e-04	-2.33306243e-04	-1.12227354e-04
54              	5.90949083e-02	2.94659276e-02	2.96289807e-02	5.90984734e-02	1.64826567e-02	4.26158167e-02	-1.30665800e-02	-8.15265147e-05	-5.10592375e-05	-3.05816696e-04	-2.03967585e-04	-1.01849110e-04
55              	5.96568769e-02	2.97750991e-02	2.98817778e-02	6.14748112e-02	1.70389425e-02	4.44358686e-02	-1.36984630e-02	-5.33393435e-05	-3.83477671e-05	-2.50433981e-04	-1.63564758e-04	-8.68692236e-05
56              	6.00498957e-02	2.99908403e-02	3.00590554e-02	6.44495080e-02	1.77499706e-02	4.66995374e-02	-1.44747834e-02	-3.41075171e-05	-2.18913487e-05	-1.77451847e-04	-1.10617272e-04	-6.68345748e-05
57              	6.02412379e-02	3.00923676e-02	3.01488703e-02	6.78218007e-02	1.85794212e-02	4.92423796e-02	-1.53314792e-02	-2.82513417e-05	-1.12692070e-06	-9.15028169e-05	-4.68783292e-05	-4.46244878e-05
58              	6.02575259e-02	3.00915434e-02	3.01659825e-02	7.14022501e-02	1.94824985e-02	5.19197516e-02	-1.62186266e-02	-3.72195174e-05	2.31607346e-05	-6.66821920e-06	1.98266250e-05	-2.64948442e-05
59              	6.02015200e-02	3.00410705e-02	3.01604494e-02	7.50850413e-02	2.04318452e-02	5.46531961e-02	-1.71106755e-02	-5.96894507e-05	4.72043883e-05	5.77425857e-05	7.60756812e-05	-1.83330955e-05
60              	6.01587977e-02	2.99880779e-02	3.01707198e-02	7.86932580e-02	2.13772498e-02	5.73160082e-02	-1.79693792e-02	-9.13209341e-05	6.66791504e-05	8.73442407e-05	1.10351271e-04	-2.30070301e-05
61              	6.02191599e-02	2.99834865e-02	3.02356734e-02	8.21538418e-02	2.22970683e-02	5.98567735e-02	-1.87798526e-02	-1.26093460e-04	7.79022704e-05	7.39599502e-05	1.14882245e-04	-4.09222952e-05
62              	6.04178868e-02	3.00516710e-02	3.03662159e-02	8.54103525e-02	2.31750685e-02	6.22352841e-02	-1.95301078e-02	-1.57272439e-04	7.88430218e-05	1.79759492e-05	8.78309964e-05	-6.98550472e-05
63              	6.07626344e-02	3.02023234e-02	3.05603110e-02	8.84672513e-02	2.40096354e-02	6.44576159e-02	-2.02239903e-02	-1.78993796e-04	6.90071610e-05	-7.60139735e-05	3.10001743e-05	-1.07014148e-04
64              	6.12324642e-02	3.04287771e-02	3.08036871e-02	9.13701002e-02	2.48075627e-02	6.65625376e-02	-2.08774875e-02	-1.87454980e-04	5.00782431e-05	-1.96640517e-04	-4.82420155e-05	-1.48398502e-04
65              	6.17924139e-02	3.07150263e-02	3.10773877e-02	9.42037838e-02	2.55847053e-02	6.86190785e-02	-2.15171866e-02	-1.81180704e-04	2.44073347e-05	-3.30520345e-04	-1.40852838e-04	-1.89667507e-04
66              	6.23994888e-02	3.10389267e-02	3.13605621e-02	9.70601117e-02	2.63602908e-02	7.06998208e-02	-2.21697650e-02	-1.60817695e-04	-4.81961531e-06	-4.61319883e-04	-2.35479557e-04	-2.25840326e-04
67              	6.30090875e-02	3.13757998e-02	3.16332876e-02	1.00006372e-01	2.71503584e-02	7.28560138e-02	-2.28528277e-02	-1.28743902e-04	-3.45098875e-05	-5.73118348e-04	-3.21069061e-04	-2.52049286e-04
68              	6.34095046e-02	3.16146835e-02	3.17948211e-02	1.02907216e-01	2.79372532e-02	7.49699625e-02	-2.35163547e-02	-9.00687598e-05	-6.06048315e-05	-6.50598259e-04	-3.85903961e-04	-2.64694298e-04
69              	6.38183136e-02	3.18608526e-02	3.19574610e-02	1.05927360e-01	2.87424612e-02	7.71848986e-02	-2.42212187e-02	-4.83041631e-05	-8.13296114e-05	-6.83126084e-04	-4.22892653e-04	-2.60233430e-04
70              	6.42283878e-02	3.21059108e-02	3.21224770e-02	1.08988959e-01	2.95527431e-02	7.94362156e-02	-2.49417362e-02	-8.28313522e-06	-9.24876660e-05	-6.60864109e-04	-4.22919720e-04	-2.37944388e-04
71              	6.46311848e-02	3.23401246e-02	3.22910602e-02	1.11990408e-01	3.03495633e-02	8.16408446e-02	-2.56456407e-02	2.45321734e-05	-9.14632521e-05	-5.82271859e-04	-3.82599182e-04	-1.99672677e-04
72              	6.50328727e-02	3.25631698e-02	3.24697030e-02	1.14830472e-01	3.11123994e-02	8.37180721e-02	-2.63028364e-02	4.67333977e-05	-7.79795475e-05	-4.54496730e-04	-3.05227913e-04	-1.49268818e-04
73              	6.54397728e-02	3.27767859e-02	3.26629869e-02	1.17424586e-01	3.18224365e-02	8.56021492e-02	-2.68898563e-02	5.68994872e-05	-5.37409703e-05	-2.91666517e-04	-1.99574229e-04	-9.20922882e-05
74              	6.58496304e-02	3.29805334e-02	3.28690970e-02	1.19772021e-01	3.24780518e-02	8.72939693e-02	-2.74079588e-02	5.57182214e-05	-2.20821300e-05	-1.12965901e-04	-7.85650806e-05	-3.44008205e-05
75              	6.62992324e-02	3.31949614e-02	3.31042710e-02	1.21844030e-01	3.30642302e-02	8.87797994e-02	-2.78577846e-02	4.53451851e-05	1.23500781e-05	5.95056512e-05	4.21029037e-05	1.74027474e-05
76              	6.67794534e-02	3.34191531e-02	3.33603004e-02	1.23711995e-01	3.35900747e-02	9.01219203e-02	-2.82659228e-02	2.94263692e-05	4.49889701e-05	2.07238676e-04	1.48608308e-04	5.86303679e-05
77              	6.74317053e-02	3.37279820e-02	3.37037233e-02	1.25594714e-01	3.40893066e-02	9.15054077e-02	-2.87080506e-02	1.21293304e-05	7.16360633e-05	3.19310242e-04	2.31291184e-04	8.80190576e-05
78              	6.80559360e-02	3.40251304e-02	3.40308056e-02	1.27463107e-01	3.45656537e-02	9.28974536e-02	-2.91659000e-02	-2.83759286e-06	8.98795955e-05	3.86697825e-04	2.83228508e-04	1.03469317e-04
79              	6.86512479e-02	3.43125688e-02	3.43386791e-02	1.29384017e-01	3.50323591e-02	9.43516584e-02	-2.96596497e-02	-1.30551826e-05	9.90970802e-05	4.09209301e-04	3.03701731e-04	1.05507570e-04
80              	6.92337153e-02	3.45991104e-02	3.46346050e-02	1.31442206e-01	3.55077299e-02	9.59344765e-02	-3.02133733e-02	-1.77472975e-05	9.97636684e-05	3.92590331e-04	2.96058834e-04	9.65314971e-05
81              	6.98378158e-02	3.49015285e-02	3.49362873e-02	1.33628983e-01	3.59927191e-02	9.76362642e-02	-3.08217726e-02	-1.73793657e-05	9.32877324e-05	3.47116815e-04	2.66846140e-04	8.02706751e-05
82              	7.04786421e-02	3.52259717e-02	3.52526704e-02	1.35862728e-01	3.64754764e-02	9.93872516e-02	-3.14558876e-02	-1.33493562e-05	8.21251334e-05	2.84799061e-04	2.24524664e-04	6.02743973e-05
83              	7.11505409e-02	3.55678694e-02	3.55826715e-02	1.38014414e-01	3.69357124e-02	1.01078702e-01	-3.20714948e-02	-7.40104841e-06	6.85568254e-05	2.16577336e-04	1.76845493e-04	3.97318426e-05
84              	7.18374027e-02	3.59174641e-02	3.59199386e-02	1.39937634e-01	3.73493630e-02	1.02588271e-01	-3.26194542e-02	-1.23726878e-06	5.48454827e-05	1.51454362e-04	1.30572664e-04	2.08816982e-05
