# C1_hi_c_laminar: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
52000	5.412337458e+01	0.570898547	5.326199309e-01	no
52500	5.434679744e+01	0.634360560	5.675701839e-01	no
53000	5.450345029e+01	0.535986038	5.262875840e-01	no
53500	5.426292311e+01	0.615595137	5.694390442e-01	no
54000	5.414292834e+01	0.555018517	5.110094315e-01	no
54500	5.425301797e+01	0.594343414	5.662404148e-01	no
55000	5.407263788e+01	0.612063282	5.330825710e-01	no
55500	5.466036618e+01	0.553605947	5.139652036e-01	no
56000	5.478552101e+01	0.606660782	5.461837765e-01	no
56500	5.414663637e+01	0.521360020	5.617090481e-01	no
57000	5.429126921e+01	0.599049024	5.909176708e-01	no
57500	5.448803324e+01	0.429029097	5.347044960e-01	no
58000	5.480643467e+01	0.527641354	5.576985215e-01	no
58500	5.356185808e+01	0.480500044	5.086939629e-01	no
59000	5.456941629e+01	0.546472455	5.511264132e-01	no
59500	5.407556450e+01	0.483724306	5.444589599e-01	no
59600	5.468132567e+01	0.592274487	5.789134307e-01	yes
59650	5.434231494e+01	0.558271594	5.306426444e-01	yes
59700	5.441882458e+01	0.495058398	5.414642136e-01	yes
59750	5.471200179e+01	0.599808571	6.102018692e-01	yes
59800	5.464462327e+01	0.564959768	5.442274195e-01	yes
59850	5.396744843e+01	0.415082082	5.757265355e-01	yes
59900	5.432659496e+01	0.541847191	5.909702278e-01	yes
59950	5.416390218e+01	0.582976089	5.770875483e-01	yes
60000	5.437167491e+01	0.441364909	5.519579424e-01	yes
