ranks,position1_max_residual,position2_max_residual,position1_field,position2_field,position1_Cd,positions_reached
8,1.233169580459589e-07,1.981968888016819e-06,nuTilda,p,0.0209017202456321,2
20,4.265593605364853e-08,4.265593605364853e-08,nuTilda,nuTilda,0.02090201680385412,3
28,1.194718885139746e-07,1.757696578179007e-06,nuTilda,p,0.02090109066417552,2
