iteration,Cd
1,0.04113505209953232
100,0.03875602857060134
200,0.03182845780928282
300,0.02255181293211362
400,0.02091205847570171
500,0.02083168982888999
600,0.02088868330909934
700,0.02090474321701218
800,0.02090335926609561
900,0.02090152964512043
1000,0.0209015247846907
1100,0.02090160088344421
1200,0.02090141127182326
1300,0.0209015289363008
1400,0.02090184339071725
1500,0.02090170402226425
1600,0.02090151561329856
1700,0.02090164544846941
1800,0.02090172255297144
1900,0.02090151640389176
2000,0.02090109066417552
