# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
1                   	DILUPBiCGStab	1.000000000000e+00	3.996140791400e-02	1	1.000000000000e+00	1.685619259070e-02	1	false	DICPCG	1.000000000000e+00	5.340013452300e-03	33	true
2                   	DILUPBiCGStab	1.545287670240e-01	1.407670367480e-02	1	2.749940071750e-01	2.247432236120e-02	1	false	DICPCG	2.283662266540e-01	1.391821863540e-03	34	true
3                   	DILUPBiCGStab	7.503499169980e-02	7.045958259930e-03	1	1.438933013100e-01	1.314699394610e-02	1	false	DICPCG	1.380262951360e-01	8.491953093050e-04	34	true
4                   	DILUPBiCGStab	4.717063481760e-02	4.203800074940e-03	1	9.729543893320e-02	9.621598509380e-03	1	false	DICPCG	9.487340835640e-02	5.748317583440e-04	34	true
5                   	DILUPBiCGStab	3.278303077040e-02	2.830924594570e-03	1	7.182273900980e-02	5.973436790880e-04	1	false	DICPCG	6.764911161170e-02	5.250311998770e-04	34	true
6                   	DILUPBiCGStab	2.474266037320e-02	2.104368767010e-03	1	5.521885551170e-02	4.706159895480e-04	1	false	DICPCG	5.347983629510e-02	4.288168036340e-04	34	true
7                   	DILUPBiCGStab	1.964632446710e-02	1.657718235240e-03	1	4.414264155910e-02	4.324712434500e-03	1	false	DICPCG	4.431180900250e-02	3.327638439220e-04	34	true
8                   	DILUPBiCGStab	1.611552681390e-02	1.356233939260e-03	1	3.704751455760e-02	3.623533494570e-03	1	false	DICPCG	3.986506336660e-02	2.885432747430e-04	34	true
9                   	DILUPBiCGStab	1.353982358030e-02	1.150997601900e-03	1	3.141725435920e-02	3.048539229790e-03	1	false	DICPCG	3.591608306090e-02	2.992353721570e-04	33	true
10                  	DILUPBiCGStab	1.160196145860e-02	9.969805364520e-04	1	2.693764728740e-02	2.585648719330e-03	1	false	DICPCG	3.206242678170e-02	2.300166667610e-04	33	true
11                  	DILUPBiCGStab	1.006898092510e-02	8.809863483810e-04	1	2.332186579680e-02	2.203332051840e-03	1	false	DICPCG	2.804563826850e-02	1.910053231810e-04	33	true
12                  	DILUPBiCGStab	8.838353277770e-03	7.876029589270e-04	1	2.034528111300e-02	1.883637129230e-03	1	false	DICPCG	2.459627387030e-02	1.533948601940e-04	33	true
13                  	DILUPBiCGStab	7.828366714280e-03	7.076764283800e-04	1	1.795769078970e-02	1.632468317380e-03	1	false	DICPCG	2.149589669360e-02	1.294299026030e-04	33	true
14                  	DILUPBiCGStab	7.049352036310e-03	6.386317266400e-04	1	1.594365914720e-02	1.436191633340e-03	1	false	DICPCG	1.910185031480e-02	1.353359455790e-04	33	true
15                  	DILUPBiCGStab	6.437346829890e-03	5.839348601040e-04	1	1.425124723840e-02	1.286103296650e-03	1	false	DICPCG	1.759494344190e-02	1.597707060370e-04	33	true
