power_W,airspeed_m_per_s,iteration,solid_peak_temperature_degC,solid_minimum_temperature_degC
80,20,6400,29.083464,27.924103
80,20,6500,29.083464,27.924103
80,20,6600,29.083464,27.924103
80,20,6700,29.083464,27.924103
80,20,6800,29.083464,27.924103
80,20,6900,29.083464,27.924103
80,20,7000,29.083464,27.924103
80,20,7100,29.083464,27.924103
80,20,7200,29.083464,27.924103
80,20,7300,29.083464,27.924103
80,20,7400,29.083464,27.924103
80,20,7500,29.083464,27.924103
80,20,7600,29.083464,27.924103
80,20,7700,29.083464,27.924103
80,20,7800,29.083464,27.924103
80,20,7900,29.083464,27.924103
80,20,8000,29.083464,27.924103
80,20,8100,29.083464,27.924103
80,20,8200,29.083464,27.924103
80,20,8300,29.083464,27.924103
80,20,8400,29.083464,27.924103
80,20,8500,29.083464,27.924103
80,20,8600,29.083464,27.924103
80,20,8700,29.083464,27.924103
80,20,8800,29.083464,27.924103
80,20,8900,29.083464,27.924103
80,20,9000,29.083464,27.924103
80,20,9100,29.083464,27.924103
80,20,9200,29.083464,27.924103
80,20,9300,29.083464,27.924103
80,20,9400,29.083464,27.924103
80,20,9500,29.083464,27.924103
80,20,9600,29.083464,27.924103
80,20,9700,29.083464,27.924103
80,20,9800,29.083464,27.924103
80,20,9900,29.083464,27.924103
80,20,10000,29.083464,27.924103
80,30,100,23.313265,22.736468
80,30,200,24.687888,23.838289
80,30,300,25.228270,24.253332
80,30,400,25.389413,24.385304
80,30,500,25.475616,24.457316
80,30,600,25.521181,24.491733
80,30,700,25.538887,24.504745
80,30,800,25.545715,24.509874
80,30,900,25.548315,24.511907
80,30,1000,25.549579,24.512893
80,30,1100,25.550071,24.513280
80,30,1200,25.550151,24.513337
80,30,1300,25.550163,24.513344
80,30,1400,25.550176,24.513351
80,30,1500,25.550189,24.513359
80,30,1600,25.550201,24.513367
80,30,1700,25.550215,24.513376
80,30,1800,25.550229,24.513386
80,30,1900,25.550231,24.513388
80,30,2000,25.550231,24.513388
80,30,2100,25.550231,24.513388
80,30,2200,25.550231,24.513388
80,30,2300,25.550231,24.513388
80,30,2400,25.550231,24.513388
80,30,2500,25.550231,24.513388
80,30,2600,25.550231,24.513388
80,30,2700,25.550231,24.513388
80,30,2800,25.550231,24.513388
80,30,2900,25.550231,24.513388
80,30,3000,25.550231,24.513388
80,30,3100,25.550231,24.513388
80,30,3200,25.550231,24.513388
80,30,3300,25.550231,24.513388
80,30,3400,25.550231,24.513388
80,30,3500,25.550231,24.513388
80,30,3600,25.550231,24.513388
80,30,3700,25.550231,24.513388
80,30,3800,25.550231,24.513388
80,30,3900,25.550231,24.513388
80,30,4000,25.550231,24.513388
80,30,4100,25.550231,24.513388
80,30,4200,25.550231,24.513388
80,30,4300,25.550231,24.513388
80,30,4400,25.550231,24.513388
80,30,4500,25.550231,24.513388
80,30,4600,25.550231,24.513388
80,30,4700,25.550231,24.513388
80,30,4800,25.550231,24.513388
80,30,4900,25.550231,24.513388
80,30,5000,25.550231,24.513388
80,30,5100,25.550231,24.513388
80,30,5200,25.550231,24.513388
80,30,5300,25.550231,24.513388
80,30,5400,25.550231,24.513388
80,30,5500,25.550231,24.513388
80,30,5600,25.550231,24.513388
80,30,5700,25.550231,24.513388
80,30,5800,25.550231,24.513388
80,30,5900,25.550231,24.513388
80,30,6000,25.550231,24.513388
80,30,6100,25.550231,24.513388
80,30,6200,25.550231,24.513388
80,30,6300,25.550231,24.513388
80,30,6400,25.550231,24.513388
80,30,6500,25.550231,24.513388
80,30,6600,25.550231,24.513388
