time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
3.99	10.883	0.28201	0.38201
3.995	10.861	0.33683	0.43683
4	10.776	0.44372	0.54372
4.005	10.745	0.63984	0.73984
4.01	10.765	0.83044	0.93044
4.015	10.837	0.96292	1.0629
4.02	11.027	1.0499	1.1499
4.025	11.089	0.96146	1.0615
4.03	10.858	0.66419	0.76419
4.035	10.598	0.47816	0.57816
4.04	10.516	0.42434	0.52434
4.045	10.504	0.31959	0.41959
4.05	10.442	0.19134	0.29134
4.055	10.369	0.11346	0.21346
4.06	10.442	0.14885	0.24885
4.065	10.728	0.13669	0.23669
4.07	10.832	0.48103	0.58103
4.075	10.655	0.62047	0.72047
4.08	10.624	0.51013	0.61013
4.085	10.853	0.44318	0.54318
4.09	11.067	0.52672	0.62672
4.095	11.049	0.57442	0.67442
4.1	10.883	0.53269	0.63269
4.105	10.814	0.62038	0.72038
4.11	10.876	0.50704	0.60704
4.115	10.893	0.47708	0.57708
4.12	10.712	0.32107	0.42107
4.125	10.462	0.23374	0.33374
4.13	10.407	0.26222	0.36222
4.135	10.528	0.40921	0.50921
4.14	10.604	0.4211	0.5211
4.145	10.586	0.30268	0.40268
4.15	10.635	0.23807	0.33807
4.155	10.826	0.18287	0.28287
4.16	10.911	0.27619	0.37619
4.165	10.822	0.46521	0.56521
4.17	10.647	0.71829	0.81829
4.175	10.593	0.81677	0.91677
4.18	10.586	0.84789	0.94789
4.185	10.462	0.58277	0.68277
4.19	10.377	0.32185	0.42185
4.195	10.404	0.4983	0.5983
4.2	10.549	0.39331	0.49331
4.205	10.608	0.57371	0.67371
4.21	10.561	0.60265	0.70265
4.215	10.578	0.60509	0.70509
4.22	10.756	0.64874	0.74874
4.225	11.045	0.68757	0.78757
4.23	11.119	0.55655	0.65655
4.235	10.955	0.36538	0.46538
4.24	10.82	0.2801	0.3801
4.245	10.864	0.31777	0.41777
4.25	10.879	0.40731	0.50731
4.255	10.693	0.36573	0.46573
4.26	10.485	0.41288	0.51288
4.265	10.467	0.50822	0.60822
4.27	10.588	0.55417	0.65417
4.275	10.581	0.44928	0.54928
4.28	10.563	0.40295	0.50295
4.285	10.636	0.47998	0.57998
4.29	10.623	0.38107	0.48107
4.295	10.644	0.41881	0.51881
4.3	10.738	0.42279	0.52279
4.305	10.776	0.34387	0.44387
4.31	10.737	0.28228	0.38228
4.315	10.728	0.25106	0.35106
4.32	10.757	0.17414	0.27414
4.325	10.683	0.14776	0.24776
4.33	10.606	0.4118	0.5118
4.335	10.719	0.56435	0.66435
4.34	10.816	0.56166	0.66166
4.345	10.851	0.4654	0.5654
4.35	10.879	0.5465	0.6465
4.355	10.787	0.48202	0.58202
4.36	10.618	0.33266	0.43266
4.365	10.523	0.412	0.512
4.37	10.579	0.60452	0.70452
4.375	10.773	0.61803	0.71803
4.38	10.891	0.48412	0.58412
4.385	10.895	0.48898	0.58898
4.39	10.862	0.68314	0.78314
4.395	10.898	0.88114	0.98114
4.4	10.871	0.83292	0.93292
4.405	10.724	0.76832	0.86832
4.41	10.555	0.66812	0.76812
4.415	10.365	0.40651	0.50651
4.42	10.28	0.21625	0.31625
4.425	10.397	0.20005	0.30005
4.43	10.472	0.22412	0.32412
4.435	10.505	0.20707	0.30707
4.44	10.538	0.20998	0.30998
4.445	10.614	0.31654	0.41654
4.45	10.675	0.4587	0.5587
4.455	10.624	0.39293	0.49293
4.46	10.574	0.31445	0.41445
4.465	10.593	0.44927	0.54927
4.47	10.759	0.72883	0.82883
4.475	10.936	0.83256	0.93256
4.48	10.764	0.70199	0.80199
4.485	10.543	0.67398	0.77398
4.49	10.498	0.77589	0.87589
4.495	10.559	0.84014	0.94014
4.5	10.561	0.67312	0.77312
4.505	10.645	0.47626	0.57626
4.51	10.725	0.55127	0.65127
4.515	10.737	0.56725	0.66725
4.52	10.819	0.58493	0.68493
4.525	10.785	0.39142	0.49142
4.53	10.606	0.20667	0.30667
4.535	10.537	0.37893	0.47893
4.54	10.576	0.61735	0.71735
4.545	10.533	0.58665	0.68665
4.55	10.485	0.48759	0.58759
4.555	10.443	0.428	0.528
4.56	10.468	0.43995	0.53995
4.565	10.508	0.52476	0.62476
4.57	10.626	0.48786	0.58786
4.575	10.793	0.4018	0.5018
4.58	10.887	0.39102	0.49102
4.585	10.849	0.56112	0.66112
4.59	10.631	0.61853	0.71853
4.595	10.404	0.48734	0.58734
4.6	10.335	0.34792	0.44792
4.605	10.361	0.38267	0.48267
4.61	10.339	0.36449	0.46449
4.615	10.276	0.43325	0.53325
4.62	10.255	0.59319	0.69319
4.625	10.437	0.66213	0.76213
4.63	10.665	0.71831	0.81831
4.635	10.685	0.73926	0.83926
4.64	10.591	0.68115	0.78115
4.645	10.603	0.54849	0.64849
4.65	10.652	0.504	0.604
4.655	10.575	0.52349	0.62349
4.66	10.66	0.57696	0.67696
4.665	10.738	0.64653	0.74653
4.67	10.722	0.70504	0.80504
4.675	10.653	0.70664	0.80664
4.68	10.54	0.60151	0.70151
4.685	10.523	0.57115	0.67115
4.69	10.634	0.56536	0.66536
4.695	10.776	0.52676	0.62676
4.7	10.685	0.49257	0.59257
4.705	10.438	0.40965	0.50965
4.71	10.266	0.26777	0.36777
4.715	10.253	0.28979	0.38979
4.72	10.264	0.40644	0.50644
4.725	10.297	0.40348	0.50348
4.73	10.329	0.37709	0.47709
4.735	10.391	0.22248	0.32248
4.74	10.462	0.10625	0.20625
4.745	10.53	0.16942	0.26942
4.75	10.674	0.28631	0.38631
4.755	10.749	0.35039	0.45039
4.76	10.635	0.23022	0.33022
4.765	10.466	0.30592	0.40592
4.77	10.382	0.40783	0.50783
4.775	10.389	0.40049	0.50049
4.78	10.485	0.35888	0.45888
4.785	10.608	0.31815	0.41815
4.79	10.67	0.43356	0.53356
4.795	10.508	0.43191	0.53191
4.8	10.353	0.43657	0.53657
4.805	10.298	0.33546	0.43546
4.81	10.31	0.34093	0.44093
4.815	10.333	0.42024	0.52024
4.82	10.405	0.379	0.479
4.825	10.467	0.40163	0.50163
4.83	10.514	0.39582	0.49582
4.835	10.604	0.43608	0.53608
4.84	10.645	0.39878	0.49878
4.845	10.594	0.48248	0.58248
4.85	10.572	0.58441	0.68441
4.855	10.657	0.64843	0.74843
4.86	10.765	0.64738	0.74738
4.865	10.837	0.66248	0.76248
4.87	10.82	0.6479	0.7479
4.875	10.589	0.38471	0.48471
4.88	10.356	0.21912	0.31912
4.885	10.449	0.28033	0.38033
4.89	10.65	0.49274	0.59274
4.895	10.725	0.44222	0.54222
4.9	10.592	0.45427	0.55427
4.905	10.423	0.64191	0.74191
4.91	10.501	0.46493	0.56493
4.915	10.646	0.31476	0.41476
4.92	10.697	0.28944	0.38944
4.925	10.605	0.35846	0.45846
4.93	10.435	0.38031	0.48031
4.935	10.373	0.27883	0.37883
4.94	10.468	0.20236	0.30236
4.945	10.502	0.33584	0.43584
4.95	10.393	0.48742	0.58742
4.955	10.299	0.49701	0.59701
4.96	10.348	0.44364	0.54364
4.965	10.517	0.48685	0.58685
4.97	10.688	0.39675	0.49675
4.975	10.723	0.22856	0.32856
4.98	10.636	0.30401	0.40401
4.985	10.511	0.44335	0.54335
4.99	10.452	0.61821	0.71821
4.995	10.518	0.69924	0.79924
5	10.5	0.63046	0.73046
5.005	10.497	0.61244	0.71244
5.01	10.491	0.44724	0.54724
5.015	10.396	0.35827	0.45827
5.02	10.3	0.27116	0.37116
5.025	10.237	0.37896	0.47896
5.03	10.269	0.36468	0.46468
5.035	10.294	0.31591	0.41591
5.04	10.332	0.311	0.411
5.045	10.398	0.27596	0.37596
5.05	10.431	0.30754	0.40754
5.055	10.387	0.30559	0.40559
5.06	10.328	0.37439	0.47439
5.065	10.468	0.5359	0.6359
5.07	10.684	0.65962	0.75962
5.075	10.668	0.61649	0.71649
5.08	10.475	0.56482	0.66482
5.085	10.4	0.5716	0.6716
5.09	10.533	0.5566	0.6566
5.095	10.652	0.54242	0.64242
5.1	10.65	0.62795	0.72795
5.105	10.619	0.86743	0.96743
5.11	10.653	0.76858	0.86858
5.115	10.708	0.60273	0.70273
5.12	10.671	0.50132	0.60132
5.125	10.658	0.41874	0.51874
5.13	10.603	0.25268	0.35268
5.135	10.541	0.43501	0.53501
5.14	10.439	0.67063	0.77063
5.145	10.294	0.67716	0.77716
5.15	10.319	0.58042	0.68042
5.155	10.23	0.73937	0.83937
5.16	10.013	0.96212	1.0621
5.165	9.8499	1.1085	1.2085
5.17	9.7654	1.1871	1.2871
5.175	9.7416	1.2766	1.3766
5.18	9.7545	1.3527	1.4527
5.185	9.8014	1.448	1.548
5.19	9.6415	1.784	1.884
5.195	9.4599	2.1482	2.2482
5.2	9.4646	2.3562	2.4562
5.205	9.5324	2.4794	2.5794
5.21	9.1998	2.8744	2.9744
5.215	8.5147	3.7435	3.8435
5.22	7.9724	4.4719	4.5719
5.225	7.9132	4.444	4.544
5.23	7.9551	4.4674	4.5674
5.235	8.1224	4.5669	4.6669
5.24	8.1459	4.6141	4.7141
5.245	7.934	4.5692	4.6692
5.25	7.7167	4.5513	4.6513
5.255	7.3948	4.441	4.541
5.26	7.0095	4.3051	4.4051
5.265	6.7419	4.152	4.252
5.27	6.4906	4.0114	4.1114
5.275	6.0068	4.0872	4.1872
5.28	5.3547	4.4123	4.5123
5.285	4.7098	4.452	4.552
5.29	4.3452	4.1484	4.2484
5.295	3.9904	3.8621	3.9621
5.3	3.3541	3.4037	3.5037
5.305	2.4261	2.9667	3.0667
5.31	1.5649	2.7804	2.8804
5.315	1.1634	2.6015	2.7015
5.32	0.93001	2.0796	2.1796
5.325	0.44954	1.0052	1.1052
5.33	0	0	0.1
5.335	0	0	0.1
5.34	0	0	0.1
5.345	0	0	0.1
5.35	0	0	0.1
5.355	0	0	0.1
5.36	0	0	0.1
5.365	0	0	0.1
5.37	0	0	0.1
5.375	0	0	0.1
5.38	0	0	0.1
5.385	0	0	0.1
5.39	0	0	0.1
5.395	0	0	0.1
5.4	0	0	0.1
5.405	0	0	0.1
5.41	0	0	0.1
5.415	0	0	0.1
5.42	0	0	0.1
5.425	0	0	0.1
5.43	0	0	0.1
5.435	0	0	0.1
5.44	0	0	0.1
5.445	0	0	0.1
5.45	0	0	0.1
5.455	0	0	0.1
5.46	0	0	0.1
5.465	0	0	0.1
5.47	0	0	0.1
5.475	0	0	0.1
5.48	0	0	0.1
5.485	0	0	0.1
5.49	0	0	0.1
5.495	0	0	0.1
5.5	0	0	0.1
5.505	0	0	0.1
5.51	0	0	0.1
5.515	0	0	0.1
5.52	0	0	0.1
5.525	0	0	0.1
5.53	0	0	0.1
5.535	0	0	0.1
5.54	0	0	0.1
5.545	0	0	0.1
5.55	0	0	0.1
5.555	0	0	0.1
5.56	0	0	0.1
5.565	0	0	0.1
5.57	0	0	0.1
5.575	0	0	0.1
5.58	0	0	0.1
5.585	0	0	0.1
5.59	0	0	0.1
5.595	0	0	0.1
5.6	0	0	0.1
5.605	0	0	0.1
5.61	0	0	0.1
5.615	0	0	0.1
5.62	0	0	0.1
5.625	0	0	0.1
5.63	0	0	0.1
5.635	0	0	0.1
5.64	0	0	0.1
5.645	0	0	0.1
5.65	0	0	0.1
5.655	0	0	0.1
5.66	0	0	0.1
5.665	0	0	0.1
5.67	0	0	0.1
5.675	0	0	0.1
5.68	0	0	0.1
5.685	0	0	0.1
5.69	0	0	0.1
5.695	0	0	0.1
5.7	0	0	0.1
5.705	0	0	0.1
5.71	0	0	0.1
5.715	0	0	0.1
5.72	0	0	0.1
5.725	0	0	0.1
5.73	0	0	0.1
5.735	0	0	0.1
5.74	0	0	0.1
5.745	0	0	0.1
5.75	0	0	0.1
5.755	0	0	0.1
5.76	0	0	0.1
5.765	0	0	0.1
5.77	0	0	0.1
5.775	0	0	0.1
5.78	0	0	0.1
5.785	0	0	0.1
5.79	0	0	0.1
5.795	0	0	0.1
5.8	0	0	0.1
5.805	0	0	0.1
5.81	0	0	0.1
5.815	0	0	0.1
5.82	0	0	0.1
5.825	0	0	0.1
5.83	0	0	0.1
5.835	0	0	0.1
5.84	0	0	0.1
5.845	0	0	0.1
5.85	0	0	0.1
5.855	0	0	0.1
5.86	0	0	0.1
5.865	0	0	0.1
5.87	0	0	0.1
5.875	0	0	0.1
5.88	0	0	0.1
5.885	0	0	0.1
5.89	0	0	0.1
5.895	0	0	0.1
5.9	0	0	0.1
5.905	0	0	0.1
5.91	0	0	0.1
5.915	0	0	0.1
5.92	0	0	0.1
5.925	0	0	0.1
5.93	0	0	0.1
5.935	0	0	0.1
5.94	0	0	0.1
5.945	0	0	0.1
5.95	0	0	0.1
5.955	0	0	0.1
5.96	0	0	0.1
5.965	0	0	0.1
5.97	0	0	0.1
5.975	0	0	0.1
5.98	0	0	0.1
5.985	0	0	0.1
5.99	0	0	0.1
5.995	0	0	0.1
6	0	0	0.1
6.005	0	0	0.1
6.01	0	0	0.1
6.015	0	0	0.1
6.02	0	0	0.1
6.025	0	0	0.1
6.03	0	0	0.1
6.035	0	0	0.1
6.04	0	0	0.1
6.045	0	0	0.1
6.05	0	0	0.1
6.055	0	0	0.1
6.06	0	0	0.1
6.065	0	0	0.1
6.07	0	0	0.1
6.075	0	0	0.1
6.08	0	0	0.1
6.085	0	0	0.1
6.09	0	0	0.1
6.095	0	0	0.1
6.1	0	0	0.1
6.105	0	0	0.1
6.11	0	0	0.1
6.115	0	0	0.1
6.12	0	0	0.1
6.125	0	0	0.1
6.13	0	0	0.1
6.135	0	0	0.1
6.14	0	0	0.1
6.145	0	0	0.1
6.15	0	0	0.1
6.155	0	0	0.1
6.16	0	0	0.1
6.165	0	0	0.1
6.17	0	0	0.1
6.175	0	0	0.1
6.18	0	0	0.1
6.185	0	0	0.1
6.19	0	0	0.1
6.195	0	0	0.1
6.2	0	0	0.1
6.205	0	0	0.1
6.21	0	0	0.1
6.215	0	0	0.1
6.22	0	0	0.1
6.225	0	0	0.1
6.23	0	0	0.1
6.235	0	0	0.1
6.24	0	0	0.1
6.245	0	0	0.1
6.25	0	0	0.1
6.255	0	0	0.1
6.26	0	0	0.1
6.265	0	0	0.1
6.27	0	0	0.1
6.275	0	0	0.1
6.28	0	0	0.1
6.285	0	0	0.1
6.29	0	0	0.1
6.295	0	0	0.1
6.3	0	0	0.1
