# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
35                  	DILUPBiCGStab	6.993495664000e-03	7.923562407910e-05	1	9.282426010610e-03	3.663571144770e-04	1	false	DICPCG	9.329138767530e-03	8.652641018410e-05	16	true
36                  	DILUPBiCGStab	6.877543125860e-03	7.772835771280e-05	1	9.009039924280e-03	3.478109156720e-04	1	false	DICPCG	8.982673362190e-03	8.497487914860e-05	16	true
37                  	DILUPBiCGStab	6.766988134340e-03	7.637462844170e-05	1	8.750868122360e-03	3.307823014510e-04	1	false	DICPCG	8.658304150100e-03	8.349230647120e-05	16	true
38                  	DILUPBiCGStab	6.661152382800e-03	7.519950182280e-05	1	8.507190082560e-03	3.151832294580e-04	1	false	DICPCG	8.353016004020e-03	8.213041157250e-05	16	true
39                  	DILUPBiCGStab	6.559985640020e-03	7.426574432970e-05	1	8.276659404050e-03	3.009243995660e-04	1	false	DICPCG	8.066287141600e-03	7.354132461130e-05	17	true
40                  	DILUPBiCGStab	6.462763404400e-03	7.337947562030e-05	1	8.060646762450e-03	2.878340052670e-04	1	false	DICPCG	7.796472299100e-03	7.169426381210e-05	17	true
41                  	DILUPBiCGStab	6.369725454040e-03	7.251751523410e-05	1	7.855421622000e-03	2.757245775890e-04	1	false	DICPCG	7.540858632690e-03	6.985928331850e-05	17	true
42                  	DILUPBiCGStab	6.279980636480e-03	7.167235983410e-05	1	7.663010234420e-03	2.645205887270e-04	1	false	DICPCG	7.301092632150e-03	6.806213581410e-05	17	true
43                  	DILUPBiCGStab	6.193958075160e-03	7.085122381800e-05	1	7.480897072980e-03	2.541110226690e-04	1	false	DICPCG	7.074805133360e-03	6.628810022670e-05	17	true
44                  	DILUPBiCGStab	6.110699882490e-03	7.004521581990e-05	1	7.309924241630e-03	2.444837346970e-04	1	false	DICPCG	6.861196233050e-03	6.454393864310e-05	17	true
45                  	DILUPBiCGStab	6.030738083100e-03	6.926224605460e-05	1	7.150726150370e-03	2.354994565230e-04	1	false	DICPCG	6.659532329660e-03	6.283213219980e-05	17	true
46                  	DILUPBiCGStab	5.953409433010e-03	6.849632584470e-05	1	7.000270591490e-03	2.271142411370e-04	1	false	DICPCG	6.468088449710e-03	6.116176015440e-05	17	true
47                  	DILUPBiCGStab	5.878745671120e-03	6.774925064170e-05	1	6.861237198480e-03	2.194102050330e-04	1	false	DICPCG	6.288515604150e-03	5.954004817830e-05	17	true
48                  	DILUPBiCGStab	5.806509070200e-03	6.701955762590e-05	1	6.732149268660e-03	2.123773060470e-04	1	false	DICPCG	6.117414425080e-03	5.797780657200e-05	17	true
49                  	DILUPBiCGStab	5.736488141620e-03	6.630593708070e-05	1	6.612631573860e-03	2.058998842030e-04	1	false	DICPCG	5.956707271500e-03	5.647436048090e-05	17	true
50                  	DILUPBiCGStab	5.668923127960e-03	6.561217596920e-05	1	6.502788697370e-03	1.999087784850e-04	1	false	DICPCG	5.803681016990e-03	5.503568914200e-05	17	true
51                  	DILUPBiCGStab	5.603155230680e-03	6.493155178090e-05	1	6.402884294680e-03	1.942924574590e-04	1	false	DICPCG	5.660531091290e-03	5.366840812000e-05	17	true
52                  	DILUPBiCGStab	5.539470484000e-03	6.426817314050e-05	1	6.312629124380e-03	1.891179238690e-04	1	false	DICPCG	5.524277064720e-03	5.237960822730e-05	17	true
53                  	DILUPBiCGStab	5.477506256860e-03	6.361854732610e-05	1	6.231623415040e-03	1.842688107030e-04	1	false	DICPCG	5.396072268360e-03	5.116402147630e-05	17	true
54                  	DILUPBiCGStab	5.417259763720e-03	6.298327338260e-05	1	6.159540967870e-03	1.797808677490e-04	1	false	DICPCG	5.274627555650e-03	4.999879240740e-05	17	true
55                  	DILUPBiCGStab	5.358882165730e-03	6.236467642470e-05	1	6.097218276890e-03	1.756115266490e-04	1	false	DICPCG	5.160006613090e-03	4.888122687950e-05	17	true
56                  	DILUPBiCGStab	5.301896173140e-03	6.175770906310e-05	1	6.044473282890e-03	1.717685142870e-04	1	false	DICPCG	5.052293418030e-03	4.779081728270e-05	17	true
57                  	DILUPBiCGStab	5.246435939300e-03	6.116438013670e-05	1	6.000703425600e-03	1.681773763660e-04	1	false	DICPCG	4.950484510740e-03	4.673135016600e-05	17	true
58                  	DILUPBiCGStab	5.192365763040e-03	6.058350905740e-05	1	5.966322880560e-03	1.648326937460e-04	1	false	DICPCG	4.854401817040e-03	4.569730670090e-05	17	true
59                  	DILUPBiCGStab	5.139513982340e-03	6.001344886730e-05	1	5.941094198300e-03	1.617072281600e-04	1	false	DICPCG	4.764266639370e-03	4.469676557980e-05	17	true
60                  	DILUPBiCGStab	5.088119084250e-03	5.945730269380e-05	1	5.924703726380e-03	1.587962575850e-04	1	false	DICPCG	4.678319700880e-03	4.373574010920e-05	17	true
61                  	DILUPBiCGStab	5.037978309820e-03	5.891298916250e-05	1	5.917408021850e-03	1.561272564060e-04	1	false	DICPCG	4.598600079500e-03	4.280635013480e-05	17	true
62                  	DILUPBiCGStab	4.988825044570e-03	5.837764366790e-05	1	5.919338015940e-03	1.536099586690e-04	1	false	DICPCG	4.522698999580e-03	4.192729105980e-05	17	true
63                  	DILUPBiCGStab	4.940928736890e-03	5.785464436720e-05	1	5.929977431060e-03	1.512950109930e-04	1	false	DICPCG	4.451910638370e-03	4.109946600690e-05	17	true
64                  	DILUPBiCGStab	4.893834784730e-03	5.733887109970e-05	1	5.949430918900e-03	1.491348496120e-04	1	false	DICPCG	4.385153778480e-03	4.032147794590e-05	17	true
65                  	DILUPBiCGStab	4.847860874510e-03	5.683422412290e-05	1	5.977781624330e-03	1.471253179870e-04	1	false	DICPCG	4.322396487320e-03	3.958144530280e-05	17	true
66                  	DILUPBiCGStab	4.802991865770e-03	5.634069025230e-05	1	6.014022153280e-03	1.452330562840e-04	1	false	DICPCG	4.263171829830e-03	3.888126773780e-05	17	true
67                  	DILUPBiCGStab	4.758956089190e-03	5.585522867600e-05	1	6.057916285690e-03	1.434538531480e-04	1	false	DICPCG	4.207337148470e-03	3.821495489280e-05	17	true
68                  	DILUPBiCGStab	4.715755086320e-03	5.537798550210e-05	1	6.108540684060e-03	1.417817911240e-04	1	false	DICPCG	4.154047225910e-03	3.757275092620e-05	17	true
69                  	DILUPBiCGStab	4.673462614380e-03	5.490994271050e-05	1	6.165066305500e-03	1.402145814720e-04	1	false	DICPCG	4.103834884160e-03	3.695615448810e-05	17	true
70                  	DILUPBiCGStab	4.631781231260e-03	5.444770921510e-05	1	6.225975020750e-03	1.387147272980e-04	1	false	DICPCG	4.056638469140e-03	3.636140121480e-05	17	true
71                  	DILUPBiCGStab	4.590994574390e-03	5.399471106160e-05	1	6.288783904340e-03	1.373372822750e-04	1	false	DICPCG	4.012177316810e-03	3.578058964980e-05	17	true
