# Region            : all region0
# Cells             : 512
# Volume            : 5.234326483828e-02
# Time              	volAverage(T)
1                   	2.735885040338e+02
2                   	2.739974811110e+02
3                   	2.742939837237e+02
4                   	2.745186704819e+02
5                   	2.746964826874e+02
6                   	2.748432049199e+02
7                   	2.749688841176e+02
8                   	2.750799618152e+02
9                   	2.751806291273e+02
10                  	2.752736537796e+02
11                  	2.753608914511e+02
12                  	2.754436065467e+02
13                  	2.755226758478e+02
14                  	2.755987191786e+02
15                  	2.756721840726e+02
16                  	2.757434011492e+02
17                  	2.758126206688e+02
18                  	2.758800368848e+02
19                  	2.759458044175e+02
20                  	2.760100493690e+02
21                  	2.760728769459e+02
22                  	2.761343767414e+02
23                  	2.761946264403e+02
24                  	2.762536944495e+02
25                  	2.763116417923e+02
26                  	2.763685234928e+02
27                  	2.764243896052e+02
28                  	2.764792859913e+02
29                  	2.765332549193e+02
30                  	2.765863355338e+02
31                  	2.766385642308e+02
32                  	2.766899749629e+02
33                  	2.767405994917e+02
34                  	2.767904676004e+02
35                  	2.768396072742e+02
36                  	2.768880448569e+02
37                  	2.769358051866e+02
38                  	2.769829117164e+02
39                  	2.770293866207e+02
40                  	2.770752508905e+02
41                  	2.771205244194e+02
42                  	2.771652260810e+02
43                  	2.772093737993e+02
44                  	2.772529846129e+02
45                  	2.772960747334e+02
46                  	2.773386595994e+02
47                  	2.773807539254e+02
48                  	2.774223717473e+02
49                  	2.774635264645e+02
50                  	2.775042308779e+02
51                  	2.775444972264e+02
52                  	2.775843372191e+02
53                  	2.776237620666e+02
54                  	2.776627825093e+02
55                  	2.777014088437e+02
56                  	2.777396509472e+02
57                  	2.777775183008e+02
58                  	2.778150200108e+02
59                  	2.778521648287e+02
60                  	2.778889611694e+02
61                  	2.779254171292e+02
62                  	2.779615405018e+02
63                  	2.779973387937e+02
64                  	2.780328192385e+02
65                  	2.780679888100e+02
66                  	2.781028542354e+02
67                  	2.781374220068e+02
68                  	2.781716983924e+02
69                  	2.782056894468e+02
70                  	2.782394010212e+02
71                  	2.782728387726e+02
72                  	2.783060081725e+02
73                  	2.783389145150e+02
74                  	2.783715629250e+02
75                  	2.784039583655e+02
76                  	2.784361056442e+02
