rack,z_m,T_degC
1,0.019999999552965164,15.850006103515625
1,0.03633333370089531,15.850006103515625
1,0.052666667848825455,15.850006103515625
1,0.0689999982714653,15.850006103515625
1,0.08533333241939545,15.850006103515625
1,0.10166666656732559,15.850006103515625
1,0.11800000071525574,15.850006103515625
1,0.13433332741260529,15.850006103515625
1,0.15066666901111603,15.850006103515625
1,0.16699999570846558,15.850006103515625
1,0.18333333730697632,15.850006103515625
1,0.19966666400432587,15.850006103515625
1,0.2160000056028366,15.850006103515625
1,0.23233333230018616,15.850006103515625
1,0.2486666738986969,15.850006103515625
1,0.26500001549720764,15.850006103515625
1,0.281333327293396,15.850006103515625
1,0.29766666889190674,15.850006103515625
1,0.3140000104904175,15.850006103515625
1,0.33033332228660583,15.850006103515625
1,0.3466666638851166,15.850006103515625
1,0.3630000054836273,15.850006103515625
1,0.37933334708213806,15.850006103515625
1,0.3956666588783264,15.850006103515625
1,0.41200000047683716,15.85003662109375
1,0.4283333420753479,15.85003662109375
1,0.44466668367385864,15.85003662109375
1,0.460999995470047,15.85003662109375
1,0.47733333706855774,15.85003662109375
1,0.4936666786670685,15.85003662109375
1,0.5099999904632568,15.85003662109375
1,0.5263333320617676,15.85003662109375
1,0.5426666736602783,15.85003662109375
1,0.5590000152587891,15.85003662109375
1,0.5753333568572998,15.85003662109375
1,0.5916666984558105,15.85003662109375
1,0.6079999804496765,15.85003662109375
1,0.6243333220481873,15.85003662109375
1,0.640666663646698,15.85003662109375
1,0.6570000052452087,15.85003662109375
1,0.6733333468437195,15.85003662109375
1,0.6896666884422302,15.85003662109375
1,0.706000030040741,15.85003662109375
1,0.7223333120346069,15.85003662109375
1,0.7386666536331177,15.85003662109375
1,0.7549999952316284,15.85003662109375
1,0.7713333368301392,15.85003662109375
1,0.7876666784286499,15.85003662109375
1,0.8040000200271606,15.85003662109375
1,0.8203333616256714,15.85003662109375
1,0.8366667032241821,15.85003662109375
1,0.8529999852180481,15.85003662109375
1,0.8693333268165588,15.85003662109375
1,0.8856666684150696,15.85003662109375
1,0.9020000100135803,15.85003662109375
1,0.9183333516120911,15.85003662109375
1,0.9346666932106018,15.85003662109375
1,0.9510000348091125,15.85003662109375
1,0.9673333168029785,15.850067138671875
1,0.9836666584014893,15.850067138671875
1,1.0,15.850067138671875
1,1.0163333415985107,15.850067138671875
1,1.0326666831970215,15.850067138671875
1,1.0490000247955322,15.850067138671875
1,1.065333366394043,15.850067138671875
1,1.0816667079925537,15.850067138671875
1,1.0980000495910645,15.850067138671875
1,1.1143333911895752,15.850067138671875
1,1.130666732788086,15.850067138671875
1,1.1469999551773071,15.850067138671875
1,1.1633332967758179,15.850067138671875
1,1.1796666383743286,15.850067138671875
1,1.1959999799728394,15.850067138671875
1,1.21233332157135,15.850067138671875
1,1.2286666631698608,15.85003662109375
1,1.2450000047683716,15.85003662109375
1,1.2613333463668823,15.85003662109375
1,1.277666687965393,15.85003662109375
1,1.2940000295639038,15.85003662109375
1,1.3103333711624146,15.85003662109375
1,1.3266667127609253,15.85003662109375
1,1.343000054359436,15.85003662109375
1,1.3593333959579468,15.85003662109375
1,1.3756667375564575,15.85003662109375
1,1.3919999599456787,15.85003662109375
1,1.4083333015441895,15.85003662109375
1,1.4246666431427002,15.85003662109375
1,1.440999984741211,15.85003662109375
1,1.4573333263397217,15.85003662109375
1,1.4736666679382324,15.85003662109375
1,1.4900000095367432,15.85003662109375
1,1.506333351135254,15.85003662109375
1,1.5226666927337646,15.85003662109375
1,1.5390000343322754,15.85003662109375
1,1.5553333759307861,15.85003662109375
1,1.5716667175292969,15.85003662109375
1,1.5880000591278076,15.85003662109375
1,1.6043334007263184,15.85003662109375
1,1.6206666231155396,15.85003662109375
1,1.6369999647140503,15.85003662109375
1,1.653333306312561,15.85003662109375
1,1.6696666479110718,15.85003662109375
1,1.6859999895095825,15.85003662109375
1,1.7023333311080933,15.85003662109375
1,1.718666672706604,15.85003662109375
