rack,T_inlet_degC,T_outlet_degC,RCI_high_pct,capture_index_pct,recirculation_pct
rack 1,19.325740850000045,31.30579040000009,100.0,77.51172369677059,22.488276303229416
rack 2,21.91080450000004,33.907500700000014,100.0,66.43608326151127,33.563916738488736
rack 3,21.753484440000022,33.74980900000003,100.0,67.01928808290637,32.98071191709363
rack 4,19.4016072,31.379601800000103,100.0,77.13008198317127,22.869918016828738
