iteration,$U_x$,$U_z$,$T$,$p_{rgh}$
93,0.00408069421,0.002560281318,0.003573641223,0.03158932885
94,0.004081194103,0.002551925677,0.003541281783,0.03151531271
95,0.004081977166,0.002543818939,0.003509442487,0.0314422307
96,0.004083245007,0.002536139493,0.003475975376,0.03140894704
97,0.004085453927,0.002528816953,0.003442002108,0.03134133625
98,0.004088527158,0.002521668649,0.00340590245,0.03126026783
99,0.004092281287,0.002514826512,0.003369045089,0.03119544902
100,0.004096119156,0.00250803231,0.003329497699,0.031131616
101,0.004100762641,0.00250147148,0.003289345204,0.03105382042
102,0.00410651115,0.002495047318,0.003249004231,0.03098499116
103,0.004113477651,0.002488948665,0.003207249018,0.03093802751
104,0.004121317513,0.002483298496,0.003164567755,0.03089539842
105,0.004129922939,0.002478001311,0.003121806952,0.03096042256
106,0.004139519536,0.002472955899,0.003078354197,0.03098649987
107,0.004150165547,0.002468170393,0.003036157538,0.03098118576
108,0.004161894351,0.002463718404,0.002996252917,0.03101141618
109,0.004175062608,0.00245957543,0.0029579522,0.03108207474
110,0.004189342555,0.002455759232,0.002921951377,0.03113990683
111,0.004204513309,0.00245219377,0.002887015285,0.03116865031
112,0.00422060364,0.002449088089,0.002855399418,0.03118593721
113,0.004238185444,0.002446229589,0.002825175353,0.03122757706
114,0.004256904161,0.002443719822,0.002799098167,0.031250014
115,0.004276501341,0.002441561521,0.002772413815,0.03134676451
116,0.004296439589,0.002439573096,0.002747595986,0.03136737324
117,0.004316740869,0.002437838855,0.00272243788,0.03140626568
118,0.004337700165,0.002436370483,0.002697622631,0.03141145646
119,0.004360001509,0.002435331598,0.002673401609,0.03141204409
120,0.004382902739,0.002434573261,0.002650517245,0.03138114278
121,0.004405595163,0.002433902734,0.002627515374,0.03143148489
122,0.004428431604,0.002433338106,0.002604962416,0.03145899585
123,0.004451766329,0.002432770787,0.00258300122,0.03146886571
124,0.004475004373,0.002432402449,0.002560871755,0.03151461404
125,0.004497668695,0.002432086069,0.002539645025,0.03155275067
126,0.004520102736,0.002431584952,0.002517735566,0.03160832517
127,0.004541944465,0.002431052898,0.00249585449,0.03166306789
128,0.004563260869,0.00243026649,0.002475770183,0.03169930058
129,0.00458377449,0.002429271826,0.002454525752,0.03175805329
130,0.004602740815,0.002428017067,0.002434000571,0.03182990221
131,0.00462042498,0.002426394064,0.002412151379,0.03189386106
132,0.004636008745,0.002424376446,0.002390507461,0.03194351664
133,0.004650166324,0.002421963851,0.002370119981,0.03195847817
134,0.004662709528,0.002419241596,0.002349806996,0.03196933777
135,0.00467379645,0.002416067824,0.002330214534,0.03193763675
136,0.004682655336,0.002412508201,0.002310700576,0.03200659011
137,0.00468893028,0.002408464704,0.002291449321,0.03202274431
138,0.004693247296,0.002404023608,0.002272203947,0.03197943712
139,0.004695147306,0.00239933673,0.002254060605,0.03200604095
140,0.004695856571,0.002394289342,0.002236659564,0.03203927697
141,0.004694963211,0.002388974285,0.002219871007,0.03208013544
142,0.004692303055,0.002383575777,0.002203037453,0.03208424914
143,0.004688833692,0.002377970861,0.002187780952,0.03209898003
144,0.004684837495,0.002372159439,0.002172887833,0.03210530193
145,0.004680201715,0.00236635021,0.002157430944,0.03211052989
146,0.00467468466,0.002360546499,0.0021424881,0.0321344152
147,0.004669267272,0.002354949381,0.002126886797,0.03217339677
148,0.004664057899,0.002349439188,0.002111441191,0.0322334168
149,0.004659546178,0.002343620781,0.002096218895,0.0323363331
150,0.004654909335,0.002337746577,0.002079791582,0.03240847336
151,0.004651360155,0.00233206505,0.002063574101,0.03248199388
152,0.00464927147,0.002326475164,0.002046579265,0.03254078614
153,0.004646486967,0.002321156415,0.002030921636,0.03268296974
154,0.004643885163,0.002315783414,0.002014651133,0.03274234587
155,0.004641485979,0.002310434173,0.001998667907,0.03282452548
156,0.004638888862,0.002305060257,0.001983093518,0.03291512454
157,0.004636834941,0.002299832286,0.001967882081,0.03305638323
158,0.004634675658,0.002294948672,0.001952520089,0.03321150189
159,0.004632537108,0.002290169243,0.001937460153,0.03333587658
160,0.004630453727,0.00228538881,0.001922468852,0.03346142637
161,0.004628149014,0.002281035492,0.001908134374,0.03359746043
162,0.004625909728,0.002276972605,0.001894620597,0.03370146705
163,0.004624312385,0.002273002862,0.001881148931,0.03388314814
164,0.004623232431,0.00226946361,0.001867540547,0.03407068393
165,0.004622197526,0.002266229691,0.001854623178,0.03425117942
166,0.004621733813,0.002263211467,0.001842561243,0.03435349788
167,0.004622007475,0.002260592961,0.001830184701,0.03443289203
168,0.004622773357,0.002258466479,0.001818105851,0.03452687384
169,0.004624844661,0.002256706514,0.00180563549,0.03464762677
170,0.004627579931,0.002255322627,0.001795024937,0.03472128099
171,0.00463056629,0.002254315865,0.001783636815,0.03475101805
172,0.004635054109,0.002253815723,0.001772477156,0.03472768763
173,0.004639794583,0.002253508802,0.001760846699,0.03478764
174,0.004644802965,0.002253320281,0.00175045067,0.03481304093
175,0.004650287852,0.002253012137,0.00174017846,0.03481074352
176,0.004656416386,0.002252776164,0.001730056149,0.03482355674
177,0.004663624447,0.002252319283,0.001721566539,0.03484911597
178,0.004670580448,0.00225202462,0.001713051103,0.03487044667
179,0.004677264782,0.002251829758,0.001703135427,0.03488398447
180,0.004684900798,0.002251097185,0.001693860247,0.03491204301
181,0.004692313924,0.002249850648,0.001684758461,0.03489591904
182,0.004699134361,0.002248110824,0.001675868061,0.03491129809
183,0.004705750551,0.002245834938,0.001668086071,0.0349223059
184,0.004712460503,0.002243171908,0.001661431439,0.03493790899
