# Region            : all region0
# Cells             : 256
# Volume            : 5.234326483827e-02
# Time              	volAverage(T)
1                   	2.741159710475e+02
2                   	2.748948139061e+02
3                   	2.754594105206e+02
4                   	2.758853845963e+02
5                   	2.762191361674e+02
6                   	2.764910686660e+02
7                   	2.767210765854e+02
8                   	2.769219764236e+02
9                   	2.771021461733e+02
10                  	2.772671489938e+02
11                  	2.774207328807e+02
12                  	2.775654600145e+02
13                  	2.777031092762e+02
14                  	2.778349367429e+02
15                  	2.779618459576e+02
16                  	2.780845002319e+02
17                  	2.782033973558e+02
18                  	2.783189197127e+02
19                  	2.784313681771e+02
20                  	2.785409852348e+02
21                  	2.786479708864e+02
22                  	2.787524936873e+02
23                  	2.788546984839e+02
24                  	2.789547118913e+02
25                  	2.790526462174e+02
26                  	2.791486023080e+02
27                  	2.792426716400e+02
28                  	2.793349378841e+02
29                  	2.794254780905e+02
30                  	2.795143636050e+02
31                  	2.796016607894e+02
32                  	2.796874315979e+02
33                  	2.797717340477e+02
34                  	2.798546226081e+02
35                  	2.799361485298e+02
36                  	2.800163601252e+02
37                  	2.800953030115e+02
38                  	2.801730203240e+02
39                  	2.802495529043e+02
40                  	2.803249394682e+02
41                  	2.803992167570e+02
42                  	2.804724196730e+02
43                  	2.805445814041e+02
44                  	2.806157335361e+02
45                  	2.806859061560e+02
46                  	2.807551279472e+02
47                  	2.808234262756e+02
48                  	2.808908272713e+02
49                  	2.809573559017e+02
50                  	2.810230360409e+02
51                  	2.810878905330e+02
52                  	2.811519412515e+02
53                  	2.812152091538e+02
54                  	2.812777143330e+02
55                  	2.813394760647e+02
56                  	2.814005128518e+02
57                  	2.814608424660e+02
58                  	2.815204819863e+02
59                  	2.815794478350e+02
60                  	2.816377558119e+02
61                  	2.816954211259e+02
62                  	2.817524584244e+02
63                  	2.818088818217e+02
64                  	2.818647049247e+02
65                  	2.819199408575e+02
66                  	2.819746022848e+02
67                  	2.820287014336e+02
68                  	2.820822501131e+02
69                  	2.821352597347e+02
70                  	2.821877413299e+02
71                  	2.822397055672e+02
72                  	2.822911627684e+02
73                  	2.823421229244e+02
74                  	2.823925957086e+02
75                  	2.824425904916e+02
76                  	2.824921163535e+02
77                  	2.825411820963e+02
78                  	2.825897962556e+02
79                  	2.826379671112e+02
80                  	2.826857026982e+02
81                  	2.827330108162e+02
82                  	2.827798990392e+02
83                  	2.828263747240e+02
84                  	2.828724450193e+02
85                  	2.829181168734e+02
86                  	2.829633970416e+02
87                  	2.830082920942e+02
88                  	2.830528084228e+02
89                  	2.830969522474e+02
90                  	2.831407296223e+02
91                  	2.831841464425e+02
92                  	2.832272084491e+02
93                  	2.832699212351e+02
94                  	2.833122902505e+02
95                  	2.833543208071e+02
96                  	2.833960180838e+02
97                  	2.834373871305e+02
98                  	2.834784328732e+02
99                  	2.835191601175e+02
100                 	2.835595735530e+02
101                 	2.835996777573e+02
102                 	2.836394771991e+02
103                 	2.836789762422e+02
104                 	2.837181791488e+02
105                 	2.837570900825e+02
106                 	2.837957131118e+02
107                 	2.838340522128e+02
108                 	2.838721112720e+02
109                 	2.839098940893e+02
110                 	2.839474043805e+02
111                 	2.839846457799e+02
112                 	2.840216218427e+02
113                 	2.840583360472e+02
114                 	2.840947917974e+02
115                 	2.841309924250e+02
116                 	2.841669411913e+02
117                 	2.842026412896e+02
118                 	2.842380958467e+02
119                 	2.842733079252e+02
120                 	2.843082805251e+02
121                 	2.843430165854e+02
122                 	2.843775189860e+02
123                 	2.844117905491e+02
124                 	2.844458340412e+02
125                 	2.844796521740e+02
126                 	2.845132476062e+02
127                 	2.845466229449e+02
128                 	2.845797807468e+02
129                 	2.846127235198e+02
130                 	2.846454537238e+02
131                 	2.846779737724e+02
132                 	2.847102860338e+02
133                 	2.847423928319e+02
134                 	2.847742964477e+02
135                 	2.848059991201e+02
136                 	2.848375030468e+02
137                 	2.848688103860e+02
138                 	2.848999232564e+02
139                 	2.849308437389e+02
140                 	2.849615738771e+02
141                 	2.849921156784e+02
142                 	2.850224711147e+02
143                 	2.850526421234e+02
144                 	2.850826306079e+02
145                 	2.851124384387e+02
146                 	2.851420674541e+02
147                 	2.851715194607e+02
148                 	2.852007962343e+02
149                 	2.852298995206e+02
150                 	2.852588310359e+02
151                 	2.852875924674e+02
152                 	2.853161854745e+02
153                 	2.853446116887e+02
154                 	2.853728727147e+02
155                 	2.854009701307e+02
156                 	2.854289054890e+02
157                 	2.854566803169e+02
158                 	2.854842961164e+02
159                 	2.855117543659e+02
160                 	2.855390565195e+02
161                 	2.855662040085e+02
162                 	2.855931982410e+02
163                 	2.856200406031e+02
164                 	2.856467324589e+02
165                 	2.856732751511e+02
166                 	2.856996700015e+02
167                 	2.857259183112e+02
168                 	2.857520213612e+02
169                 	2.857779804128e+02
170                 	2.858037967076e+02
171                 	2.858294714686e+02
172                 	2.858550059000e+02
173                 	2.858804011877e+02
174                 	2.859056584996e+02
175                 	2.859307789862e+02
176                 	2.859557637805e+02
177                 	2.859806139987e+02
178                 	2.860053307405e+02
179                 	2.860299150892e+02
180                 	2.860543681119e+02
181                 	2.860786908604e+02
182                 	2.861028843706e+02
183                 	2.861269496637e+02
184                 	2.861508877458e+02
185                 	2.861746996085e+02
186                 	2.861983862289e+02
187                 	2.862219485703e+02
188                 	2.862453875820e+02
189                 	2.862687041998e+02
190                 	2.862918993461e+02
191                 	2.863149739302e+02
192                 	2.863379288486e+02
193                 	2.863607649852e+02
194                 	2.863834832113e+02
195                 	2.864060843861e+02
196                 	2.864285693569e+02
197                 	2.864509389591e+02
198                 	2.864731940165e+02
199                 	2.864953353415e+02
200                 	2.865173637355e+02
201                 	2.865392799887e+02
202                 	2.865610848805e+02
203                 	2.865827791797e+02
204                 	2.866043636447e+02
205                 	2.866258390237e+02
206                 	2.866472060545e+02
207                 	2.866684654653e+02
208                 	2.866896179743e+02
209                 	2.867106642902e+02
210                 	2.867316051121e+02
211                 	2.867524411302e+02
212                 	2.867731730251e+02
213                 	2.867938014687e+02
214                 	2.868143271240e+02
215                 	2.868347506451e+02
216                 	2.868550726780e+02
217                 	2.868752938598e+02
218                 	2.868954148196e+02
219                 	2.869154361783e+02
220                 	2.869353585489e+02
221                 	2.869551825362e+02
222                 	2.869749087376e+02
223                 	2.869945377428e+02
224                 	2.870140701337e+02
225                 	2.870335064852e+02
226                 	2.870528473648e+02
227                 	2.870720933327e+02
228                 	2.870912449423e+02
229                 	2.871103027399e+02
230                 	2.871292672652e+02
231                 	2.871481390509e+02
232                 	2.871669186233e+02
233                 	2.871856065022e+02
234                 	2.872042032009e+02
235                 	2.872227092266e+02
236                 	2.872411250802e+02
237                 	2.872594512565e+02
238                 	2.872776882443e+02
239                 	2.872958365265e+02
240                 	2.873138965803e+02
241                 	2.873318688771e+02
242                 	2.873497538825e+02
243                 	2.873675520570e+02
244                 	2.873852638553e+02
245                 	2.874028897268e+02
246                 	2.874204301157e+02
247                 	2.874378854609e+02
248                 	2.874552561964e+02
249                 	2.874725427509e+02
250                 	2.874897455482e+02
251                 	2.875068650074e+02
252                 	2.875239015427e+02
253                 	2.875408555635e+02
254                 	2.875577274746e+02
255                 	2.875745176763e+02
256                 	2.875912265642e+02
257                 	2.876078545297e+02
258                 	2.876244019598e+02
259                 	2.876408692369e+02
260                 	2.876572567395e+02
261                 	2.876735648419e+02
262                 	2.876897939141e+02
263                 	2.877059443224e+02
264                 	2.877220164287e+02
265                 	2.877380105912e+02
266                 	2.877539271645e+02
267                 	2.877697664990e+02
268                 	2.877855289415e+02
269                 	2.878012148353e+02
270                 	2.878168245199e+02
271                 	2.878323583314e+02
272                 	2.878478166021e+02
273                 	2.878631996612e+02
274                 	2.878785078343e+02
275                 	2.878937414438e+02
276                 	2.879089008086e+02
277                 	2.879239862446e+02
278                 	2.879389980645e+02
279                 	2.879539365776e+02
280                 	2.879688020903e+02
281                 	2.879835949061e+02
282                 	2.879983153253e+02
283                 	2.880129636453e+02
284                 	2.880275401607e+02
285                 	2.880420451631e+02
286                 	2.880564789413e+02
287                 	2.880708417816e+02
288                 	2.880851339672e+02
289                 	2.880993557790e+02
290                 	2.881135074949e+02
291                 	2.881275893905e+02
292                 	2.881416017387e+02
293                 	2.881555448099e+02
294                 	2.881694188721e+02
295                 	2.881832241908e+02
296                 	2.881969610292e+02
297                 	2.882106296480e+02
298                 	2.882242303056e+02
299                 	2.882377632582e+02
300                 	2.882512287598e+02
301                 	2.882646270621e+02
302                 	2.882779584145e+02
303                 	2.882912230645e+02
304                 	2.883044212575e+02
305                 	2.883175532365e+02
306                 	2.883306192428e+02
307                 	2.883436195155e+02
308                 	2.883565542918e+02
309                 	2.883694238070e+02
310                 	2.883822282944e+02
311                 	2.883949679854e+02
312                 	2.884076431096e+02
313                 	2.884202538948e+02
314                 	2.884328005670e+02
315                 	2.884452833503e+02
316                 	2.884577024672e+02
317                 	2.884700581385e+02
318                 	2.884823505832e+02
319                 	2.884945800188e+02
320                 	2.885067466609e+02
321                 	2.885188507239e+02
322                 	2.885308924202e+02
323                 	2.885428719610e+02
324                 	2.885547895557e+02
325                 	2.885666454124e+02
326                 	2.885784397375e+02
327                 	2.885901727362e+02
328                 	2.886018446120e+02
329                 	2.886134555673e+02
330                 	2.886250058028e+02
331                 	2.886364955180e+02
332                 	2.886479249110e+02
333                 	2.886592941787e+02
334                 	2.886706035165e+02
335                 	2.886818531187e+02
336                 	2.886930431781e+02
337                 	2.887041738867e+02
338                 	2.887152454347e+02
339                 	2.887262580116e+02
340                 	2.887372118054e+02
341                 	2.887481070032e+02
342                 	2.887589437906e+02
343                 	2.887697223525e+02
344                 	2.887804428723e+02
345                 	2.887911055326e+02
346                 	2.888017105147e+02
347                 	2.888122579991e+02
348                 	2.888227481650e+02
349                 	2.888331811908e+02
350                 	2.888435572536e+02
351                 	2.888538765299e+02
352                 	2.888641391950e+02
353                 	2.888743454231e+02
354                 	2.888844953878e+02
355                 	2.888945892615e+02
356                 	2.889046272159e+02
357                 	2.889146094215e+02
358                 	2.889245360482e+02
359                 	2.889344072649e+02
360                 	2.889442232396e+02
361                 	2.889539841397e+02
