# Region            : cellZone gateZone
# Cells             : 1005
# Volume            : 1.730603759569e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
0.00016002151       	2.479020899735e+00	2.939813170015e+02	1.274972151230e+00	1.087281403507e+05
0.00016107747       	2.478203075396e+00	2.941630818213e+02	1.277030053104e+00	1.090096045673e+05
0.00016213534       	2.477372251837e+00	2.943478168157e+02	1.279125507983e+00	1.092961732134e+05
0.00016319223       	2.476526389776e+00	2.945355394694e+02	1.281251784078e+00	1.095870427129e+05
0.00016424806       	2.475662356622e+00	2.947268934844e+02	1.283411337608e+00	1.098826648408e+05
0.00016530319       	2.474777774264e+00	2.949224270127e+02	1.285606490391e+00	1.101834278782e+05
0.00016635785       	2.473871036556e+00	2.951227311904e+02	1.287844050732e+00	1.104903517741e+05
0.00016741248       	2.472942156835e+00	2.953278280032e+02	1.290126579658e+00	1.108037355728e+05
0.00016846883       	2.471991276586e+00	2.955379175277e+02	1.292460647822e+00	1.111244397398e+05
0.00016952709       	2.471020470576e+00	2.957528611983e+02	1.294848319056e+00	1.114527315937e+05
0.00017058538       	2.470034009913e+00	2.959720270889e+02	1.297286489327e+00	1.117881296896e+05
0.00017164262       	2.469036107616e+00	2.961949829777e+02	1.299774647712e+00	1.121305006061e+05
0.00017269897       	2.468025434406e+00	2.964215273992e+02	1.302313341111e+00	1.124799033095e+05
0.00017375503       	2.467000759950e+00	2.966511593143e+02	1.304897414908e+00	1.128355050222e+05
0.0001748104        	2.465962362845e+00	2.968835780290e+02	1.307522705297e+00	1.131966499309e+05
0.00017586653       	2.464907579540e+00	2.971186254490e+02	1.310182143682e+00	1.135622454948e+05
0.00017692462       	2.463836193784e+00	2.973562579004e+02	1.312871877973e+00	1.139315634762e+05
0.00017798437       	2.462748934312e+00	2.975976699288e+02	1.315602608422e+00	1.143062807667e+05
0.00017904315       	2.461647409474e+00	2.978423062284e+02	1.318364110719e+00	1.146850653834e+05
0.00018010094       	2.460532418752e+00	2.980901607573e+02	1.321155925676e+00	1.150680100018e+05
0.00018115827       	2.459405774565e+00	2.983410141124e+02	1.323981372818e+00	1.154556409758e+05
0.00018221489       	2.458270770564e+00	2.985941353995e+02	1.326836049011e+00	1.158473673995e+05
0.00018327167       	2.457126687722e+00	2.988496226660e+02	1.329723179493e+00	1.162436806598e+05
0.00018433043       	2.455968222658e+00	2.991082859846e+02	1.332650220427e+00	1.166456864668e+05
0.00018539146       	2.454792608511e+00	2.993706050253e+02	1.335617655961e+00	1.170534777747e+05
0.00018645159       	2.453599193599e+00	2.996364296942e+02	1.338617165047e+00	1.174659348566e+05
0.00018751062       	2.452385302757e+00	2.999061221595e+02	1.341648540543e+00	1.178830390183e+05
0.00018856881       	2.451151764073e+00	3.001800925830e+02	1.344717364221e+00	1.183055667070e+05
0.00018962658       	2.449902025055e+00	3.004580910745e+02	1.347827110292e+00	1.187338833789e+05
