iteration,Cd,Cl,Cm
0.0,0.3457342912263,-0.01957783004919,0.1877913330484
1.0,0.5749585145762,-0.3282389188518,0.4827546331866
2.0,0.6863133175805,-0.5756629890052,0.7356659948017
3.0,0.5711209714906,-0.6353028320456,0.749332449643
4.0,0.4165631348569,-0.6147243988117,0.6799774241692
5.0,0.3387950311186,-0.5910836411514,0.6394724570868
6.0,0.3350833016131,-0.5878354483385,0.6520293949789
7.0,0.3595126737466,-0.5949833899163,0.6872319716398
8.0,0.3804396726839,-0.5986480912853,0.7162210372749
9.0,0.3912078253009,-0.5928621319848,0.7273208669938
10.0,0.3959478647471,-0.5803175229338,0.7271615637046
11.0,0.3996841758936,-0.5635468473598,0.720941236415
12.0,0.4043140035714,-0.5426049019343,0.7074458609374
13.0,0.4084310054337,-0.5190185539835,0.6896053517043
14.0,0.4119220203613,-0.491900138509,0.6649598276583
15.0,0.4139790311331,-0.4624609079927,0.6344115207347
16.0,0.4149715471243,-0.4315875005466,0.6016599974978
17.0,0.4149035540381,-0.4014233253237,0.5689356633219
18.0,0.4141362944433,-0.3738725948059,0.5389510467847
19.0,0.4134931670535,-0.3498732435331,0.5133009978982
20.0,0.4128374659421,-0.3288565922209,0.4902610215774
21.0,0.4127196948956,-0.310406848043,0.4693274718909
22.0,0.4135471264109,-0.2950004966391,0.451522126819
23.0,0.4152168414637,-0.2812780593574,0.435367897521
24.0,0.4172372805038,-0.2673310692618,0.417809992998
25.0,0.4194815463557,-0.2523868594087,0.3967097435947
26.0,0.4214486666581,-0.2390625083545,0.3774468131524
27.0,0.4227168184352,-0.2266621476346,0.3571922431138
28.0,0.4235645779152,-0.2151669377755,0.3354059774989
29.0,0.424476223641,-0.2043053847021,0.312638528517
30.0,0.4256626411663,-0.1930547860049,0.288257551208
31.0,0.4267249403334,-0.1802475091953,0.2600815666488
32.0,0.4274804051265,-0.1652632956912,0.2264522851611
33.0,0.4278829668869,-0.1487802149824,0.1887804060708
34.0,0.4276854859222,-0.1334978695915,0.1528546548076
35.0,0.4268530458697,-0.1180260224616,0.1149992466047
36.0,0.4254338816402,-0.1017368506677,0.07508545700433
37.0,0.42328768537,-0.08454954176237,0.03381884451231
38.0,0.4203955776556,-0.06521467905189,-0.01242787618468
39.0,0.4169345937297,-0.04615617029154,-0.05845945384351
40.0,0.4131521400517,-0.02746139528285,-0.103755483749
41.0,0.4089733560846,-0.009457777241847,-0.1464975159017
42.0,0.4047175383964,0.006947479528898,-0.1846463417409
43.0,0.4006959066194,0.02244991815159,-0.2177841123057
44.0,0.3974540531135,0.03457168952882,-0.2438229638148
45.0,0.3949605963535,0.04327303826235,-0.2650445594132
46.0,0.3933300565133,0.05071190267198,-0.2856446352907
47.0,0.3924811133075,0.05804869138872,-0.3079176778775
48.0,0.3924567062293,0.06434978774283,-0.3303095723471
49.0,0.3927318144895,0.07035678614178,-0.3527714001158
50.0,0.3931341975555,0.07661415955343,-0.3759474413183
51.0,0.3934619791141,0.08357041042338,-0.4003676744625
52.0,0.3933185215604,0.09157646446353,-0.4262944710231
53.0,0.3928486506577,0.1003386737186,-0.4520946847004
54.0,0.3919974692507,0.1093442853334,-0.4755530237075
55.0,0.3906031848051,0.1201935091446,-0.4976758215161
56.0,0.3885793947554,0.1310492229265,-0.5170039997439
57.0,0.3861005632172,0.140467025593,-0.5314086453344
58.0,0.3832785468876,0.1475889212998,-0.5403670072702
59.0,0.380341117464,0.1519761762373,-0.5445797062845
60.0,0.3773164871264,0.1541947105451,-0.5458213344101
61.0,0.3739486979899,0.1540754783081,-0.5443273537934
62.0,0.3702290044795,0.1519429995504,-0.5409936382056
63.0,0.3663565162594,0.1483446321084,-0.5359404649793
64.0,0.3622165574697,0.1432856117605,-0.5277523205912
65.0,0.3578268420317,0.1379175439535,-0.5169502874329
66.0,0.3536076637195,0.1315840616588,-0.5027494759752
67.0,0.3498808470547,0.1227242651761,-0.4825897570865
68.0,0.3465942473813,0.1116117981724,-0.4569793787746
69.0,0.3436883929408,0.09851157074619,-0.4266346735444
70.0,0.3411425625876,0.08455274581482,-0.393974565515
71.0,0.3389544308473,0.07167486820864,-0.362337011267
72.0,0.3368072303006,0.0606496825057,-0.334411432524
73.0,0.3343732995709,0.05201212405354,-0.3121684683819
74.0,0.3314721189096,0.04601604040491,-0.2969233138228
75.0,0.328205406075,0.04203485533116,-0.289445010492
76.0,0.3248572871083,0.0400510507859,-0.2894817044041
77.0,0.3215660343526,0.0397472136509,-0.2954855013327
78.0,0.3182819117932,0.0410573101562,-0.3068983759951
79.0,0.3148776985579,0.04353569789112,-0.3233347927416
80.0,0.311335529501,0.04731969995366,-0.3431781723454
81.0,0.3079510449012,0.05279622260957,-0.3650559347481
82.0,0.3048466454705,0.05937372275783,-0.3886135610634
83.0,0.3025308201884,0.06705293409271,-0.4137723297563
84.0,0.3010768983158,0.07539497794788,-0.4396675731197
85.0,0.3004960636948,0.08417226985061,-0.4653221202555
86.0,0.3007294017825,0.09392253140465,-0.4905388796169
87.0,0.3016081159331,0.1043744205324,-0.5143440150408
88.0,0.3029176575419,0.1148979937444,-0.5360696643489
