iteration,Cd
0.0,0.3267465512594
1.0,0.5769887580792
2.0,0.6857834751731
3.0,0.5705028095958
4.0,0.4154112802002
5.0,0.3408526210864
6.0,0.3443122660435
7.0,0.376617073777
8.0,0.4031822418218
9.0,0.4168615970046
10.0,0.4227078229741
11.0,0.4261587515424
12.0,0.4296105070568
13.0,0.4330803751881
14.0,0.4357904157271
15.0,0.4378283671025
16.0,0.4392342019631
17.0,0.4401208698735
18.0,0.4408551038244
19.0,0.4411210944972
20.0,0.441048701184
21.0,0.4403499421896
22.0,0.4389096664233
23.0,0.4364075593568
24.0,0.433494060056
25.0,0.4306452292363
26.0,0.4279583735571
27.0,0.4256604980271
28.0,0.4238530947383
29.0,0.4219245812478
30.0,0.4192945410156
31.0,0.4161206146112
32.0,0.4133189217774
33.0,0.4111111318128
34.0,0.4096975829533
35.0,0.409357957627
36.0,0.4098488367079
37.0,0.4111221437301
38.0,0.4124459946129
39.0,0.4136958293658
40.0,0.4147672038084
41.0,0.4154909221248
42.0,0.4160262182025
43.0,0.4164896796853
44.0,0.4171115094175
45.0,0.4176871182438
46.0,0.418272778541
47.0,0.4191223098278
48.0,0.419988177731
49.0,0.4208339517772
50.0,0.4214885062465
51.0,0.4220726980484
52.0,0.4221937902977
53.0,0.421603280902
54.0,0.4201896878994
55.0,0.4181834893743
56.0,0.4157490670244
57.0,0.4133652834387
58.0,0.4113171252864
59.0,0.4095902999995
60.0,0.4084224814938
61.0,0.4077287505598
62.0,0.4074970052934
63.0,0.4079722283872
64.0,0.4090639325802
65.0,0.4107298308605
66.0,0.4128434658008
67.0,0.4153455654806
68.0,0.4179911571171
69.0,0.4207229167525
70.0,0.4234100923253
71.0,0.4259911937961
72.0,0.4282863518152
73.0,0.4299648603698
74.0,0.4309153196896
75.0,0.4311276499677
76.0,0.4305260429442
77.0,0.4291595431471
78.0,0.4270706541544
79.0,0.4241195049688
80.0,0.4202809264784
81.0,0.4156163689892
82.0,0.4103335782936
83.0,0.4047742701467
84.0,0.3991854473055
85.0,0.3939390461369
86.0,0.3891686541779
87.0,0.3848463736682
88.0,0.3810314471539
89.0,0.3777832983333
90.0,0.3751096430455
91.0,0.3731028347359
92.0,0.3717683352969
93.0,0.3709364864208
94.0,0.3705117529097
95.0,0.3704549521347
96.0,0.3707358308096
97.0,0.3712646144046
98.0,0.3719168856907
99.0,0.3726803055878
100.0,0.3733207872782
101.0,0.373802319075
102.0,0.3740790867612
103.0,0.3742313552556
104.0,0.3742059429394
105.0,0.3740393334581
106.0,0.3735762080819
107.0,0.3729229338302
108.0,0.3720739205202
109.0,0.3710471436947
110.0,0.3698717199693
111.0,0.3686793684933
112.0,0.3674864370628
113.0,0.3663535027833
114.0,0.3652746973548
115.0,0.3643262111475
116.0,0.3633219754558
117.0,0.3622920615405
118.0,0.3612449633382
119.0,0.3601812634146
120.0,0.3590848147266
121.0,0.358075628777
122.0,0.3571023685793
123.0,0.35612941986
124.0,0.3550953146946
125.0,0.3539776598233
126.0,0.3528369581719
127.0,0.3516061536878
128.0,0.3502567732072
129.0,0.3487908960309
130.0,0.3471840873235
131.0,0.3454060363809
132.0,0.3435983862211
133.0,0.341708827394
134.0,0.3397852276993
135.0,0.337973822776
136.0,0.3362356223054
137.0,0.3345892413244
138.0,0.3330387643275
139.0,0.3316352184126
140.0,0.3304156729929
141.0,0.3294312632028
142.0,0.3286693045268
143.0,0.3281122943766
144.0,0.3277636611702
145.0,0.3275797322776
146.0,0.3275298978905
147.0,0.3276258397396
148.0,0.3278410183645
149.0,0.3280958505139
150.0,0.3283011866084
151.0,0.3285040613221
152.0,0.3287208587199
153.0,0.328984305974
154.0,0.329262232464
155.0,0.3295385498707
156.0,0.3298662850558
157.0,0.3302478303555
158.0,0.3306723203022
159.0,0.3311885915529
160.0,0.3318056497572
161.0,0.3325111602578
162.0,0.3333552359168
163.0,0.3342681010496
164.0,0.3352441493499
165.0,0.3362168172778
166.0,0.3371407287021
167.0,0.3380116846825
168.0,0.3388143550268
169.0,0.3394789736922
170.0,0.3400144214105
171.0,0.3403367984659
172.0,0.3404640467973
173.0,0.3404129142083
174.0,0.3401962847007
175.0,0.3398511130017
176.0,0.3394843081092
177.0,0.3391952570661
178.0,0.3390775912503
179.0,0.3390703812151
180.0,0.3391781995275
181.0,0.3393161575827
182.0,0.3394882908126
183.0,0.339597401532
184.0,0.3396896517748
185.0,0.3397816583939
186.0,0.3398157511052
187.0,0.3397523171856
188.0,0.339541958357
189.0,0.3391745432417
190.0,0.3386994805883
191.0,0.3381103879294
192.0,0.3374182701751
193.0,0.3366365226054
194.0,0.3357842925853
195.0,0.3348361000688
