# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.50
#  x (mm)    T (deg C)
   0.33      16.79 
   0.58      17.91 
   0.84      18.62 
   1.09      19.85 
   1.6       21.61 
   2.11      22.99 
   2.61      24.23 
   3.25      25.45 
   3.88      25.91 
   5.15      28.08 
   6.42      28.47 
   7.69      29.39 
   8.96      29.66 
   10.23     30.23 
   11.5      30.44 
   12.77     30.85 
   15.31     31.32 
   17.85     31.88 
   20.39     32.3  
   22.93     32.98 
   25.47     33.3  
   28.01     33.84 
   30.55     33.95 
   33.09     34.53 
   35.63     35    
   38.17     34.72 
   40.57     35.09 
   43.11     36    
   45.65     36.2  
   48.19     36.96 
   50.73     36.83 
   53.27     37.23 
   55.81     37.23 
   58.35     37.87 
   60.89     38.83 
   63.43     39.15 
   64.7      39.67 
   65.97     40.08 
   67.24     40.28 
   68.51     40.65 
   69.78     40.88 
   71.05     42.74 
   72.32     44.1  
   72.95     45.03 
   73.59     46.45 
   74.09     47.59 
   74.6      48.74 
   75.11     50.66 
   75.36     51.27 
   75.62     52.64 
   75.87     53.34 
