# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.60
#  x (mm)    T (deg C)
   0.33     16.45 
   0.58     17.43 
   0.84     18.63 
   1.09     19.77 
   1.6      21.52 
   2.11     23.05 
   2.61     24.21 
   3.25     25.75 
   3.88     26.69 
   5.15     27.64 
   6.42     29.11 
   7.69     29.99 
   8.96     30    
   10.23    30.61 
   11.5     31.42 
   12.77    31.8  
   15.31    31.79 
   17.85    32.56 
   20.39    32.74 
   22.93    33.19 
   25.47    33.71 
   28.01    34.09 
   30.55    34.46 
   33.09    35.58 
   35.63    35.98 
   38.17    36.01 
   40.57    36.69 
   43.11    36.05 
   45.65    36.81 
   48.19    36.98 
   50.73    37.37 
   53.27    37.8  
   55.81    38.29 
   58.35    39.22 
   60.89    39.62 
   63.43    40.06 
   64.7     40.37 
   65.97    40.2  
   67.24    41    
   68.51    41.25 
   69.78    42.12 
   71.05    42.66 
   72.32    44.85 
   72.95    45.75 
   73.59    47.11 
   74.09    47.87 
   74.6     49.22 
   75.11    51.18 
   75.36    51.95 
   75.62    53.11 
   75.87    53.64 
