# Natural Convection in Tall Cavity: Ra=1.43E+6
# Expts of Betts and Bokhari
# Mean temperature profile through z= 0, y/H= 0.70
#  x (mm)    T (deg C)
   0.33    17.28 
   0.58    18.16 
   0.84    19.48 
   1.09    20.46 
   1.6     22.16 
   2.11    23.72 
   2.61    24.87 
   3.25    26.36 
   3.88    27.28 
   5.15    28.49 
   6.42    30.16 
   7.69    30.56 
   8.96    30.86 
   10.23   31.43 
   11.5    31.8  
   12.77   32.04 
   15.31   32.82 
   17.85   33.17 
   20.39   33.49 
   22.93   34.2  
   25.47   34.48 
   28.01   35.44 
   30.55   35.55 
   33.09   36    
   35.63   36.1  
   38.17   36.01 
   40.57   36.4  
   43.11   36.5  
   45.65   37.18 
   48.19   37.54 
   50.73   37.94 
   53.27   38.45 
   55.81   39.06 
   58.35   39.59 
   60.89   39.72 
   63.43   40.72
   64.7    40.56 
   65.97   41.13 
   67.24   41.53 
   68.51   41.94 
   69.78   42.44 
   71.05   43.4  
   72.32   45.13 
   72.95   46.33 
   73.59   47.09 
   74.09   48.33 
   74.6    49.61 
   75.11   51.31 
   75.36   52.16 
   75.62   53.34 
   75.87   53.75 
