utc	avail_GiB	snappy_RSS_GiB	stage
2026-09-12T02:10:27Z	11.11	3.82	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:10:44Z	10.80	3.90	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:10:54Z	11.64	3.94	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:11:04Z	12.59	3.08	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:11:14Z	12.44	2.77	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T02:11:24Z	11.86	2.98	    Number of edges to retest   : 1068379
2026-09-12T02:11:34Z	12.32	3.33	    Number of edges to retest   : 1068379
2026-09-12T02:11:44Z	12.50	3.46	    Number of edges to retest   : 1068379
2026-09-12T02:11:54Z	12.00	3.47	
2026-09-12T02:12:04Z	11.47	3.47	
2026-09-12T02:12:14Z	11.05	3.47	
2026-09-12T02:12:25Z	11.26	3.47	
2026-09-12T02:12:35Z	10.97	3.47	
2026-09-12T02:12:45Z	10.70	3.59	
2026-09-12T02:12:55Z	10.22	3.47	
2026-09-12T02:13:05Z	10.96	3.59	
2026-09-12T02:13:15Z	10.74	3.64	
2026-09-12T02:13:25Z	10.77	3.64	
2026-09-12T02:13:35Z	10.28	3.64	
2026-09-12T02:13:45Z	10.33	3.64	
2026-09-12T02:13:55Z	11.31	3.64	
2026-09-12T02:14:06Z	10.66	3.64	
2026-09-12T02:14:16Z	10.46	3.47	
2026-09-12T02:14:26Z	11.24	3.47	
2026-09-12T02:14:36Z	10.61	3.47	
2026-09-12T02:14:46Z	10.88	3.47	
2026-09-12T02:14:56Z	10.66	3.47	
2026-09-12T02:15:06Z	11.08	3.47	
2026-09-12T02:15:16Z	10.61	3.47	
2026-09-12T02:15:26Z	10.90	3.47	
2026-09-12T02:15:36Z	10.74	3.47	
2026-09-12T02:15:47Z	10.72	3.47	
2026-09-12T02:15:57Z	10.85	3.47	
2026-09-12T02:16:07Z	10.46	3.94	
