stage	wall_s	ranks	core_min
generate	1	1	0.0167
coarsen	9	1	0.1500
p3d2asc_L3	0	1	0.0000
plot3dToFoam_L3	0	1	0.0000
checkMesh_L3	0	1	0.0000
p3d2asc_L2	0	1	0.0000
plot3dToFoam_L2	1	1	0.0167
checkMesh_L2	1	1	0.0167
p3d2asc_L1	1	1	0.0167
plot3dToFoam_L1	5	1	0.0833
checkMesh_L1	5	1	0.0833
TOTAL	23	1	0.3833
