# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
1                   	DILUPBiCGStab	1.000000000000e+00	4.312368793490e-02	1	1.000000000000e+00	1.728655737150e-02	1	false	DICPCG	1.000000000000e+00	9.653359510440e-03	147	true
2                   	DILUPBiCGStab	2.303990121430e-01	2.637467550660e-03	1	3.094647146460e-01	1.837978255460e-02	1	false	DICPCG	8.610559098290e-02	7.667597110250e-04	155	true
3                   	DILUPBiCGStab	1.140317341760e-01	1.397410674530e-03	1	1.676405206650e-01	6.330919851940e-03	1	false	DICPCG	6.052934211530e-02	6.043067728420e-04	149	true
4                   	DILUPBiCGStab	6.954989021700e-02	8.441096374580e-04	1	1.037412942930e-01	3.679195291340e-03	1	false	DICPCG	4.771152859960e-02	4.463347678090e-04	151	true
5                   	DILUPBiCGStab	4.860304943990e-02	5.461118743630e-04	1	7.348773743730e-02	2.810306218130e-03	1	false	DICPCG	3.822422812890e-02	3.395176282170e-04	148	true
6                   	DILUPBiCGStab	3.663591108030e-02	3.272831287480e-03	1	5.654042114710e-02	2.195083346800e-03	1	false	DICPCG	3.077174556250e-02	2.982062142980e-04	137	true
7                   	DILUPBiCGStab	2.926808977670e-02	2.416693483820e-03	1	4.483013728220e-02	1.770177239000e-03	1	false	DICPCG	2.590676557860e-02	2.519370717200e-04	135	true
8                   	DILUPBiCGStab	2.395356691350e-02	1.885778311310e-03	1	3.704934637810e-02	1.468180170950e-03	1	false	DICPCG	2.239981326480e-02	2.013486950630e-04	134	true
9                   	DILUPBiCGStab	2.029824561580e-02	1.540898249460e-03	1	3.163474264850e-02	1.251920778950e-03	1	false	DICPCG	1.963164578750e-02	1.869143581380e-04	145	true
10                  	DILUPBiCGStab	1.764397664090e-02	1.296426445540e-03	1	2.769587845800e-02	1.092423361580e-03	1	false	DICPCG	1.738502972360e-02	1.661842607040e-04	147	true
11                  	DILUPBiCGStab	1.563511967190e-02	1.112315157340e-03	1	2.471079380750e-02	9.723328548110e-04	1	false	DICPCG	1.561251653960e-02	1.544475665850e-04	147	true
12                  	DILUPBiCGStab	1.402695812800e-02	9.664949416600e-04	1	2.237389604150e-02	8.825438570390e-04	1	false	DICPCG	1.439902423520e-02	1.397081890090e-04	146	true
13                  	DILUPBiCGStab	1.270291204930e-02	8.503675708770e-04	1	2.048861422470e-02	8.164541440090e-04	1	false	DICPCG	1.365933243780e-02	1.331723966560e-04	146	true
14                  	DILUPBiCGStab	1.160219283860e-02	7.587123492090e-04	1	1.892816385960e-02	7.646821751540e-04	1	false	DICPCG	1.302736007200e-02	1.217031985730e-04	147	true
