# Region            : cellZone slabA
# Cells             : 60
# Volume            : 6.972459419793e-09
# Time              	volAverage(p)
225                 	8.503263372173e+03
226                 	8.503263375420e+03
227                 	8.503263378500e+03
228                 	8.503263381133e+03
229                 	8.503263382883e+03
230                 	8.503263383726e+03
231                 	8.503263383785e+03
232                 	8.503263384112e+03
233                 	8.503263384086e+03
234                 	8.503263383997e+03
235                 	8.503263382972e+03
236                 	8.503263382121e+03
237                 	8.503263381034e+03
238                 	8.503263379974e+03
239                 	8.503263378618e+03
240                 	8.503263377216e+03
241                 	8.503263376321e+03
242                 	8.503263374551e+03
243                 	8.503263373204e+03
244                 	8.503263372105e+03
245                 	8.503263371095e+03
246                 	8.503263369960e+03
247                 	8.503263369258e+03
248                 	8.503263368260e+03
249                 	8.503263366836e+03
250                 	8.503263365897e+03
251                 	8.503263365519e+03
252                 	8.503263365011e+03
253                 	8.503263364725e+03
254                 	8.503263364421e+03
255                 	8.503263363664e+03
256                 	8.503263363021e+03
257                 	8.503263362881e+03
258                 	8.503263362958e+03
259                 	8.503263363185e+03
260                 	8.503263362734e+03
261                 	8.503263362511e+03
262                 	8.503263362363e+03
263                 	8.503263362433e+03
264                 	8.503263362813e+03
265                 	8.503263362927e+03
266                 	8.503263362921e+03
267                 	8.503263363057e+03
268                 	8.503263362978e+03
269                 	8.503263362875e+03
270                 	8.503263363198e+03
271                 	8.503263363496e+03
272                 	8.503263363490e+03
273                 	8.503263363891e+03
274                 	8.503263363776e+03
275                 	8.503263363289e+03
276                 	8.503263363630e+03
277                 	8.503263364343e+03
278                 	8.503263364504e+03
279                 	8.503263364023e+03
280                 	8.503263364161e+03
281                 	8.503263364007e+03
282                 	8.503263364288e+03
283                 	8.503263364617e+03
284                 	8.503263364494e+03
285                 	8.503263364666e+03
286                 	8.503263364455e+03
287                 	8.503263364470e+03
288                 	8.503263364602e+03
289                 	8.503263364706e+03
290                 	8.503263364717e+03
291                 	8.503263364735e+03
292                 	8.503263364176e+03
293                 	8.503263364100e+03
294                 	8.503263364458e+03
295                 	8.503263364674e+03
296                 	8.503263364836e+03
297                 	8.503263364689e+03
298                 	8.503263364404e+03
299                 	8.503263364227e+03
300                 	8.503263364550e+03
301                 	8.503263364620e+03
302                 	8.503263364697e+03
303                 	8.503263364532e+03
304                 	8.503263364240e+03
305                 	8.503263364326e+03
306                 	8.503263364466e+03
307                 	8.503263364690e+03
308                 	8.503263364417e+03
309                 	8.503263364233e+03
310                 	8.503263364490e+03
311                 	8.503263364476e+03
312                 	8.503263364343e+03
313                 	8.503263364209e+03
314                 	8.503263364272e+03
315                 	8.503263364599e+03
316                 	8.503263364480e+03
317                 	8.503263364547e+03
318                 	8.503263364313e+03
319                 	8.503263364206e+03
320                 	8.503263364253e+03
321                 	8.503263364315e+03
322                 	8.503263364467e+03
323                 	8.503263364592e+03
324                 	8.503263364276e+03
325                 	8.503263364387e+03
326                 	8.503263364814e+03
327                 	8.503263364278e+03
328                 	8.503263364083e+03
329                 	8.503263364247e+03
330                 	8.503263364404e+03
331                 	8.503263364499e+03
332                 	8.503263364562e+03
333                 	8.503263364320e+03
334                 	8.503263364538e+03
335                 	8.503263364352e+03
336                 	8.503263364382e+03
337                 	8.503263364318e+03
338                 	8.503263364353e+03
339                 	8.503263364421e+03
340                 	8.503263364575e+03
341                 	8.503263364114e+03
342                 	8.503263364213e+03
343                 	8.503263364516e+03
344                 	8.503263364564e+03
345                 	8.503263364615e+03
346                 	8.503263364518e+03
347                 	8.503263364445e+03
348                 	8.503263364151e+03
349                 	8.503263364187e+03
350                 	8.503263364139e+03
351                 	8.503263364485e+03
352                 	8.503263364854e+03
353                 	8.503263364319e+03
354                 	8.503263364398e+03
355                 	8.503263364331e+03
356                 	8.503263364384e+03
357                 	8.503263364514e+03
358                 	8.503263364547e+03
359                 	8.503263364197e+03
360                 	8.503263364408e+03
361                 	8.503263364212e+03
362                 	8.503263364462e+03
363                 	8.503263364388e+03
364                 	8.503263364569e+03
365                 	8.503263364545e+03
366                 	8.503263364570e+03
367                 	8.503263364202e+03
368                 	8.503263364093e+03
369                 	8.503263364503e+03
370                 	8.503263364338e+03
371                 	8.503263364641e+03
372                 	8.503263364255e+03
373                 	8.503263364150e+03
374                 	8.503263364300e+03
375                 	8.503263364776e+03
376                 	8.503263364715e+03
377                 	8.503263364356e+03
378                 	8.503263363999e+03
379                 	8.503263364089e+03
380                 	8.503263364658e+03
