mesh_cell_index,x_min_m,x_max_m,y_min_m,y_max_m,module_cell,T_K_at_t_0s,T_K_at_t_30s,T_K_at_t_60s,T_K_at_t_120s,T_K_at_t_300s,T_K_at_t_900s
87,0.035000000,0.040000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
88,0.040000000,0.045000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
89,0.045000000,0.050000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
90,0.050000000,0.055000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
91,0.055000000,0.060000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
92,0.060000000,0.065000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
93,0.065000000,0.070000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
94,0.070000000,0.075000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
95,0.075000000,0.080000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
96,0.080000000,0.085000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
97,0.085000000,0.090000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
98,0.090000000,0.095000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
99,0.095000000,0.100000000,0.020000000,0.025000000,1,293.000000000,293.059217024,293.115658781,293.139644773,293.209908228,293.398911851
100,0.000000000,0.005000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
101,0.005000000,0.010000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
102,0.010000000,0.015000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
103,0.015000000,0.020000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
104,0.020000000,0.025000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
105,0.025000000,0.030000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
106,0.030000000,0.035000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
107,0.035000000,0.040000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
108,0.040000000,0.045000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
109,0.045000000,0.050000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
110,0.050000000,0.055000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
111,0.055000000,0.060000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
112,0.060000000,0.065000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
113,0.065000000,0.070000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
114,0.070000000,0.075000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
115,0.075000000,0.080000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
116,0.080000000,0.085000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
117,0.085000000,0.090000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
118,0.090000000,0.095000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
119,0.095000000,0.100000000,0.025000000,0.030000000,1,293.000000000,293.057392850,293.110866259,293.131811309,293.196839390,293.372890088
120,0.000000000,0.005000000,0.033000000,0.038000000,2,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
121,0.005000000,0.010000000,0.033000000,0.038000000,2,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
122,0.010000000,0.015000000,0.033000000,0.038000000,2,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
