# DIGITIZED from Wibron, Ljung and Lundstrom 2018, Energies 11(3):644, CC-BY.
# Source PDF sha256 4de4798ed5eed60feda123c7a2398674a6a9177f44906175847d90f5227d7b77
# Produced by docs/campaigns/F14-cooling-ladder/digitize_wibron2018.py --write
# NOT TABULATED IN THE PAPER.  Every value below is a figure reading.
# Digitisation increments, derived by the controls printed by the
# command above and restated here so no reader can quote a value
# finer than it was measured (L-28):
#   temperature  +-0.03 K      velocity  +-0.007 m/s      height  +-0.005 m
# More decimals are carried below only so the file round-trips; the
# graded value is the one at the increment.
# Figure 3a (four computed L1 profiles, RSM) and Figure 3b
# (fine-grid GCI band half-width).  ***NOT A REFERENCE VALUE.***
# The paper plots NO experiment in Figure 3; every column below is
# a CFD output or a discretisation-uncertainty estimate, and no gate
# row may be armed on any of them.  Curve-class increment +-0.0001
# m/s (control C5); heights +-0.005 m (control C6).
# Paper's own caveat, Sec. 4.1 p. 7: local order of accuracy p runs
# 0.0197 to 27.70, global average 6.583.
# height_m  v_coarse  v_medium  v_fine  v_extrapolated  gci_halfwidth   (m/s)
   0.4608    0.4202    0.4144    0.4193    0.4203    0.0012
   0.4671    0.4212    0.4148    0.4201    0.4212    0.0013
   0.4734    0.4215    0.4153    0.4209    0.4220    0.0014
   0.4798    0.4216    0.4161    0.4217    0.4229    0.0014
   0.4861    0.4212    0.4169    0.4225    0.4237    0.0014
   0.4924    0.4208    0.4178    0.4234    0.4245    0.0014
   0.4987    0.4206    0.4186    0.4242    0.4254    0.0014
   0.5050    0.4208    0.4189    0.4252    0.4264    0.0016
   0.5113    0.4217    0.4190    0.4261    0.4276    0.0018
   0.5176    0.4225    0.4192    0.4270    0.4286    0.0020
   0.5239    0.4234    0.4194    0.4279    0.4296    0.0022
   0.5303    0.4243    0.4196    0.4284    0.4301    0.0022
   0.5366    0.4252    0.4199    0.4287    0.4305    0.0022
   0.5429    0.4261    0.4202    0.4289    0.4307    0.0022
   0.5492    0.4270    0.4206    0.4291    0.4308    0.0022
   0.5555    0.4280    0.4210    0.4293    0.4310    0.0021
   0.5618    0.4289    0.4214    0.4294    0.4311    0.0020
   0.5681    0.4298    0.4221    0.4296    0.4312    0.0019
   0.5745    0.4308    0.4228    0.4298    0.4313    0.0018
   0.5808    0.4317    0.4235    0.4300    0.4314    0.0017
   0.5871    0.4327    0.4242    0.4303    0.4315    0.0015
   0.5934    0.4337    0.4249    0.4311    0.4323    0.0016
   0.5997    0.4346    0.4264    0.4320    0.4332    0.0014
   0.6060    0.4356    0.4281    0.4328    0.4338    0.0012
   0.6123    0.4374    0.4296    0.4336    0.4344    0.0010
   0.6186    0.4395    0.4311    0.4343    0.4350    0.0008
   0.6250    0.4417    0.4325    0.4350    0.4354    0.0006
   0.6313    0.4438    0.4339    0.4355    0.4358    0.0004
   0.6376    0.4459    0.4354    0.4362    0.4364    0.0002
   0.6439    0.4481    0.4368    0.4370    0.4370    0.0001
   0.6502    0.4493    0.4381    0.4378    0.4377    0.0001
   0.6565    0.4504    0.4395    0.4386    0.4384    0.0002
   0.6628    0.4515    0.4408    0.4394    0.4391    0.0004
   0.6691    0.4526    0.4418    0.4406    0.4404    0.0003
   0.6755    0.4537    0.4424    0.4420    0.4420    0.0001
   0.6818    0.4549    0.4430    0.4435    0.4436    0.0001
   0.6881    0.4560    0.4436    0.4447    0.4450    0.0003
   0.6944    0.4572    0.4442    0.4456    0.4459    0.0004
   0.7007    0.4584    0.4449    0.4465    0.4468    0.0004
   0.7070    0.4596    0.4456    0.4477    0.4481    0.0005
   0.7133    0.4608    0.4463    0.4490    0.4495    0.0007
   0.7196    0.4620    0.4471    0.4503    0.4509    0.0008
   0.7260    0.4633    0.4479    0.4516    0.4523    0.0009
   0.7323    0.4645    0.4487    0.4529    0.4537    0.0011
   0.7386    0.4658    0.4496    0.4542    0.4551    0.0012
   0.7449    0.4671    0.4505    0.4552    0.4562    0.0012
   0.7512    0.4691    0.4514    0.4560    0.4569    0.0012
   0.7575    0.4720    0.4523    0.4568    0.4577    0.0011
   0.7638    0.4749    0.4533    0.4578    0.4588    0.0012
   0.7701    0.4778    0.4539    0.4598    0.4610    0.0015
   0.7765    0.4808    0.4546    0.4610    0.4623    0.0016
   0.7828    0.4831    0.4553    0.4618    0.4631    0.0017
   0.7891    0.4846    0.4565    0.4626    0.4639    0.0016
   0.7954    0.4861    0.4577    0.4635    0.4646    0.0015
   0.8017    0.4876    0.4588    0.4643    0.4654    0.0014
   0.8080    0.4891    0.4596    0.4652    0.4663    0.0014
   0.8143    0.4906    0.4604    0.4660    0.4672    0.0014
   0.8206    0.4922    0.4614    0.4669    0.4680    0.0014
   0.8270    0.4937    0.4635    0.4678    0.4686    0.0011
   0.8333    0.4953    0.4657    0.4685    0.4691    0.0007
   0.8396    0.4969    0.4678    0.4704    0.4709    0.0007
   0.8459    0.4984    0.4699    0.4715    0.4719    0.0004
   0.8522    0.5000    0.4720    0.4725    0.4726    0.0001
   0.8585    0.5016    0.4742    0.4735    0.4733    0.0002
   0.8648    0.5032    0.4763    0.4745    0.4741    0.0005
   0.8711    0.5049    0.4785    0.4755    0.4749    0.0008
   0.8775    0.5065    0.4806    0.4765    0.4756    0.0011
   0.8838    0.5081    0.4828    0.4775    0.4765    0.0013
   0.8901    0.5102    0.4848    0.4786    0.4773    0.0016
   0.8964    0.5132    0.4861    0.4797    0.4784    0.0016
   0.9027    0.5159    0.4874    0.4812    0.4799    0.0016
   0.9090    0.5187    0.4886    0.4826    0.4814    0.0015
   0.9153    0.5214    0.4899    0.4840    0.4828    0.0015
   0.9216    0.5239    0.4912    0.4851    0.4839    0.0015
   0.9280    0.5254    0.4925    0.4860    0.4847    0.0016
   0.9343    0.5269    0.4942    0.4869    0.4854    0.0019
   0.9406    0.5284    0.4959    0.4878    0.4862    0.0020
