# y+ ()           
# Time            	patch             	min               	max               	average           
5000              	defaultFaces	1.0000000000e+300	-1.0000000000e+300	0.0000000000e+00
5000              	auto3	1.5881851306e-01	9.6640209274e+00	2.1113316340e+00
