iteration,Y_prime,N_prime
1.0,-0.03928241238421061,-0.0011637426801925995
2.0,-0.0020021773318968455,-0.0008658203753926293
3.0,0.003858533247390765,-0.0002432688177107092
4.0,0.006099175610355831,-9.12390628808749e-05
5.0,0.0060639130204498525,-0.00017429457113712655
6.0,0.0053246144719848775,-0.00035247453309054157
7.0,0.004510473347670822,-0.0005208170692765323
8.0,0.0038421286555086545,-0.0006390938613556847
9.0,0.003319154291412676,-0.0007066121314724534
10.0,0.0028927671231173497,-0.0007385304697146482
11.0,0.0025492447393846685,-0.0007466936800778816
12.0,0.002276994046946108,-0.0007413325547039636
13.0,0.0020705615457981565,-0.0007309250831583607
14.0,0.0019201937018122925,-0.0007216076601893166
15.0,0.0018762635495973357,-0.0007175185294358604
16.0,0.001804694632996356,-0.0007141883193695686
17.0,0.0017608486785280848,-0.0007160134161084806
18.0,0.001739570732181087,-0.0007205478147374371
19.0,0.0016862657074225985,-0.0007174142053074638
20.0,0.0016574777777347565,-0.0007176897647110593
21.0,0.0016248128540770125,-0.0007164748275974882
22.0,0.0015814210239943921,-0.0007128873720673308
23.0,0.0015260965384342896,-0.0007067813706496381
24.0,0.0014716881738357902,-0.0007015488690481664
25.0,0.0013746503342289265,-0.0006852150397729472
26.0,0.0012670630609999624,-0.0006680645289165331
27.0,0.001162876675951266,-0.0006520587150310545
28.0,0.0010693038034226899,-0.0006384450387914193
29.0,0.0009898767031728494,-0.0006279915734035708
30.0,0.0009250758642574413,-0.0006210990345206847
31.0,0.0008740908026111952,-0.0006178170392380631
32.0,0.0008359412228280099,-0.0006176522280239688
33.0,0.0008095288679670544,-0.0006197867455979566
34.0,0.0007937233631756961,-0.0006231806589541138
35.0,0.0007877043296731387,-0.0006267504778032303
36.0,0.0007903418670189491,-0.0006293048294720543
37.0,0.0008006980828369827,-0.0006298426980101216
38.0,0.000817560468816553,-0.0006278384022292442
39.0,0.0008391989982871092,-0.00062325087160407
40.0,0.000863167526481512,-0.0006164254556471712
41.0,0.0008858032679220259,-0.0006079204306963854
42.0,0.0009039711879588661,-0.0005985424896112182
43.0,0.0009149541251984561,-0.0005891512109694043
44.0,0.000917086400084114,-0.0005806698674589023
45.0,0.0009097347233838356,-0.0005735668690857775
46.0,0.0008930379445424721,-0.0005680847247290151
47.0,0.0008687805996336504,-0.0005644361552615706
48.0,0.0008387576068537542,-0.0005622995763609322
49.0,0.0008054630597349421,-0.0005611612243258289
50.0,0.0007717666713553208,-0.0005604522788555978
51.0,0.0007408350778742704,-0.000559577141479199
52.0,0.0007152889375514511,-0.0005581370145335899
53.0,0.0006964095279344923,-0.0005557911623974932
54.0,0.0006848787537275367,-0.0005524741794778025
55.0,0.0006801359974347278,-0.0005483089332180687
56.0,0.0006805304453706219,-0.0005435840328187398
57.0,0.0006836278547182417,-0.0005387271879983619
58.0,0.0006867110981528623,-0.0005342148664303315
59.0,0.0006873789102639566,-0.0005304948450382059
60.0,0.000684207114171173,-0.0005277609858498416
61.0,0.0006768294065041614,-0.0005260231458810383
62.0,0.0006660608217464018,-0.0005250224589871943
63.0,0.0006530866733442797,-0.0005244266174753186
64.0,0.0006394271415600466,-0.0005238085783879289
65.0,0.000626389842246934,-0.000522835966606758
